category,strategy,avg_return,n_samples,t_stat,significant
BODY_RATIO,HighWave_H5,0.0663172651944491,674836,1.4895192222332472,False
BODY_RATIO,SpinningTop_H5,0.034404554714511544,522767,1.0791829525891339,False
BODY_RATIO,Marubozu_H10,0.21485772212647267,439282,2.0342926822619605,False
BODY_RATIO,HighWave_H10,0.17902764805984317,667708,2.1660912355113684,False
BODY_RATIO,SpinningTop_H10,0.03446285048811107,516801,1.1615890155340691,False
REL_PERF,RangeExpand2x_H1,0.11495297301361995,547146,1.006352579639114,False
REL_PERF,RangeContract50_H1,0.0008074484618569842,534220,7.0967706238040575,True
REL_PERF,HH_HL_H1,0.0005426777839339961,1617731,12.612868340423782,True
REL_PERF,LH_LL_H1,0.0009475306772580748,1492842,7.748049234287009,True
REL_PERF,RangeExpand2x_H5,0.049791717908438095,542571,1.0806513478595818,False
REL_PERF,RangeContract50_H5,0.03487110288123351,529773,1.108455277960876,False
REL_PERF,HH_HL_H5,0.0023623352904669137,1608285,24.38159328048679,True
REL_PERF,LH_LL_H5,0.003936155928917566,1476028,20.078169639875853,True
REL_PERF,RangeExpand2x_H10,0.12740511697593898,536074,1.435082575410251,False
REL_PERF,RangeContract50_H10,0.03623589229548114,524394,1.2392536980454667,False
REL_PERF,HH_HL_H10,0.004373925508703233,1589905,27.689881027260274,True
REL_PERF,LH_LL_H10,0.007379525224419623,1461586,32.72278991279952,True
