strategy,hold_days,regime,cap,train_n,train_mean,train_t,test_n,test_mean,test_t,train_significant,test_significant,both_significant,direction_match
AboveEMA200,1,BULL,LARGE,35000,-0.0003872813272067049,-2.6402504424837394,21160,0.0009331316433067632,3.6459646409720743,False,True,False,False
AboveEMA200,1,BULL,MID,26848,-0.0009495471609535503,-4.445948809587625,16255,-6.92334921808965e-05,-0.19837643561402385,True,False,False,True
AboveEMA200,1,BULL,SMALL,27054,-0.0004179496808804074,-2.6099157479203945,19941,-0.0005727862104607748,-2.7666774772015783,False,False,False,True
AboveEMA200,1,BULL,ALL,88902,-0.0005664158207470488,-5.7012541574377975,57356,0.0001254924564853255,0.8119886923217274,True,False,False,False
AboveEMA200,1,BEAR,LARGE,8299,0.004442817392451361,11.594176711634963,12277,-0.0005239004948535107,-1.4637149718705826,True,False,False,False
AboveEMA200,1,BEAR,MID,6049,0.001793984768265116,3.5396178039871673,9475,0.00024201897849941494,0.48604371613954406,True,False,False,True
AboveEMA200,1,BEAR,SMALL,5645,0.00038773783932475914,0.888123135427751,10993,-0.0009456042858316923,-2.6465005912493145,False,False,False,False
AboveEMA200,1,BEAR,ALL,19993,0.0024964505329954385,9.856330779820457,32745,-0.0004438486629464769,-1.9250503752389667,True,False,False,False
AboveEMA200,1,RANGE,LARGE,331257,0.0005369916291302898,10.150466486851084,521941,0.0006774973548724364,9.807317384783683,True,True,True,True
AboveEMA200,1,RANGE,MID,254352,-0.000235967269647498,-2.76424117694947,430596,0.00016095011680110726,2.0719394577681687,False,False,False,False
AboveEMA200,1,RANGE,SMALL,252911,-0.00018802740646887896,-2.4676414661384842,489834,-0.00012231075590304191,-2.775278712244287,False,False,False,True
AboveEMA200,1,RANGE,ALL,838520,8.384926981345862e-05,2.073280540741096,1442371,0.00025167322179006185,6.75826665701937,False,True,False,True
AboveEMA200,1,ALL,LARGE,374556,0.0005371648863682108,10.852078185270368,555378,0.0006606793680997968,9.9913066857434,True,True,True,True
AboveEMA200,1,ALL,MID,287249,-0.0002599151791074143,-3.293930085576909,456326,0.00015443392640342887,2.0573924123771503,True,False,False,False
AboveEMA200,1,ALL,SMALL,285610,-0.00019842663058366628,-2.847113404893865,520768,-0.00015693922158035198,-3.660485943661483,False,True,False,True
AboveEMA200,1,ALL,ALL,947415,7.374310722767212e-05,1.9730650054189112,1532472,0.00023208911970498856,6.471365989388952,False,True,False,True
AboveEMA200,5,BULL,LARGE,35000,-0.001766776352149444,-5.586640285124819,21160,0.00991009175711693,14.555807910255284,True,True,True,False
AboveEMA200,5,BULL,MID,26848,-0.0049985435920583375,-10.217158790198035,16255,0.008038703289056223,10.03072781621418,True,True,True,False
AboveEMA200,5,BULL,SMALL,27054,-0.0009683343442499535,-2.855767294392998,19941,0.004127307462137015,9.470609885272115,False,True,False,False
AboveEMA200,5,BULL,ALL,88902,-0.0024997793979230055,-11.408910001425221,57356,0.007369225567450264,19.85644480740151,True,True,True,False
AboveEMA200,5,BEAR,LARGE,8299,0.015691060347155932,20.893958001152278,12277,0.003055130570122733,3.726462268155963,True,True,True,True
AboveEMA200,5,BEAR,MID,6049,0.008769005168452453,6.533132611514311,9475,0.0029002139878615755,2.970593184675716,True,False,False,True
AboveEMA200,5,BEAR,SMALL,5645,0.003166202154938431,3.8349502480543567,10993,-0.00256412364408508,-3.128545861801,True,True,True,False
AboveEMA200,5,BEAR,ALL,19993,0.010060372792959706,17.84703724443317,32745,0.0011238343052361562,2.2468002676722194,True,False,False,True
AboveEMA200,5,RANGE,LARGE,331257,0.001756864326178132,14.151940497681501,513882,0.0032258701332040745,22.260111943069017,True,True,True,True
