strategy,hold,context1,context2,t_stat,mean_return,type
HighVol,10,BULL,ALL,35.134270275276705,0.0238250149403584,REGIME
BullishRibbon,10,ALL,LARGE,35.0955805239642,0.0100490953528739,REGIME
Momentum_5d_Pos,20,RANGE,LARGE,34.79357126518263,0.0182351530163455,REGIME
Far_From_High,5,BEAR,ALL,34.2372722144272,0.0226447239271454,REGIME
Far_From_High,10,BEAR,LARGE,34.15293752101455,0.0433780743342104,REGIME
HighVol,20,ALL,LARGE,34.110625496045905,0.0211531023827683,REGIME
AboveEMA200_BullRibbon,20,ALL,LARGE,33.86435281413537,0.0173108780239033,REGIME
HighVol,10,ALL,LARGE,33.72136356084191,0.0112775980045111,REGIME
HighVol,5,BEAR,LARGE,33.56471646372194,0.0192548100075801,REGIME
RSI_Extreme_Oversold,5,BEAR,ALL,33.51424156441406,0.0326387065985405,REGIME
RSI_Oversold,1,BEAR,ALL,33.46631171257441,0.0095878636260429,REGIME
Momentum_5d_Neg,5,BEAR,LARGE,33.25855960367119,0.0214842248450282,REGIME
AboveEMA200_BullRibbon,20,RANGE,LARGE,32.948376586735115,0.0173905454785907,REGIME
BullishRibbon,10,RANGE,LARGE,32.73976107511079,0.0096794030672119,REGIME
Momentum_5d_Pos,10,BULL,ALL,32.648682058378334,0.021121446685515,REGIME
Momentum_20d_Pos,10,ALL,LARGE,32.50397386341389,0.0107004853089902,REGIME
BearishRibbon,5,BEAR,LARGE,32.217815305742825,0.0216710933800417,REGIME
BB_Narrow,20,ALL,ALL,32.16771351264902,0.0127701507733158,REGIME
After3Down,5,BEAR,ALL,32.087202864685906,0.0297890178043598,REGIME
Oversold_After2Down,5,BEAR,SMALL,31.99910536345013,0.0356371982131676,REGIME
BelowEMA200,5,BEAR,LARGE,31.93275445878072,0.0235769102992595,REGIME
HighVol,5,BULL,ALL,31.874518742158795,0.0132606609637525,REGIME
AboveEMA200,10,RANGE,LARGE,31.434765812553472,0.0071384234399564,REGIME
RSI_Extreme_Oversold,10,BEAR,SMALL,31.42720999985587,0.0505592628080529,REGIME
ZScore_Low,5,BEAR,ALL,31.316847715661613,0.0214197581092776,REGIME
