category,strategy,avg_return,n_samples,t_stat,significant,source_file
RSI,RSI5_OB75_H1,-9.147781011885076e-05,987114,-1.5956685613386334,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OB75_H3,0.042922711982636,984070,1.013756425189446,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OB75_H5,0.0180630142152932,979926,1.062060350809319,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OB75_H10,0.0204631585167714,967371,1.187714110505943,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OB75_H15,0.098091831545958,947035,1.8736227611851088,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OB80_H1,-0.0001740525934567,765640,-2.632934989718727,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OB80_H3,0.0003989752689246,763322,3.5717864080617936,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OB80_H5,0.0008182056516303,760169,5.8433749868936165,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OB80_H10,0.0030602587868042,750748,13.481529202657471,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OB80_H15,0.1047999894160036,734092,1.6259462065380792,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV25_H1,0.0020988664707342,851607,10.014454178962186,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV25_H3,0.004437189660319,845756,15.706579009273886,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV25_H5,0.0071470999459251,842239,23.41353978683709,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV25_H10,0.1104266598433913,834897,1.8129652551449056,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV25_H15,0.1283003960391623,830346,2.556855211249854,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV30_H1,0.0018084159520839,1061123,10.651491551520408,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV30_H3,0.0038956312281099,1054200,16.966681238422453,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV30_H5,0.0063368227510126,1049790,25.425014195903323,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV30_H10,0.0901230317881109,1040602,1.844174981156516,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV30_H15,0.1053943606979038,1034674,2.617199545759124,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV35_H1,0.0015964607685666,1290120,11.30579907228814,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV35_H3,0.0035350735891939,1282142,18.44270829133993,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV35_H5,0.0057566672088203,1276719,27.43908759875632,True,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV35_H10,0.0753456796357224,1265413,1.8748714296330988,False,MEGA_TEST_RESULTS.csv
RSI,RSI5_OV35_H15,0.08868055514789,1258025,2.6774851205311774,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV20_H1,0.0027065466477609,445778,7.207904953922288,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB65_H1,7.035991983212304e-05,1323506,1.4356913148831192,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV20_H3,0.006057119254804,443031,15.204422579476402,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB65_H3,0.0006411645960026,1319123,7.455286958332762,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV20_H5,0.0091054559144477,441183,20.32677420666786,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB65_H5,0.0011713406224254,1313747,10.597128540072132,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV20_H10,0.201573587143817,437007,1.7322437112259137,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB65_H10,0.0027118838727763,1294784,16.37399664588719,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV20_H15,0.1552574162707037,435208,1.9665861435641925,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB65_H15,0.089343124110191,1268146,2.1433573173018083,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB70_H1,-1.368789353986656e-05,1035857,-0.2451942106610598,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB70_H3,0.0004451207205798,1032536,4.38810368713309,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB70_H5,0.0008899013858676,1028538,7.057858037493458,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB70_H10,0.0024772246888298,1013122,12.80593959800763,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB70_H15,0.1126573789602547,990773,2.111538655219856,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB75_H1,-0.000102869657395,779096,-1.5622911317276569,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB75_H3,0.0002149311059195,776644,1.8126031494216903,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB75_H5,0.0006073153570703,773685,4.1123863896082975,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB75_H10,0.0021681715667452,761594,9.377931724410912,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB75_H15,0.1480871105938682,743876,2.083934283543064,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB80_H1,-0.0001260049019334,553882,-1.5080556349160366,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB80_H3,-7.641250684225094e-05,552144,-0.5436019522005523,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB80_H5,0.0003126464811398,550076,1.736878140697264,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB80_H10,0.0018489812922481,541303,6.361555485485903,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OB80_H15,0.2062540958387831,528040,2.060329878869165,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV25_H1,0.0022600684797452,630341,8.358606208908801,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV25_H3,0.0051328673447714,626502,17.30047091556098,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV25_H5,0.0078616087315307,623860,23.43117066036301,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV25_H10,0.1454371323284383,618081,1.7676917897800766,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV25_H15,0.1138161374240361,615662,2.039422497947108,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV30_H1,0.0019941286905818,853805,9.772280128028555,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV30_H3,0.0045014900197212,848745,19.708557643536466,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV30_H5,0.0070522157169132,845044,26.88647830324413,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV30_H10,0.1102748906386761,837429,1.8159689840071664,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV30_H15,0.0877968932745909,833950,2.1309616013025736,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV35_H1,0.0017449862204593,1111340,10.988970301602237,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV35_H3,0.0040324088552051,1104937,18.819388714917302,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV35_H5,0.0064316787042377,1100046,27.098936957818065,True,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV35_H10,0.0868370510650363,1090404,1.8619757092016207,False,MEGA_TEST_RESULTS.csv
RSI,RSI7_OV35_H15,0.0704000442680965,1085578,2.2242517697570032,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV20_H1,0.0033754423462082,257531,13.281581326063826,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB65_H1,6.196178682090422e-05,1146167,1.138248747585645,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV20_H3,0.0068579700111879,256334,18.199039671413228,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB65_H3,0.0005397412884791,1142129,5.691106533765307,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV20_H5,0.0100835557739679,255368,22.14859621966385,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB65_H5,0.0009287681492655,1136990,7.766072489424076,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV20_H10,0.0169784209338956,253812,27.75354065991445,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB65_H10,0.0533300545016427,1114169,1.3417755929121902,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV20_H15,0.0240949236242608,252535,30.646929256095422,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB65_H15,0.0798751555586042,1098211,2.3998994467525003,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB70_H1,-2.9445396383205525e-05,823929,-0.4420208028588207,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB70_H3,0.0002949289225415,821103,2.547971010227409,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB70_H5,0.0006131930269543,817461,4.292412139647763,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB70_H10,0.0728492573403619,798924,1.3142817468872865,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB70_H15,0.1085309835234398,787966,2.3396991496555217,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB75_H1,-0.0002136457492708,556126,-2.517453738467424,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB75_H3,0.0001056304306116,554264,0.6992166628551081,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB75_H5,0.0003407902091675,551845,1.8289659088573187,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB75_H10,0.1067906250260862,537677,1.2966216314327963,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB75_H15,0.1301166287941626,531050,2.0730484618646496,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB80_H1,-0.0004119254262855,346522,-3.440383863251071,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB80_H3,-0.0002174772653701,345368,-1.1274536643019737,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB80_H5,5.070299158889512e-05,343867,0.2118041237750271,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB80_H10,0.1706668078461632,334084,1.2875505530289844,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OB80_H15,0.2063092900106107,330401,2.0450537054856057,False,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV25_H1,0.003005751329394,414586,7.411665032620181,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV25_H3,0.0064408391656986,412579,11.9912813267562,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV25_H5,0.0092963462663138,411052,16.571600655913052,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV25_H10,0.0159844151546175,408607,27.29312988532229,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV25_H15,0.0222281610118409,406710,30.94755154799069,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV30_H1,0.00237064259598,628375,8.7070621419265,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV30_H3,0.0054459384463281,625226,14.69488466939542,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV30_H5,0.0082881405428473,622756,21.042675171216462,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV30_H10,0.014397762893213,618816,34.357123307359615,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV30_H15,0.0195612134131494,615793,38.25364557314927,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV35_H1,0.0019787095356118,899149,10.069787619159218,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV35_H3,0.0048132942706995,894603,17.573243417673492,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV35_H5,0.0075158162704734,890977,25.094577850839244,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV35_H10,0.0133868153321082,885100,38.402296178166594,True,MEGA_TEST_RESULTS.csv
RSI,RSI10_OV35_H15,0.0177459517982897,880324,43.41323969072796,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV20_H1,0.0057179520394241,137862,4.868375128422061,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB65_H1,-6.854462159814462e-05,955605,-1.1432028834836163,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV20_H3,0.0110140134255087,137292,9.273923939033988,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB65_H3,7.516980659744206e-05,951806,0.7312211760874961,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV20_H5,0.0156497265286457,136900,12.041453402781208,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB65_H5,0.0164377133715511,944047,1.034564344060651,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV20_H10,0.0240253493198606,136073,18.580085824034857,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB65_H10,0.0844647677003856,926485,1.634741962376813,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV20_H15,0.0301990240393352,135034,20.374990812699394,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB65_H15,0.0909844832765017,919793,1.75646448849833,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB70_H1,-0.0001662559142361,616477,-2.0671599210392366,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB70_H3,-0.0002039510001121,614000,-1.5235414365679618,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB70_H5,9.1268491103835e-05,608367,0.5250017736839945,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB70_H10,0.1009239887514387,596132,1.3406914090494984,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB70_H15,0.0594466086777397,592496,1.555290569597333,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB75_H1,-0.0003626808401079,361845,-3.045701937979441,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB75_H3,-0.0006054932125675,360393,-3.077723132704017,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB75_H5,-0.0002841012131294,356710,-1.1063977379080128,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB75_H10,0.0027222046235914,348980,6.229473582744199,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB75_H15,0.0053268646389924,347064,10.647703531851205,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB80_H1,-0.0003022917795172,193774,-1.5246381963461983,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB80_H3,-0.0008372593747248,193014,-2.700082450075333,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB80_H5,-0.000899099560754,190966,-2.346154151425674,False,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB80_H10,0.0020049806068603,186309,3.435951324025252,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OB80_H15,0.0047844207276265,185350,7.410175724026585,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV25_H1,0.0042400088352667,256016,6.539164573736032,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV25_H3,0.0088895074375547,255021,13.212682180572434,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV25_H5,0.0129835533726742,254437,17.425264149216506,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV25_H10,0.0210130029039924,253195,23.834637202110656,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV25_H15,0.0283374935783998,251381,19.216319376264583,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV30_H1,0.0033159136869203,436364,8.372506015892029,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV30_H3,0.0073145639506171,434554,17.041361064260453,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV30_H5,0.010975516575806,433598,22.75160958769761,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV30_H10,0.0179467201989634,431521,29.06009552294077,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV30_H15,0.0242142216680905,428322,24.465372311196383,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV35_H1,0.0025272907323403,693239,9.989720672778748,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV35_H3,0.0061893615031025,690132,17.99848322025107,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV35_H5,0.0095850068923665,688511,25.87374635139272,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV35_H10,0.0161071377208493,685098,34.41013854492452,True,MEGA_TEST_RESULTS.csv
RSI,RSI14_OV35_H15,0.0212609050394637,679476,31.111322751561627,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV20_H1,0.0044431672531684,51157,5.650061694928076,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB65_H1,5.582692852796503e-05,711993,0.754189616880807,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV20_H3,0.0097819971835312,50906,9.765327060197569,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB65_H3,0.0594258666639762,708814,1.0109473092003858,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV20_H5,0.0150740008833824,50657,10.071642049001197,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB65_H5,0.0247744385421684,706331,1.049976326425714,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV20_H10,0.0239398348285927,50111,11.576099937371351,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB65_H10,0.0862570394426413,700209,1.3459050931110477,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV20_H15,0.0306276752802009,49418,8.207822906337864,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB65_H15,0.0747589682393559,694699,1.8655192020921167,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB70_H1,0.0001069482518511,388037,0.9094220036457872,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB70_H3,0.0006820987129302,386342,3.564900042967754,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB70_H5,0.0008893247578326,385154,3.849143396114549,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB70_H10,0.002197138782549,382146,6.828085340471874,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB70_H15,0.0052026894472247,379408,12.31725499149355,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB75_H1,-2.9154489205403786e-05,185266,-0.1384478643827335,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB75_H3,0.0004187461579424,184444,1.2364916136957784,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB75_H5,0.0005519543929473,183921,1.3650511029583186,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB75_H10,0.0018675033162992,182594,3.376968536965132,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB75_H15,0.0054409663182104,181325,7.293051106544623,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB80_H1,-0.0001722844116903,77214,-0.3819980543768544,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB80_H3,-0.0001629926538796,76867,-0.2397794579782206,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB80_H5,-0.0002313572066869,76642,-0.2845289595618526,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB80_H10,0.0014289039732509,76095,1.2933950445857525,False,MEGA_TEST_RESULTS.csv
RSI,RSI21_OB80_H15,0.0050784809737418,75536,3.939066616047898,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV25_H1,0.0040128909469974,116174,8.294054699054403,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV25_H3,0.0087362897580064,115771,14.59364245447506,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV25_H5,0.0134391457705874,115394,16.67510171394492,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV25_H10,0.0224638250182435,114490,16.003512321388794,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV25_H15,0.0292619095053559,113182,10.319958422208318,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV30_H1,0.0040594831865365,246706,6.067272383565624,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV30_H3,0.0093206356566088,245900,10.10759205825338,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV30_H5,0.0135264668479656,245126,13.188410257466169,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV30_H10,0.02103262543775,243317,17.28863512372277,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV30_H15,0.0265307922987705,240655,14.946559805198843,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV35_H1,0.0030466943904317,470871,8.407947215439442,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV35_H3,0.0073220587931875,469369,14.228403960877786,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV35_H5,0.010677516875167,467817,17.83902357208958,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV35_H10,0.0163377029446799,464362,22.569297674650752,True,MEGA_TEST_RESULTS.csv
RSI,RSI21_OV35_H15,0.0200738171273808,459212,20.296408559766487,True,MEGA_TEST_RESULTS.csv
RSI,RSI30_OV20_H1,0.0043322952675175,21015,2.789449760573026,False,MEGA_TEST_RESULTS.csv
RSI,RSI30_OB65_H1,-1.3000918204743253e-05,523847,-0.1358408719089592,False,MEGA_TEST_RESULTS.csv
RSI,RSI30_OV20_H3,0.0062016590032283,20835,3.6868965440696257,True,MEGA_TEST_RESULTS.csv
RSI,RSI30_OB65_H3,0.0005015392566017,521847,3.2230639200401776,True,MEGA_TEST_RESULTS.csv
