category,strategy,avg_return,n_samples,t_stat,significant,source,period,std_dev,signal,hold,n_tickers,avg_net,win_rate,p_value,lookback,threshold,direction,avg_gross,n,mean_return,layer,factors,condition,pattern,mean,t,fast,slow,hold_period,num_tickers,profitable_pct,source_file,ma_type,hypothesis,law,regime
CONSECUTIVE,After6Up_H3,0.0004494648480141,30661.0,0.8713199722243072,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After6Down_H3,0.0075246246104426,23764.0,5.466306973009955,True,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After6Up_H5,-0.0005686537861623,30586.0,-0.968870746532977,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After6Down_H5,0.0113884647110767,23682.0,6.680517934448714,True,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After6Up_H10,0.003483920280924,30279.0,4.611638900345484,True,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After6Down_H10,0.0148222408585047,23462.0,7.375229773479047,True,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After7Up_H1,-0.0008341696319496,14799.0,-2.740931557937274,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After7Down_H1,0.0061723662529394,10477.0,2.0517158205318617,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After7Up_H3,-0.0013729413857256,14743.0,-2.214389561522544,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After7Down_H3,0.0120412664919672,10423.0,3.763715862235869,True,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After7Up_H5,-0.001377884933594,14715.0,-1.62928219376117,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After7Down_H5,0.0149141255009183,10376.0,4.795792830580573,True,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After7Up_H10,0.0018146776078536,14488.0,1.8907462936767996,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSECUTIVE,After7Down_H10,0.0181508201498249,10263.0,4.9010186586699405,True,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICE_POSITION,Near52WkHigh_2pct_H1,-5.217551193854504e-05,639107.0,-1.82746505407166,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICE_POSITION,At52WkHigh_H1,-0.0004019809614983,33776.0,-1.0354759666733455,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICE_POSITION,Near52WkLow_2pct_H1,0.2817362328962052,223323.0,1.0067064877341594,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICE_POSITION,Near52WkHigh_2pct_H5,-2.887223950642824e-05,632091.0,-0.3185522560277871,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICE_POSITION,At52WkHigh_H5,-0.0010174196691229,33596.0,-2.281386372837444,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICE_POSITION,Near52WkLow_2pct_H5,0.3992156877621181,221953.0,1.3163408247643886,False,DEEP_EXPLORATION_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
