category,strategy,avg_return,n_samples,t_stat,significant
TURN_OF_MONTH,Last1Days_H1,0.1250120917336158,490150,0.980407280686737,False
TURN_OF_MONTH,Last2Days_H1,0.098527864165335,620937,0.9788859182822818,False
TURN_OF_MONTH,Last3Days_H1,0.08013529889871368,767497,0.9840700152615764,False
TURN_OF_MONTH,First1Days_H1,0.002465690348172931,121869,19.403663602707336,True
TURN_OF_MONTH,First2Days_H1,0.00015366557935371289,261745,0.8758454503323537,False
TURN_OF_MONTH,First3Days_H1,-0.0006122284895566994,420046,-4.715770014109179,True
TURN_OF_MONTH,First4Days_H1,-6.80009309149312e-05,560441,-0.6492831499115129,False
TURN_OF_MONTH,First5Days_H1,0.00037071094301707947,717033,3.8708311626751266,True
TURN_OF_MONTH,Last1Days_H3,0.04710774183912698,490150,0.9236124867969565,False
TURN_OF_MONTH,Last2Days_H3,0.06077224182016421,620937,1.2943535757115183,False
TURN_OF_MONTH,Last3Days_H3,0.04883637905507123,767497,1.2856363026893474,False
TURN_OF_MONTH,First1Days_H3,0.000401102006952902,121869,1.276770052399535,False
TURN_OF_MONTH,First2Days_H3,-0.001777610312745237,261745,-6.638957405835558,True
TURN_OF_MONTH,First3Days_H3,-0.0020192585393995163,420046,-9.895287489725781,True
TURN_OF_MONTH,First4Days_H3,0.00020432771858489764,560441,1.1343955356610138,False
TURN_OF_MONTH,First5Days_H3,0.0011869980435513705,717033,7.621578305573829,True
TURN_OF_MONTH,Last1Days_H5,0.044984390160942064,490150,0.8819768177118343,False
TURN_OF_MONTH,Last2Days_H5,0.06114204307232989,620937,1.2635883787287538,False
TURN_OF_MONTH,Last3Days_H5,0.049634915725814965,767497,1.267884304373998,False
TURN_OF_MONTH,First1Days_H5,0.0020792325110155466,121868,5.139883575138536,True
TURN_OF_MONTH,First2Days_H5,0.0036212161893851708,261743,10.597120771142423,True
TURN_OF_MONTH,First3Days_H5,0.001476563348598522,420044,5.850128438233049,True
TURN_OF_MONTH,First4Days_H5,0.002972280913552348,560438,14.216692760382022,True
TURN_OF_MONTH,First5Days_H5,0.004298922774282957,717029,23.61825023749235,True
TURN_OF_MONTH,Last1Days_H10,0.04910816816066391,490149,1.0465531040424028,False
TURN_OF_MONTH,Last2Days_H10,0.06239709844499592,620936,1.401661686870182,False
TURN_OF_MONTH,Last3Days_H10,0.049743942088113904,767496,1.381163752145102,False
TURN_OF_MONTH,First1Days_H10,0.01356343195947169,121868,22.464766001079173,True
TURN_OF_MONTH,First2Days_H10,0.011625000890443743,261741,25.328393000994136,True
TURN_OF_MONTH,First3Days_H10,0.007633917460992881,420034,22.385819795181348,True
TURN_OF_MONTH,First4Days_H10,0.005711107355978088,559073,19.242369867276413,True
TURN_OF_MONTH,First5Days_H10,0.005876852115793601,706166,22.51771097695148,True
SEASONALITY,Q4_Oct_Nov_Dec_H5,0.0020932768403645655,1089453,11.794808043844956,True
SEASONALITY,Q1_Jan_Feb_Mar_H5,0.13126121869224464,1020680,1.838287253449934,False
SEASONALITY,SellInMay_May_Oct_H5,0.0053992226290042735,2269872,57.39554698969222,True
SEASONALITY,Best6_Nov_Apr_H5,0.06686122132174421,2064568,1.894040643462775,False
SEASONALITY,Q4_Oct_Nov_Dec_H10,0.003544192996095545,1041948,12.895352152612666,True
SEASONALITY,Q1_Jan_Feb_Mar_H10,0.21075658185522703,1020680,2.9183907038778174,False
SEASONALITY,SellInMay_May_Oct_H10,0.009962393923587488,2269871,74.46982809946846,True
SEASONALITY,Best6_Nov_Apr_H10,0.11158034102235383,2017064,3.0533499735685394,True
SEASONALITY,Q4_Oct_Nov_Dec_H20,0.12174112872906143,946938,1.624243378592452,False
SEASONALITY,Q1_Jan_Feb_Mar_H20,0.2360166785482321,1020680,3.7255008301529964,True
SEASONALITY,SellInMay_May_Oct_H20,0.01693003273310785,2269850,91.02098452377169,True
SEASONALITY,Best6_Nov_Apr_H20,0.19566204093044243,1922075,3.916910428035648,True
DOW_MONTH,Monday_Jan_H1,-0.0013631769298639849,50182,-3.7660488515507438,True
DOW_MONTH,Monday_Apr_H1,-0.0005678772109831947,76886,-3.5070219278045096,True
DOW_MONTH,Monday_Oct_H1,-0.0015780087632316841,72145,-6.014155030747777,True
DOW_MONTH,Monday_Nov_H1,0.0007847502291419579,72395,2.6700925437053424,False
DOW_MONTH,Monday_Dec_H1,0.00044367619909463466,71988,0.800059525819625,False
DOW_MONTH,Tuesday_Jan_H1,0.8314274489220044,74848,0.9957067057250756,False
DOW_MONTH,Tuesday_Apr_H1,0.0071006416130773055,85961,40.02927480129645,True
DOW_MONTH,Tuesday_Oct_H1,9.889269301061079e-05,80644,0.5348381102493257,False
DOW_MONTH,Tuesday_Nov_H1,0.00436387193651307,72407,13.282399680306737,True
DOW_MONTH,Tuesday_Dec_H1,0.0013829975534119384,79918,6.644224498882301,True
DOW_MONTH,Wednesday_Jan_H1,0.001265560872600729,74881,8.335886525166135,True
DOW_MONTH,Wednesday_Apr_H1,-0.005226279628210883,77882,-13.585452503084422,True
DOW_MONTH,Wednesday_Oct_H1,-0.0030875479236238397,90154,-18.16248405797922,True
DOW_MONTH,Wednesday_Nov_H1,-0.0035319856029952298,72413,-15.794913153832379,True
DOW_MONTH,Wednesday_Dec_H1,0.0016214454711400855,70013,5.965639672759334,True
DOW_MONTH,Thursday_Jan_H1,0.00285599570541337,66948,11.484895968570235,True
DOW_MONTH,Thursday_Apr_H1,-0.005629021825093241,68777,-29.780336127085842,True
DOW_MONTH,Thursday_Oct_H1,0.0011691414090375938,90191,8.019422537277,True
DOW_MONTH,Thursday_Nov_H1,0.002691100910048889,54300,6.922396745530237,True
DOW_MONTH,Thursday_Dec_H1,-0.0011335894687416993,69618,-6.122011109076162,True
DOW_MONTH,Friday_Jan_H1,0.002052855203423035,75751,3.541887428736521,True
DOW_MONTH,Friday_Apr_H1,0.0009325116471451912,59691,3.850778092724653,True
DOW_MONTH,Friday_Oct_H1,0.00459257259799902,81628,17.381233416394437,True
DOW_MONTH,Friday_Nov_H1,0.0021604597032023136,81016,11.906893631520449,True
DOW_MONTH,Friday_Dec_H1,-0.0003691295307166909,68627,-1.451836858997663,False
DOW_MONTH,Monday_Jan_H5,0.3282536134856211,50182,0.9884032116166594,False
DOW_MONTH,Monday_Apr_H5,0.013753738123239464,76886,36.70589323799348,True
DOW_MONTH,Monday_Oct_H5,-0.0019221779185922083,72145,-4.3099773695047885,True
DOW_MONTH,Monday_Nov_H5,0.005859925174528911,72395,7.736056958714459,True
DOW_MONTH,Monday_Dec_H5,0.0019380974944025813,62487,2.0107086878274365,False
DOW_MONTH,Tuesday_Jan_H5,0.33391754108379335,74848,0.9997610556353895,False
DOW_MONTH,Tuesday_Apr_H5,0.0028259761468341555,85961,7.504239627110339,True
DOW_MONTH,Tuesday_Oct_H5,-0.0011469549978323336,80644,-2.0082712288990687,False
DOW_MONTH,Tuesday_Nov_H5,0.008337182307983047,72407,11.404915006984213,True
DOW_MONTH,Tuesday_Dec_H5,-0.001298851410164876,70416,-2.31800914305557,False
DOW_MONTH,Wednesday_Jan_H5,0.8383062965327235,74881,1.0043873206642624,False
DOW_MONTH,Wednesday_Apr_H5,-0.0013582216935099105,77882,-3.1014619526023526,True
DOW_MONTH,Wednesday_Oct_H5,0.002705292726556895,90154,5.453083042405875,True
DOW_MONTH,Wednesday_Nov_H5,0.004941160189685682,72413,7.078968840801378,True
DOW_MONTH,Wednesday_Dec_H5,-0.0011728810476388397,60839,-1.3487076010840993,False
DOW_MONTH,Thursday_Jan_H5,0.22696300083232823,66948,1.0130445061459448,False
DOW_MONTH,Thursday_Apr_H5,0.0029437620906536833,68777,7.642642101415332,True
DOW_MONTH,Thursday_Oct_H5,0.0015408612395857416,90191,3.3441981078863794,True
DOW_MONTH,Thursday_Nov_H5,0.007866129761838645,54300,10.146898874782536,True
DOW_MONTH,Thursday_Dec_H5,-0.0023387218354648863,68262,-2.840029370703413,False
DOW_MONTH,Friday_Jan_H5,0.22077942357713495,75751,1.003511092180638,False
DOW_MONTH,Friday_Apr_H5,0.004180790117978575,59691,9.698914435850089,True
DOW_MONTH,Friday_Oct_H5,-0.003532776424312779,81628,-5.319008346736547,True
DOW_MONTH,Friday_Nov_H5,0.00855281673749983,81016,12.507107391876874,True
DOW_MONTH,Friday_Dec_H5,0.0018753413867992218,60156,1.9955263140165842,False
HOLIDAY,YearEnd_H1,-0.0003383373573353511,66615,-1.3552658609725738,False
HOLIDAY,FirstWeekOfYear_H1,0.0004271635842834299,66713,1.077183968414123,False
HOLIDAY,July4Week_H1,0.003423680112637109,70522,11.072426762688304,True
HOLIDAY,YearEnd_H3,0.00021815755586103235,66615,0.5015903584007597,False
HOLIDAY,FirstWeekOfYear_H3,-0.006340827073009769,66713,-13.416585698289232,True
HOLIDAY,July4Week_H3,0.009174906325257394,70522,19.0185024074313,True
HOLIDAY,YearEnd_H5,0.0007744390679467511,66615,1.293991393220019,False
HOLIDAY,FirstWeekOfYear_H5,-0.011078064953390887,66713,-23.99670797829025,True
HOLIDAY,July4Week_H5,0.02066939276077044,70522,34.58476201249911,True
REL_STRENGTH,TopRS5_Top10_H1,0.14460501547022617,432493,1.0006658953638772,False
REL_STRENGTH,BotRS5_Bot10_H1,0.0034029115780252975,432215,8.100915102439734,True
REL_STRENGTH,TopRS5_Top10_H5,0.17428624052335911,427999,1.9897574617708216,False
REL_STRENGTH,BotRS5_Bot10_H5,0.15534226451932612,427784,1.0632546716530311,False
REL_STRENGTH,TopRS5_Top10_H10,0.21550151262791772,422966,2.280658306399794,False
REL_STRENGTH,BotRS5_Bot10_H10,0.1937876956553276,424073,1.8978921922766132,False
REL_STRENGTH,TopRS5_Top10_H20,0.399149367241662,411947,3.331130875805629,True
REL_STRENGTH,BotRS5_Bot10_H20,0.46447748475513134,416327,2.4016339688780115,False
REL_STRENGTH,TopRS5_Top20_H1,0.07254507817763024,863413,1.0021970983106843,False
REL_STRENGTH,BotRS5_Bot20_H1,0.0022189597211776323,865016,10.184372679926252,True
REL_STRENGTH,TopRS5_Top20_H5,0.08835043961242753,852691,2.009524393691433,False
REL_STRENGTH,BotRS5_Bot20_H5,0.07945815523698187,857897,1.090677024351599,False
REL_STRENGTH,TopRS5_Top20_H10,0.1599520907600967,843907,2.337996484787615,False
REL_STRENGTH,BotRS5_Bot20_H10,0.10105618640209552,849367,1.9822534405825902,False
REL_STRENGTH,TopRS5_Top20_H20,0.22639223902686553,821805,3.5710871428567286,True
REL_STRENGTH,BotRS5_Bot20_H20,0.24000903641771257,831670,2.479038437159559,False
REL_STRENGTH,TopRS10_Top10_H1,0.00016320019269444944,427713,1.0139216400377076,False
REL_STRENGTH,BotRS10_Bot10_H1,0.0033363156334276036,427676,7.8037190433347385,True
REL_STRENGTH,TopRS10_Top10_H5,0.11630966101584377,423743,1.7641609460719416,False
REL_STRENGTH,BotRS10_Bot10_H5,0.15747849588383458,424639,1.0699511518116915,False
REL_STRENGTH,TopRS10_Top10_H10,0.319009752791974,417774,2.293556141280847,False
REL_STRENGTH,BotRS10_Bot10_H10,0.13359662243193327,421689,1.5934265435506092,False
REL_STRENGTH,TopRS10_Top10_H20,0.516330133570959,407365,3.6763514363042313,True
REL_STRENGTH,BotRS10_Bot10_H20,0.18059331072944065,413488,1.8592669614529869,False
REL_STRENGTH,TopRS10_Top20_H1,0.00020325687270745442,855238,2.3181210045688982,False
REL_STRENGTH,BotRS10_Bot20_H1,0.0021490922628575842,855694,9.89637130513699,True
REL_STRENGTH,TopRS10_Top20_H5,0.059299954461315925,847230,1.7983484124998452,False
