category,strategy,avg_net,win_rate,t_stat,n_tickers
MEAN_REVERSION,ZScore60_BUY2.0_H3,0.0100700552776255,0.7902869757174393,14.39231076587401,906
RSI,RSI25_OV35_H3,0.0075803521001272,0.717948717948718,14.276953043079375,936
MEAN_REVERSION,ZScore30_BUY1.5_H15,0.0222378568367946,0.8116683725690891,14.273049183578328,977
MEAN_REVERSION,ZScore60_BUY2.0_H5,0.0148387310392891,0.8035320088300221,13.977790989609703,906
MEAN_REVERSION,ZScore60_BUY1.5_H10,0.0195887379803479,0.8012684989429175,13.906069489260252,946
MEAN_REVERSION,ZScore20_BUY2.0_H15,0.0227492858782041,0.7983193277310925,13.897742162025098,952
RSI,RSI25_OV35_H5,0.0108257501134516,0.7232905982905983,13.711966217621242,936
MEAN_REVERSION,ZScore20_BUY1.5_H15,0.0193520489811517,0.8040609137055837,13.645773479042605,985
MEAN_REVERSION,ZScore60_BUY2.0_H10,0.0240764739232275,0.8024282560706402,13.57852955041164,906
MEAN_REVERSION,ZScore30_BUY2.0_H15,0.0269538011478056,0.7936507936507936,13.564260816067044,945
MEAN_REVERSION,ZScore30_BUY1.5_H10,0.0153229236239489,0.7952917093142272,13.53317754449571,977
MEAN_REVERSION,ZScore90_BUY1.5_H10,0.0226906229070661,0.7824175824175824,13.23026088365383,910
MEAN_REVERSION,ZScore60_BUY2.0_H2,0.0064483004970464,0.7505518763796909,12.687936955051269,906
MEAN_REVERSION,ZScore60_BUY1.5_H3,0.0071231606974935,0.7864693446088795,12.623263223136608,946
RSI,RSI7_OV35_H15,0.0164963323818971,0.804,12.596940897796824,1000
MEAN_REVERSION,ZScore60_BUY1.5_H5,0.0112222411194112,0.7843551797040169,12.574373540536271,946
RSI,RSI10_OV35_H15,0.0182378520218607,0.7947947947947948,12.51715936130501,999
MEAN_REVERSION,ZScore90_BUY1.5_H5,0.0126266053253946,0.7497255762897914,12.472169380405854,911
MEAN_REVERSION,ZScore30_BUY2.0_H10,0.0185619383995388,0.7925925925925926,12.398664442329778,945
MEAN_REVERSION,ZScore30_BUY1.5_H5,0.0090482166505669,0.7993858751279427,12.372176852054274,977
