ticker,edge,expected_return,hit_rate,sample_size,price,volume,vol_ratio,gap_pct,date
HUT,Vol2x+GapUp,12.79,85.4,2648,40.15999984741211,22592649,3.361159823906885,13.975581381626467,2025-12-17
RXRX,Vol2x+GapUp,12.79,85.4,2648,4.679999828338623,64710411,2.885801705194725,7.619052052227748,2025-12-17
