strategy,mean_return,n,t_stat,significant,hypothesis,law,regime
After_15pct_UP_H20,1.5851398328937154,26539,1.7243195214780762,False,MOMENTUM_UP,,
After_15pct_DN_H20,4.43341584904328,17251,1.9934326762954215,False,GRAVITY_UP,,
After_15pct_UP_H40,2.7358807256091384,25509,2.36082622882522,False,MOMENTUM_UP,,
After_15pct_DN_H40,7.836608540689872,16211,2.718750007095081,False,GRAVITY_UP,,
After_20pct_UP_H1,-0.00900216733129025,15313,-3.708895787251748,True,GRAVITY_DOWN,,
After_20pct_DN_H1,7.2243216431301756,8683,1.0036765733138937,False,GRAVITY_UP,,
After_20pct_UP_H2,-0.010304864212600275,15297,-3.318936388747489,True,GRAVITY_DOWN,,
After_20pct_DN_H2,2.6468285427163485,8664,1.0192335271377395,False,GRAVITY_UP,,
After_20pct_UP_H3,-0.01243692115473695,15269,-3.4550299538532188,True,GRAVITY_DOWN,,
After_20pct_DN_H3,2.9435205025215514,8642,1.0175418018905207,False,GRAVITY_UP,,
After_20pct_UP_H5,0.9749742232083135,15228,0.9898461804046336,False,MOMENTUM_UP,,
After_20pct_DN_H5,2.967640737881926,8565,1.0167408793144082,False,GRAVITY_UP,,
After_20pct_UP_H10,2.1955638255297085,15067,1.4036106848894467,False,MOMENTUM_UP,,
After_20pct_DN_H10,8.66738674542678,8464,1.7395767722050024,False,GRAVITY_UP,,
After_20pct_UP_H20,2.8332972470522266,14787,1.7173223943979148,False,MOMENTUM_UP,,
After_20pct_DN_H20,9.162156040431071,8302,1.9827712440365979,False,GRAVITY_UP,,
After_20pct_UP_H40,4.861747484096699,14261,2.345569463546572,False,MOMENTUM_UP,,
After_20pct_DN_H40,16.198000177807607,7820,2.711390541795354,False,GRAVITY_UP,,
After_25pct_UP_H1,-0.012987176369790148,9792,-3.6891264791673324,True,GRAVITY_DOWN,,
After_25pct_DN_H1,12.92176652624039,4851,1.0029520629187063,False,GRAVITY_UP,,
After_25pct_UP_H2,-0.017051862312248443,9781,-4.064574112280744,True,GRAVITY_DOWN,,
After_25pct_DN_H2,4.7166398235067435,4838,1.014212794352445,False,GRAVITY_UP,,
After_25pct_UP_H3,-0.016831348077989944,9762,-3.237160937505308,True,GRAVITY_DOWN,,
