ticker,pattern,gross,net
SHW,GapUp_2pct,0.009972629391231957,0.009872629391231957
PRPO,GapUp_2pct,0.01440765116218308,0.013407651162183079
TPL,GapUp_2pct,0.0008068341896238536,0.0005068341896238536
CNL,GapUp_2pct,0.014607072663305848,0.014107072663305848
AVTR,GapUp_2pct,0.011988298707005803,0.011888298707005803
PTGX,GapUp_2pct,0.01937011788471802,0.01907011788471802
SEMI,GapUp_2pct,0.0016693471724981252,0.0006693471724981252
MTNB,GapUp_2pct,-0.013839257490511889,-0.014139257490511889
ABEV,GapUp_2pct,0.004992913475611672,0.004892913475611672
XAIX,GapUp_2pct,0.022529503883752727,0.022029503883752726
CTSO,GapUp_2pct,0.024332553828320853,0.02403255382832085
ORN,GapUp_2pct,0.040564628747290575,0.04026462874729057
NBHC,GapUp_2pct,-0.01653284087886503,-0.01683284087886503
FAS,GapUp_2pct,0.042990312998927645,0.04269031299892764
SLS,GapUp_2pct,-0.013001427734304407,-0.013101427734304406
INTS,GapUp_2pct,0.004896608108760373,0.004796608108760373
BLIN,GapUp_2pct,-0.0007517619076580077,-0.0012517619076580077
RNGR,GapUp_2pct,-0.040392850985026214,-0.040692850985026216
GYRE,GapUp_2pct,0.012761870013023308,0.012461870013023308
UCAR,GapUp_2pct,-0.02462607462242804,-0.024926074622428043
VLO,GapUp_2pct,0.031691494687658174,0.03159149468765817
RCUS,GapUp_2pct,0.002794872881576607,0.0024948728815766073
PLTR,GapUp_2pct,0.03992975056644619,0.039829750566446186
BRAZ,GapUp_2pct,0.007625306864730725,0.006625306864730725
PATK,GapUp_2pct,0.0154659810207909,0.0151659810207909
CRWS,GapUp_2pct,-0.0139278031136169,-0.0144278031136169
MGIC,GapUp_2pct,0.0040637041242854366,0.0035637041242854365
AMRN,GapUp_2pct,0.009729152606151878,0.009229152606151878
MGNR,GapUp_2pct,0.014765393356465793,0.014265393356465792
API,GapUp_2pct,0.02801756673208286,0.02771756673208286
VVX,GapUp_2pct,-0.004030503307928863,-0.004330503307928863
KINS,GapUp_2pct,0.012430690239599668,0.012130690239599668
HBNB,GapUp_2pct,-0.004098187192586128,-0.004398187192586128
NMAX,GapUp_2pct,-0.13031474411327812,-0.1304147441132781
BBGI,GapUp_2pct,-0.022687443529576284,-0.022987443529576285
NLOP,GapUp_2pct,0.022921491729083785,0.022621491729083783
PRTS,GapUp_2pct,-0.011734987511769917,-0.012034987511769917
GDEN,GapUp_2pct,0.01857490522083684,0.01827490522083684
USO,GapUp_2pct,-0.011713056832656193,-0.011813056832656193
GVH,GapUp_2pct,-0.016294051028383813,-0.016794051028383813
DOCN,GapUp_2pct,0.0063434046093510535,0.006243404609351053
BAM,GapUp_2pct,0.03529847018251427,0.03519847018251427
ELLO,GapUp_2pct,0.013615266878366434,0.012615266878366435
PSO,GapUp_2pct,0.004725628551546919,0.004425628551546919
CMT,GapUp_2pct,0.006171730514818036,0.005671730514818035
KFY,GapUp_2pct,0.011479840509143448,0.011179840509143448
BBY,GapUp_2pct,0.012389637430828163,0.012289637430828164
APEI,GapUp_2pct,0.0076103691743964474,0.0073103691743964475
GDXJ,GapUp_2pct,0.01300042700686874,0.01290042700686874
LMND,GapUp_2pct,0.025753595479263848,0.02565359547926385
ELVN,GapUp_2pct,-0.01229948880148152,-0.01259948880148152
ACRS,GapUp_2pct,0.009877735676192257,0.009777735676192258
SIRI,GapUp_2pct,0.00801313935012959,0.00791313935012959
MCRB,GapUp_2pct,0.016825217992029996,0.016525217992029995
ZSPC,GapUp_2pct,-0.06244837335460265,-0.06274837335460265
QXQ,GapUp_2pct,0.015928737059319895,0.014928737059319894
GLSI,GapUp_2pct,0.004278082026102938,0.0037780820261029383
YRD,GapUp_2pct,0.006464488085081196,0.0061644880850811965
AAXJ,GapUp_2pct,0.005441533744620153,0.005141533744620153
ALMS,GapUp_2pct,0.04505296349859417,0.044752963498594166
LESL,GapUp_2pct,-0.04074735819677474,-0.04104735819677474
GOLF,GapUp_2pct,0.02179723195030881,0.02149723195030881
UGA,GapUp_2pct,0.0041333330700167,0.0036333330700167
TROW,GapUp_2pct,0.0016679453971825938,0.0015679453971825937
CGON,GapUp_2pct,0.008655033947384289,0.008355033947384289
BITI,GapUp_2pct,-0.018106033318574372,-0.01820603331857437
RVPH,GapUp_2pct,0.029886121558131497,0.029786121558131498
