strategy,best_sector,best_t,worst_sector,worst_t,spread
AboveEMA200,FINC,19.384700890799305,REAL,-2.4934756637173234,21.878176554516628
RSI_Oversold,ENRG,11.382973277240797,REAL,-3.3346369069055637,14.717610184146361
Near52High,TECH,4.697030109644526,ENRG,-9.13853532055843,13.835565430202957
LowVol,UTIL,10.523176113361178,REAL,-9.54210526518915,20.065281378550328
Momentum_Pos,FINC,16.414527476490818,ENRG,-5.13719725532021,21.551724731811028
Oversold_LowVol,HLTH,5.267947700599829,COMM,-3.465105096417706,8.733052797017535
Near52High_LowVol,DISC,3.084907102395346,STPL,-4.384493061032696,7.469400163428042
