ticker,total_bars,first_date,last_date,date_span_days,expected_bars,coverage_pct
DMAAU,141,2025-01-28,2025-12-15,321,221.6219178082192,63.62186619195964
FVNNR,103,2024-11-04,2025-12-18,409,282.37808219178083,36.475918810882135
PRHIZ,165,2024-08-07,2025-12-18,498,343.82465753424657,47.98957735704724
