category,strategy,mean,n,t,significant
CCI20,CCI20_Below150_H1,0.0026657502138584485,301728,4.744015275283203,True
CCI20,CCI20_Above150_H1,3.8690859024941875e-05,370617,0.3148082750074639,False
CCI20,CCI20_Below150_H3,0.005756993618817043,300197,8.133347699592868,True
CCI20,CCI20_Above150_H3,0.0006378882876187641,369735,3.2189389695648463,True
CCI20,CCI20_Below150_H5,0.008486261781905376,299286,11.662569905250725,True
CCI20,CCI20_Above150_H5,0.0005632633533692066,368112,2.2790963777583424,False
CCI20,CCI20_Below150_H10,0.014672383577997042,297646,21.554744382553718,True
CCI20,CCI20_Above150_H10,0.002434185418381801,364303,7.445038565421385,True
CCI20,CCI20_Below150_H15,0.02267739771923031,296603,31.555315624206038,True
CCI20,CCI20_Above150_H15,0.004711479167829467,359905,10.496332496035125,True
CCI20,CCI20_Below200_H1,0.0036740623162832067,106238,2.4073858114170097,False
CCI20,CCI20_Above200_H1,-3.5195051293623647e-06,127491,-0.011822749377364572,False
CCI20,CCI20_Below200_H3,0.008891830075701226,105670,4.752938429683242,True
CCI20,CCI20_Above200_H3,0.0007125508100484299,127220,1.729056782627814,False
CCI20,CCI20_Below200_H5,0.012424314433267716,105350,6.537230247985628,True
CCI20,CCI20_Above200_H5,0.0006496177074817793,126698,1.3138718562573257,False
CCI20,CCI20_Below200_H10,0.01733935048625933,104844,10.919905472073427,True
CCI20,CCI20_Above200_H10,0.0025652090083464404,125582,3.5309991326074384,True
CCI20,CCI20_Below200_H15,0.02899694900500594,104491,18.06737174303812,True
CCI20,CCI20_Above200_H15,0.004287568869977901,124538,4.153950324008448,True
CCI30,CCI30_Below100_H1,0.002047817244439961,735381,8.346919941190123,True
CCI30,CCI30_Above100_H1,5.2952567361192076e-05,927717,0.9121359518746027,False
CCI30,CCI30_Below100_H3,0.004986923457197885,731983,15.511715685840713,True
CCI30,CCI30_Above100_H3,0.0004850665355010306,924224,4.933602776630849,True
CCI30,CCI30_Below100_H5,0.007677116795124005,729663,22.37651710107561,True
CCI30,CCI30_Above100_H5,0.0008354086357706098,918776,6.581877506419502,True
CCI30,CCI30_Below100_H10,0.014153518279140727,725305,39.09453832465526,True
CCI30,CCI30_Above100_H10,0.00260601049225908,906585,14.738151055458294,True
CCI30,CCI30_Below100_H15,0.019272141891735678,721231,44.512081755664525,True
CCI30,CCI30_Above100_H15,0.0047166699984737695,895984,21.204980313118025,True
CCI30,CCI30_Below150_H1,0.002075997308122022,303686,9.148874457676948,True
CCI30,CCI30_Above150_H1,1.628369118832217e-05,375318,0.13432165480312377,False
CCI30,CCI30_Below150_H3,0.005599878231481597,302374,18.934476643184418,True
CCI30,CCI30_Above150_H3,0.0006144221531394349,374162,3.0963881036175214,True
CCI30,CCI30_Below150_H5,0.008562276475272397,301588,25.580133535668,True
CCI30,CCI30_Above150_H5,0.0008202073008307151,371999,3.2787054665884265,True
CCI30,CCI30_Below150_H10,0.01591716730352437,300143,39.305300595819254,True
CCI30,CCI30_Above150_H10,0.002836120333287121,367155,8.361274019983343,True
CCI30,CCI30_Below150_H15,0.023413025426553023,299095,47.667939659469816,True
CCI30,CCI30_Above150_H15,0.004651117848932426,362783,10.367252597858625,True
CCI30,CCI30_Below200_H1,0.003809502759193476,113970,7.30434707583223,True
CCI30,CCI30_Above200_H1,-0.000304897051992658,135529,-1.085254651180058,False
CCI30,CCI30_Below200_H3,0.008315271267820437,113479,16.99031225959174,True
CCI30,CCI30_Above200_H3,0.0004997782637989924,135155,1.0895540027993784,False
CCI30,CCI30_Below200_H5,0.012033518879575976,113215,19.881821133990197,True
CCI30,CCI30_Above200_H5,0.0005755460724715001,134523,1.0264082604323501,False
CCI30,CCI30_Below200_H10,0.018720663510896338,112771,27.437595653157015,True
CCI30,CCI30_Above200_H10,0.003152272828489628,133135,4.2360460940227656,True
CCI30,CCI30_Below200_H15,0.029430785371424975,112487,33.32620587257086,True
CCI30,CCI30_Above200_H15,0.0033543718467274474,131810,4.07991374650648,True
ADX7,ADX7_Strong20_H1,0.0007753823694102893,3940291,14.737134106947279,True
ADX7,ADX7_Weak20_H1,0.0006685442576243309,281679,8.16013545122511,True
ADX7,ADX7_Bullish_H1,0.0004953593326856512,2269918,12.54220022396792,True
ADX7,ADX7_Strong20_H5,0.023385837872313752,3904306,1.4205508970174223,False
ADX7,ADX7_Weak20_H5,0.00317987609679006,280040,9.126898132112231,True
ADX7,ADX7_Bullish_H5,0.002176786477281206,2250360,17.593012414790127,True
ADX7,ADX7_Strong20_H10,0.049688612572306445,3859612,2.893947473443987,False
ADX7,ADX7_Weak20_H10,0.00589036016174173,277779,11.041274582527729,True
ADX7,ADX7_Bullish_H10,0.004267016775062084,2220933,24.795439598858554,True
ADX7,ADX7_Strong20_H20,0.07844951005449298,3770210,4.428368688376056,True
ADX7,ADX7_Weak20_H20,0.009404657108683937,273277,18.18069579725257,True
