category,strategy,avg_return,n,t_stat,significant
ATR,HighATR5_Top10_H1,0.14754108284906264,432374,1.0206982844601873,False
ATR,LowATR5_Bot10_H1,0.00016032782515169284,432303,2.4798701708134545,False
ATR,HighATR5_Top10_H5,0.3275531562106149,428371,1.9252552364177842,False
ATR,LowATR5_Bot10_H5,0.0009367616199435369,427668,6.5394720479646775,True
ATR,HighATR5_Top10_H10,0.5398919729960915,424388,3.1084332190843047,True
ATR,LowATR5_Bot10_H10,0.0020351599732131506,420335,9.202426887717131,True
ATR,HighATR5_Top25_H1,0.059674890124392116,1081231,1.0323684803130568,False
ATR,LowATR5_Bot25_H1,0.0002043122141515777,1081146,7.434482734526661,True
ATR,HighATR5_Top25_H5,0.13417876181609711,1071806,1.9732621190282025,False
ATR,LowATR5_Bot25_H5,0.0010124099689861614,1070576,16.699806857679743,True
ATR,HighATR5_Top25_H10,0.2224152437822199,1060930,3.201244567869933,True
ATR,LowATR5_Bot25_H10,0.0020182616391727767,1054748,22.03009056726694,True
ATR,HighATR10_Top10_H1,0.14927165036135007,427670,1.0214355358331404,False
ATR,LowATR10_Bot10_H1,0.00017737837196347096,427468,2.734311944093224,False
ATR,HighATR10_Top10_H5,0.3324757684680596,423838,1.9335090905647665,False
ATR,LowATR10_Bot10_H5,0.0008345685437573218,422266,5.80927460858249,True
ATR,HighATR10_Top10_H10,0.5456913021680239,420157,3.11050059659549,True
ATR,LowATR10_Bot10_H10,0.0019091742387262502,415778,8.59877685881162,True
ATR,HighATR10_Top25_H1,0.06044450535689553,1069407,1.0342474716744454,False
ATR,LowATR10_Bot25_H1,0.00018785301986111062,1068992,6.821745484601291,True
ATR,HighATR10_Top25_H5,0.1362496893775403,1060257,1.9821270133098134,False
ATR,LowATR10_Bot25_H5,0.0008329030539535,1057153,13.956814709606757,True
ATR,HighATR10_Top25_H10,0.22551324287297417,1049595,3.211156204910522,True
ATR,LowATR10_Bot25_H10,0.002123481089629593,1042049,22.938621152874042,True
ATR,HighATR14_Top10_H1,0.15073702706394992,423882,1.0223268130796175,False
ATR,LowATR14_Bot10_H1,0.00017161891692874927,423616,2.636955015914836,False
ATR,HighATR14_Top10_H5,0.3352618023919757,420253,1.9332202284902724,False
ATR,LowATR14_Bot10_H5,0.000873461619066037,418504,6.040533105395084,True
ATR,HighATR14_Top10_H10,0.5496709442142552,416274,3.1042312811649304,True
ATR,LowATR14_Bot10_H10,0.0019173865289738227,412824,8.593375696305811,True
ATR,HighATR14_Top25_H1,0.06099364973025642,1059918,1.0343833229886537,False
ATR,LowATR14_Bot25_H1,0.00019151472212658273,1059339,6.929523399849385,True
ATR,HighATR14_Top25_H5,0.13762269403538896,1050992,1.9846060504462946,False
ATR,LowATR14_Bot25_H5,0.0010019688856049939,1047502,16.278640240913173,True
ATR,HighATR14_Top25_H10,0.2275828788270828,1039641,3.2098941122178446,True
ATR,LowATR14_Bot25_H10,0.002359303188459183,1034313,25.1078544006664,True
ATR,HighATR20_Top10_H1,0.15261974483648874,418163,1.0211303334054849,False
ATR,LowATR20_Bot10_H1,0.00017698912389807535,418040,2.694305089722459,False
ATR,HighATR20_Top10_H5,0.3390120954592021,414310,1.9272014383655347,False
ATR,LowATR20_Bot10_H5,0.0008981268941120632,413438,6.147852493293714,True
ATR,HighATR20_Top10_H10,0.5566366453363758,409942,3.095751505302766,True
ATR,LowATR20_Bot10_H10,0.001929528329828002,407764,8.623744582243074,True
ATR,HighATR20_Top25_H1,0.06184155197148738,1045619,1.0346142980753652,False
ATR,LowATR20_Bot25_H1,0.00021381589370136209,1045385,7.669427327222894,True
ATR,HighATR20_Top25_H5,0.13933891244318916,1036172,1.9810216257464675,False
ATR,LowATR20_Bot25_H5,0.0011304908157512084,1034998,18.19934679462456,True
ATR,HighATR20_Top25_H10,0.23038108810131144,1024294,3.201395052962206,True
ATR,LowATR20_Bot25_H10,0.0025177411694927523,1022221,26.713992530629067,True
CLV,CLVHigh3_H1,-0.0007503145335574455,401420,-9.266336035841247,True
CLV,CLVLow3_H1,0.0023537927084890707,398723,21.579251776366977,True
CLV,CLVHigh3_H3,-0.0005587345338827289,400694,-3.3245134616980865,True
CLV,CLVLow3_H3,0.004668675017716632,395258,22.999989986541777,True
CLV,CLVHigh3_H5,0.0011857988474575398,399535,6.142097559850891,True
CLV,CLVLow3_H5,0.005991129601987298,393406,24.922274752073818,True
CLV,CLVHigh5_H1,-0.000488934475146088,193450,-3.599090597682683,True
CLV,CLVLow5_H1,0.0026967498298560632,195189,15.479378906881193,True
CLV,CLVHigh5_H3,0.00015660638832822312,193025,0.6559303792313999,False
CLV,CLVLow5_H3,0.0047961783695264874,193955,16.52986624324576,True
CLV,CLVHigh5_H5,0.001168334510753309,192624,4.647456355053405,True
CLV,CLVLow5_H5,0.006561992955178597,193133,18.476041834334897,True
CLV,CLVHigh10_H1,-0.00028159628566083776,45223,-0.6338610958189763,False
CLV,CLVLow10_H1,0.0035907625237914693,49393,7.618324250854213,True
CLV,CLVHigh10_H3,-0.0006981275111058007,45107,-1.3879686001526168,False
CLV,CLVLow10_H3,0.006890448956353933,49128,9.53145025474062,True
CLV,CLVHigh10_H5,0.0008110220864719013,44976,0.7822913919346501,False
CLV,CLVLow10_H5,0.008110820657855997,48871,9.339686502958106,True
MA_DIST,AboveMA10_5pct_H1,-0.0001531757724342427,368644,-0.920376212172767,False
MA_DIST,BelowMA10_5pct_H1,0.14495727774201256,443002,1.0274738428855583,False
MA_DIST,AboveMA10_5pct_H5,0.1340608962174551,366208,1.7573191150522574,False
MA_DIST,BelowMA10_5pct_H5,0.21146746996121588,437712,1.3750808362649525,False
MA_DIST,AboveMA10_5pct_H10,0.14065573992243768,360694,1.804323790024251,False
MA_DIST,BelowMA10_5pct_H10,0.24741881831961637,434936,2.1948238825829325,False
MA_DIST,AboveMA10_10pct_H1,-0.0007231542633585318,138689,-1.9348799702873998,False
MA_DIST,BelowMA10_10pct_H1,0.39096372438205323,162864,1.018795022334673,False
MA_DIST,AboveMA10_10pct_H5,0.3518975049731514,137922,1.7372965166562095,False
MA_DIST,BelowMA10_10pct_H5,0.5632627720423394,160549,1.3434337408091084,False
MA_DIST,AboveMA10_10pct_H10,0.36144931085233734,135999,1.7482667389941422,False
MA_DIST,BelowMA10_10pct_H10,0.645596299463457,159567,2.1011228129649413,False
MA_DIST,AboveMA10_15pct_H1,-0.0015677219623030341,68710,-2.322799480781534,False
MA_DIST,BelowMA10_15pct_H1,0.8840063190483136,71732,1.0145971624193426,False
MA_DIST,AboveMA10_15pct_H5,-0.001526312173874019,68329,-1.0279021520213876,False
MA_DIST,BelowMA10_15pct_H5,1.2658347396115974,70637,1.3283376514639038,False
MA_DIST,AboveMA10_15pct_H10,-0.002492386736129781,67426,-1.0688358067498098,False
MA_DIST,BelowMA10_15pct_H10,1.4357756141332576,70159,2.0545920132027247,False
MA_DIST,AboveMA20_5pct_H1,-8.821668420325634e-05,565750,-0.7808238774249514,False
MA_DIST,BelowMA20_5pct_H1,0.09882768276960757,655375,1.0363190591606066,False
MA_DIST,AboveMA20_5pct_H5,0.08832596697610426,559553,1.7690879722195028,False
MA_DIST,BelowMA20_5pct_H5,0.14647441593165314,650263,1.414964531483222,False
MA_DIST,AboveMA20_5pct_H10,0.22772004529026485,549813,2.274796333646408,False
MA_DIST,BelowMA20_5pct_H10,0.17201519721284872,646202,2.26710607725014,False
MA_DIST,AboveMA20_10pct_H1,-0.000304880743860159,246013,-1.3573567637444677,False
MA_DIST,BelowMA20_10pct_H1,0.2119031712710172,303205,1.0280137091792543,False
MA_DIST,AboveMA20_10pct_H5,0.1321257342318923,243807,1.4367011525221989,False
MA_DIST,BelowMA20_10pct_H5,0.3080083664997093,300592,1.3754227695502268,False
MA_DIST,AboveMA20_10pct_H10,0.14623221283446072,239721,1.4872963868414306,False
MA_DIST,BelowMA20_10pct_H10,0.356056258942478,298670,2.1689629791748386,False
MA_DIST,AboveMA20_15pct_H1,-0.0008607144253304133,133692,-2.3116179054831365,False
MA_DIST,BelowMA20_15pct_H1,0.4024413907131246,158480,1.0204749219434566,False
MA_DIST,AboveMA20_15pct_H5,0.0011986467515257898,132652,1.4270241941604878,False
MA_DIST,BelowMA20_15pct_H5,0.5788583830639824,156994,1.3500597437889332,False
MA_DIST,AboveMA20_15pct_H10,0.00555938714857891,130601,4.147851481815328,True
MA_DIST,BelowMA20_15pct_H10,0.6645729917317497,155942,2.113741787026105,False
MA_DIST,AboveMA50_5pct_H1,-2.9733311835947958e-05,825584,-0.40781802722547045,False
MA_DIST,BelowMA50_5pct_H1,0.07281175899822732,886373,1.0326258617303419,False
MA_DIST,AboveMA50_5pct_H5,0.021492391620471587,818008,1.0548877016381233,False
MA_DIST,BelowMA50_5pct_H5,0.10796834028768962,877588,1.40760694028936,False
MA_DIST,AboveMA50_5pct_H10,0.02271047801051211,808507,1.1974833596790797,False
MA_DIST,BelowMA50_5pct_H10,0.12784373309419605,867411,2.2617224681062664,False
MA_DIST,AboveMA50_10pct_H1,-0.00012772481929249505,423649,-0.975387222203442,False
MA_DIST,BelowMA50_10pct_H1,0.12235144443355957,525397,1.0285412012348218,False
MA_DIST,AboveMA50_10pct_H5,0.0011839692276800074,419532,4.240470777386927,True
MA_DIST,BelowMA50_10pct_H5,0.17952000035905524,519361,1.3850867386747807,False
MA_DIST,AboveMA50_10pct_H10,0.004291514171876559,414458,10.652335818970748,True
MA_DIST,BelowMA50_10pct_H10,0.2100785283838001,512603,2.196342032893072,False
MA_DIST,AboveMA50_15pct_H1,-0.00016643056662252854,256382,-0.8322387124144984,False
MA_DIST,BelowMA50_15pct_H1,0.19166657897856065,333718,1.0234134086089135,False
MA_DIST,AboveMA50_15pct_H5,0.0012401845090599655,254270,2.97141586577581,False
MA_DIST,BelowMA50_15pct_H5,0.27945719527935514,329280,1.3670235423333184,False
MA_DIST,AboveMA50_15pct_H10,0.004708603805031699,251401,7.8974292274591065,True
MA_DIST,BelowMA50_15pct_H10,0.32509614083000093,324690,2.152880417705822,False
MA_DIST,AboveMA100_5pct_H1,0.00026371175812538297,979895,3.993850228200183,True
MA_DIST,BelowMA100_5pct_H1,0.06901605550450557,932829,1.0300946781741767,False
MA_DIST,AboveMA100_5pct_H5,0.0016284197596830624,970650,12.39733969745862,True
MA_DIST,BelowMA100_5pct_H5,0.15472185996248158,922854,1.9591645869906615,False
MA_DIST,AboveMA100_5pct_H10,0.004452076493950082,958182,23.523126422462756,True
MA_DIST,BelowMA100_5pct_H10,0.25537540703852607,911048,3.156392350567398,True
MA_DIST,AboveMA100_10pct_H1,0.00023477142328124747,557479,2.4524751144960955,False
MA_DIST,BelowMA100_10pct_H1,0.10064390811715249,638196,1.0277005040998224,False
MA_DIST,AboveMA100_10pct_H5,0.0018311972747771161,551664,8.848821005289688,True
MA_DIST,BelowMA100_10pct_H5,0.14834492632226678,630942,1.390454455926101,False
MA_DIST,AboveMA100_10pct_H10,0.005170867983581068,544026,16.891057417730778,True
MA_DIST,BelowMA100_10pct_H10,0.29276134688037087,622495,2.674642395945951,False
MA_DIST,AboveMA100_15pct_H1,0.00021211446384711562,363626,1.5327951745863384,False
MA_DIST,BelowMA100_15pct_H1,0.1407660524622976,455112,1.0250410163351473,False
MA_DIST,AboveMA100_15pct_H5,0.001700763686677411,359809,6.0009033855485905,True
MA_DIST,BelowMA100_15pct_H5,0.20619835399731662,449524,1.3769970058112069,False
MA_DIST,AboveMA100_15pct_H10,0.005517033685451625,354692,12.691363517538456,True
MA_DIST,BelowMA100_15pct_H10,0.24167105684505105,443149,2.1842989205154915,False
MA_DIST,AboveMA200_5pct_H1,0.00043746546854007447,868173,7.533057730188864,True
MA_DIST,BelowMA200_5pct_H1,0.08118057538524316,789990,1.026121513936415,False
MA_DIST,AboveMA200_5pct_H5,0.0024283773901898,852394,20.17135079522209,True
MA_DIST,BelowMA200_5pct_H5,0.18254700452275183,781061,1.9563478768525724,False
MA_DIST,AboveMA200_5pct_H10,0.005439429318303137,832161,30.05729872176456,True
MA_DIST,BelowMA200_5pct_H10,0.3014459630019839,770181,3.1497296003038087,True
MA_DIST,AboveMA200_10pct_H1,0.0005390914788272776,573081,6.36091331377307,True
MA_DIST,BelowMA200_10pct_H1,0.1077457306947603,594435,1.0247773861447105,False
MA_DIST,AboveMA200_10pct_H5,0.0027721467095884775,562784,16.014185021610306,True
MA_DIST,BelowMA200_10pct_H5,0.2416743844532153,587389,1.947794553383188,False
MA_DIST,AboveMA200_10pct_H10,0.0063698747185375925,548808,25.16807585119526,True
MA_DIST,BelowMA200_10pct_H10,0.39881314815027674,578860,3.131950588536633,True
MA_DIST,AboveMA200_15pct_H1,0.0005618047998810175,393953,4.839664899621112,True
MA_DIST,BelowMA200_15pct_H1,0.1383673509044964,461712,1.0221859190545188,False
MA_DIST,AboveMA200_15pct_H5,0.00320016327267857,386769,13.483217795312205,True
MA_DIST,BelowMA200_15pct_H5,0.3097870018380872,456061,1.9385328571474654,False
MA_DIST,AboveMA200_15pct_H10,0.0073021144938509525,377350,20.870224647313126,True
MA_DIST,BelowMA200_15pct_H10,0.5111599250559138,449303,3.1157958931578524,True
COMBO,RSI_VolSpike_Buy_H1,0.004613531859640225,42450,4.704922953279907,True
COMBO,RSI_VolSpike_Sell_H1,-0.0005679847618400914,59352,-1.0830059968463692,False
COMBO,RSI_VolSpike_Buy_H3,0.012055646338548585,42269,9.873599750995345,True
COMBO,RSI_VolSpike_Sell_H3,-0.0008493969751612253,59161,-1.2179387873659848,False
COMBO,RSI_VolSpike_Buy_H5,0.015500333696007361,42176,10.628575524969778,True
