date,vxx,vxx_ret,contango_ratio,spy_vol,signal_ts,signal_always_short,signal_bh,signal_random,ret_ts,ret_always_short,ret_bh,ret_random,cumret_ts,cumret_always_short,cumret_bh,cumret_random
2018-01-26 05:00:00+00:00,1770.239990234375,0.0,1.2148014558509896,0.06346994103524702,-1,-1,1,-1,,,,,,,,
2018-01-29 05:00:00+00:00,1893.1199951171875,0.06941431984402491,1.0830924570701856,0.06771098213907754,-1,-1,1,1,-0.06941431984402491,-0.06941431984402491,0.06941431984402491,-0.06941431984402491,0.9305856801559751,0.9305856801559751,1.069414319844025,0.9305856801559751
2018-01-30 05:00:00+00:00,1955.199951171875,0.03279240418716545,1.0703177798874537,0.07754904866041096,-1,-1,1,-1,-0.03279240418716545,-0.03279240418716545,0.03279240418716545,0.03279240418716545,0.900069538401512,0.900069538401512,1.1044829864638928,0.9611018219104381
2018-01-31 05:00:00+00:00,1961.5999755859373,0.0032733349907390075,1.1004431063891318,0.0704715846032882,-1,-1,1,-1,-0.0032733349907390075,-0.0032733349907390075,0.0032733349907390075,-0.0032733349907390075,0.8971233092873641,0.8971233092873641,1.108098329270161,0.9579558136871157
2018-02-01 05:00:00+00:00,1862.8480224609373,-0.05034255421801914,1.0927988103355637,0.07028252391099592,-1,-1,1,-1,0.05034255421801914,0.05034255421801914,-0.05034255421801914,0.05034255421801914,0.9422867881254119,0.9422867881254119,1.0523138290499814,1.006181756176126
2018-02-02 05:00:00+00:00,2102.39990234375,0.12859443013840166,0.9838244489927468,0.10393237432958072,0,-1,1,1,-0.12859443013840166,-0.12859443013840166,0.12859443013840166,-0.12859443013840166,0.8211139555794797,0.8211139555794797,1.1876355262234233,0.8767923866250008
2018-02-05 05:00:00+00:00,2807.0400390625,0.33515989794958556,0.7537513234403336,0.17411078555856638,1,-1,1,-1,0.0,-0.33515989794958556,0.33515989794958556,0.33515989794958556,0.8211139555794797,0.5459094860224808,1.585683327993768,1.1706580334492096
2018-02-06 05:00:00+00:00,2759.424072265625,-0.01696305223091077,0.7921948086270182,0.1917540829029119,1,-1,1,-1,-0.01696305223091077,0.01696305223091077,-0.01696305223091077,0.01696305223091077,0.8071853566634553,0.5551697771472298,1.5587852988793254,1.190515966815144
2018-02-07 05:00:00+00:00,2850.56005859375,0.03302717666491106,0.8305085130480394,0.19185529065241494,1,-1,1,-1,0.03302717666491106,-0.03302717666491106,0.03302717666491106,-0.03302717666491106,0.8338444100393084,0.536834086838369,1.6102675763280792,1.1511965856567428
2018-02-08 05:00:00+00:00,3531.52001953125,0.2388863756385593,0.8167961946056576,0.22749265065783353,1,-1,1,1,0.2388863756385593,-0.2388863756385593,0.2388863756385593,-0.2388863756385593,1.0330384790000715,0.4085917375143154,1.9949385614453812,0.8761914056617192
2018-02-09 05:00:00+00:00,3217.919921875,-0.08880031712176872,0.857536150525384,0.23104939336865574,1,-1,1,-1,-0.08880031712176872,0.08880031712176872,-0.08880031712176872,-0.08880031712176872,0.9413043344658756,0.4448748133789211,1.8177873845505863,0.7983853309795902
2018-02-12 05:00:00+00:00,3107.199951171875,-0.034407310744579145,0.8926200728441822,0.24059249858477216,1,-1,1,-1,-0.034407310744579145,0.034407310744579145,-0.034407310744579145,0.034407310744579145,0.908916583724689,0.4601817593252863,1.7552422091427784,0.8258556231565187
2018-02-13 05:00:00+00:00,3070.080078125,-0.011946406291901246,0.9070885158741904,0.240027836535204,1,-1,1,-1,-0.011946406291901246,0.011946406291901246,-0.011946406291901246,0.011946406291901246,0.898058296930067,0.4656792775903081,1.7342733725716644,0.8357216299691977
2018-02-14 05:00:00+00:00,2718.719970703125,-0.11444656115825558,1.0041536823860513,0.24671187192781438,0,-1,1,-1,-0.11444656115825558,0.11444656115825558,-0.11444656115825558,0.11444656115825558,0.7952786131267813,0.5189746695131795,1.5357917489725073,0.9313670966047445
2018-02-15 05:00:00+00:00,2656.0,-0.023069669321958197,0.9973863440013582,0.2523095736981301,0,-1,1,1,-0.0,0.023069669321958197,-0.023069669321958197,0.023069669321958197,0.7952786131267813,0.5309472435253212,1.5003615411763196,0.9528534275407683
2018-02-16 05:00:00+00:00,2695.679931640625,0.014939733298428015,0.9850976864428476,0.24058869633753874,0,-1,1,-1,0.0,-0.014939733298428015,0.014939733298428015,0.014939733298428015,0.7952786131267813,0.5230150333115173,1.5227765424527122,0.9670888036207204
2018-02-20 05:00:00+00:00,2805.760009765625,0.040835737519477666,0.9713592164241605,0.18617990286051314,0,-1,1,1,0.0,-0.040835737519477666,0.040835737519477666,-0.040835737519477666,0.7952786131267813,0.5016573286924674,1.584960245641129,0.9275970190780389
2018-02-21 05:00:00+00:00,2848.0,0.015054740992585192,1.000499511920738,0.17434436896238148,0,-1,1,1,0.0,-0.015054740992585192,0.015054740992585192,0.015054740992585192,0.7952786131267813,0.4941050075419701,1.6088214116228003,0.9415617519457529
2018-02-22 05:00:00+00:00,2810.8798828125,-0.013033749012464901,1.018162401979649,0.17308142134214866,0,-1,1,1,-0.0,0.013033749012464901,-0.013033749012464901,-0.013033749012464901,0.7952786131267813,0.5005450481960743,1.5878524371378293,0.9292896723911552
2018-02-23 05:00:00+00:00,2591.360107421875,-0.07809646251086999,1.0612492566950078,0.10941478550096502,-1,-1,1,-1,-0.0,0.07809646251086999,-0.07809646251086999,-0.07809646251086999,0.7952786131267813,0.5396358457875206,1.4638467788081013,0.8567154363295207
2018-02-26 05:00:00+00:00,2513.919921875,-0.02988399231935379,1.0708860678505467,0.10513010057440762,-1,-1,1,1,0.02988399231935379,0.02988399231935379,-0.02988399231935379,0.02988399231935379,0.8190447130932083,0.5557623192582828,1.4201011929134892,0.8823175138486639
