,start,end,strat_sharpe,baseline_sharpe,excess
0,2011-02-01,2011-05-02,1.4679061551072092,1.4679061551072092,0.0
1,2011-05-03,2011-08-01,-3.1855390266159427,-0.5060059134338614,-2.679533113182081
2,2011-08-02,2011-10-28,1.0699525066701123,-0.37205000670642346,1.4420025133765357
3,2011-10-31,2012-01-31,-1.1991587437166578,0.6713158406979262,-1.870474584414584
4,2012-02-01,2012-05-01,-0.16650092384342904,-0.16650092384342904,0.0
5,2012-05-02,2012-07-31,-0.9585292037953553,-1.016144199722989,0.05761499592763364
6,2012-08-01,2012-10-31,1.309818051464718,1.309818051464718,0.0
7,2012-11-01,2013-02-01,0.9971839655161274,2.4150148809971443,-1.417830915481017
8,2013-02-04,2013-05-03,0.40916318559944814,-0.18705674575344455,0.5962199313528926
9,2013-05-06,2013-08-02,-2.9074239626984193,-1.332687762183785,-1.5747362005146344
10,2013-08-05,2013-10-31,1.5840574185775367,1.5840574185775367,0.0
11,2013-11-01,2014-02-03,-2.7506809023277823,-2.4876159188531806,-0.2630649834746017
12,2014-02-04,2014-05-05,2.373351529272296,2.373351529272296,0.0
13,2014-05-06,2014-08-04,3.6585242911321316,2.7575176909907526,0.901006600141379
14,2014-08-05,2014-10-31,3.4134347735551507,-0.9116789086143173,4.325113682169468
15,2014-11-03,2015-02-03,-2.0175939987780804,-0.29549547832962336,-1.7220985204484571
16,2015-02-04,2015-05-05,-0.27640385546940527,1.6236797480812222,-1.9000836035506274
17,2015-05-06,2015-08-04,-1.7390184219279745,-3.0242724706757063,1.2852540487477317
18,2015-08-05,2015-11-02,0.29462154565536763,-0.29373240234592685,0.5883539480012945
19,2015-11-03,2016-02-03,-0.6132391447847674,-2.5549032158961964,1.941664071111429
20,2016-02-04,2016-05-04,1.546994270993394,1.546994270993394,0.0
21,2016-05-05,2016-08-03,0.09186948310223908,2.0124413287022875,-1.9205718456000485
22,2016-08-04,2016-11-01,0.5775328320360725,0.48899616106542854,0.088536670970644
23,2016-11-02,2017-02-02,-2.3008792705381955,1.0293936579088139,-3.3302729284470094
24,2017-02-03,2017-05-04,2.463871812711996,1.8100429661730402,0.6538288465389559
25,2017-05-05,2017-08-03,3.097660456661877,3.097660456661877,0.0
26,2017-08-04,2017-11-01,2.8035233179970733,1.9762386379582337,0.8272846800388396
27,2017-11-02,2018-02-02,2.2928874606297365,1.9394695757466514,0.3534178848830851
28,2018-02-05,2018-05-04,0.2870989572255105,-0.2250807107327955,0.5121796679583059
29,2018-05-07,2018-08-03,-0.8324552694995886,-0.7857075149000731,-0.04674775459951552
30,2018-08-06,2018-11-01,0.4463283647355023,-1.2433962788689674,1.6897246436044697
31,2018-11-02,2019-02-05,0.9088250905364217,1.5902061803868448,-0.6813810898504231
32,2019-02-06,2019-05-07,-0.16766609812857947,-0.16766609812857947,0.0
33,2019-05-08,2019-08-06,-0.14270425117014518,-1.3758897264456227,1.2331854752754774
34,2019-08-07,2019-11-04,2.762584176051274,2.762584176051274,0.0
35,2019-11-05,2020-02-05,0.6227061220310992,0.6227061220310992,0.0
36,2020-02-06,2020-05-06,-1.501103379745563,-1.1462375597559904,-0.3548658199895727
37,2020-05-07,2020-08-05,3.738459046765147,3.738459046765147,0.0
38,2020-08-06,2020-11-03,0.48758711630624574,0.4541244661874385,0.033462650118807225
39,2020-11-04,2021-02-04,4.094621167540714,4.094621167540714,0.0
40,2021-02-05,2021-05-06,-1.726869407560373,-0.6731772362963538,-1.0536921712640193
41,2021-05-07,2021-08-05,-0.3863142779101048,-0.8641507444182414,0.47783646650813655
42,2021-08-06,2021-11-03,-1.0729947808333327,-0.34719035249207925,-0.7258044283412535
43,2021-11-04,2022-02-03,1.0152584886398177,-0.7202096982119085,1.735468186851726
44,2022-02-04,2022-05-05,-2.4426006492281194,-2.1701086185652874,-0.272492030662832
45,2022-05-06,2022-08-05,-1.0996564931992676,-0.13055333226424165,-0.969103160935026
46,2022-08-08,2022-11-03,1.3183032907113645,-2.6449381449168583,3.963241435628223
47,2022-11-04,2023-02-06,2.572941651485747,2.572941651485747,0.0
48,2023-02-07,2023-05-08,1.6146869198079008,-0.6405043320060649,2.2551912518139656
49,2023-05-09,2023-08-08,-0.4613886441434922,0.7744310229837557,-1.235819667127248
50,2023-08-09,2023-11-06,2.602681319543652,-0.862973817670437,3.465655137214089
51,2023-11-07,2024-02-07,-0.09965433534931208,1.2509316611850954,-1.3505859965344074
52,2024-02-08,2024-05-08,1.747839327988758,2.221174664160349,-0.47333533617159085
53,2024-05-09,2024-08-08,-0.9105149355366211,-0.11158112682970421,-0.7989338087069169
54,2024-08-09,2024-11-06,2.775981434730527,1.4973089220724105,1.2786725126581164
55,2024-11-07,2025-02-10,-1.5343578818855745,-0.7482955275083525,-0.786062354377222
56,2025-02-11,2025-05-12,0.9245302503466131,0.9245302503466131,0.0
57,2025-05-13,2025-08-12,4.08456747897727,3.391570063312741,0.6929974156645291
58,2025-08-13,2025-11-10,4.687773735346632,2.5540884835156334,2.133685251830999
