category,strategy,avg_return,n_samples,t_stat,significant,source_file,source
CONSECUTIVE,After2Up_H1,0.0001971463784713,527501,2.8511690764670203,False,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After2Down_H1,0.0011988646276942,505085,11.120224106448829,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After2Up_H3,0.0013147443122545,526082,8.973634311365709,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After2Down_H3,0.002658440834797,502748,14.199874989952752,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After2Up_H5,0.0020613680936124,524989,10.5030371984433,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After2Down_H5,0.0045077159361139,499049,15.161899957873464,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After2Up_H10,0.0037215561197058,518604,13.841707478515072,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After2Down_H10,0.0079820094348089,493391,20.04115327545399,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After3Up_H1,6.631694922623708e-05,254902,0.5673976989610863,False,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After3Down_H1,0.0007776082244776,231411,3.7556657702135663,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After3Up_H3,0.0005704935644864,254548,3.322147787873101,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After3Down_H3,0.0029794153239451,229495,6.504356204156045,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After3Up_H5,0.0014594717911998,253619,6.42196412902216,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After3Down_H5,0.0052523343678112,228077,9.91587549544285,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After3Up_H10,0.0036868475855028,250365,11.439157547182074,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After3Down_H10,0.0104102909571248,225814,14.295291111824094,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After4Up_H1,0.000746958483599,124566,5.881506490905807,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After4Down_H1,0.0034937269984276,111232,14.404116299734428,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After4Up_H3,0.0011125699651274,124410,3.6268971350770713,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After4Down_H3,0.0060858290540541,109672,5.045717749204994,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After4Up_H5,0.0015577203254065,123711,5.06696592068744,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After4Down_H5,0.0072628801665001,109202,6.221692242386062,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After4Up_H10,0.0032856273642269,121976,7.765680973009372,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After4Down_H10,0.0125327738710486,108079,11.44497583090688,True,DEEP_EXPLORATION_1.csv,
CONSECUTIVE,After5Up_H1,-0.0002476010844245,63275,-1.307479845253373,False,DEEP_EXPLORATION_1.csv,
