strategy,mean_return,n,t_stat,significant,layer,factors,condition,pattern
PanicSelling_H5,0.017843065371535786,30967,6.867428707977995,True,THREE_FACTOR,WEAKMOM+HIGHVOL+SPIKE,,
CapitulationBottom_H10,0.014899607128617287,6250,8.075600025362977,True,THREE_FACTOR,Z+TREND+VOL,,
BlowOffTop_H10,-0.00875674886699938,7638,-2.2716763184396034,False,THREE_FACTOR,Z+TREND+VOL,,
BreakoutSetup_H10,0.004843462491703997,100,1.5672012750277824,False,THREE_FACTOR,MOM+LOWVOL+SPIKE,,
PanicSelling_H10,0.03125120650854759,30591,6.57078434653245,True,THREE_FACTOR,WEAKMOM+HIGHVOL+SPIKE,,
CapitulationBottom_H20,0.025654426901006038,6084,10.880006325786601,True,THREE_FACTOR,Z+TREND+VOL,,
BlowOffTop_H20,0.011292397701861443,7501,1.779047737822743,False,THREE_FACTOR,Z+TREND+VOL,,
PanicSelling_H20,0.8040106128443932,29761,1.0634891271813147,False,THREE_FACTOR,WEAKMOM+HIGHVOL+SPIKE,,
MR_Oversold_Jan_H5,0.023468568541393554,5663,3.959642836852602,True,CONDITIONAL,,MONTH=Jan,
MR_Oversold_Jan_H10,0.029611351094555902,5663,4.628324255854604,True,CONDITIONAL,,MONTH=Jan,
MR_Oversold_Jan_H20,0.031133979793610475,5663,4.183178626337037,True,CONDITIONAL,,MONTH=Jan,
MR_Oversold_Feb_H5,0.009486845121734162,15589,0.7793604857090106,False,CONDITIONAL,,MONTH=Feb,
MR_Oversold_Feb_H10,-0.015761463848035964,15589,-1.6255904889813402,False,CONDITIONAL,,MONTH=Feb,
MR_Oversold_Feb_H20,-0.01064917483036903,15589,-1.1625738445647258,False,CONDITIONAL,,MONTH=Feb,
MR_Oversold_Mar_H5,-0.004055078051355818,18199,-2.0599287860495097,False,CONDITIONAL,,MONTH=Mar,
MR_Oversold_Mar_H10,0.005568780743554701,18199,2.583416571545792,False,CONDITIONAL,,MONTH=Mar,
MR_Oversold_Mar_H20,-0.03894722113545193,18199,-16.013331443864512,True,CONDITIONAL,,MONTH=Mar,
MR_Oversold_Apr_H5,0.016482759509796285,41080,25.65138147198404,True,CONDITIONAL,,MONTH=Apr,
MR_Oversold_Apr_H10,0.026189597020830204,41080,32.2050968161017,True,CONDITIONAL,,MONTH=Apr,
MR_Oversold_Apr_H20,0.07142363697117884,41080,74.78736128150642,True,CONDITIONAL,,MONTH=Apr,
MR_Oversold_May_H5,0.020360409322638464,8548,5.474358083053145,True,CONDITIONAL,,MONTH=May,
MR_Oversold_May_H10,0.016947278967320137,8548,8.202809422420941,True,CONDITIONAL,,MONTH=May,
MR_Oversold_May_H20,0.018711944033395555,8548,3.7893246985339784,True,CONDITIONAL,,MONTH=May,
MR_Oversold_Jun_H5,0.005282513712314655,11559,3.792807676262262,True,CONDITIONAL,,MONTH=Jun,
MR_Oversold_Jun_H10,0.013684128479155505,11559,7.626228530896255,True,CONDITIONAL,,MONTH=Jun,
MR_Oversold_Jun_H20,0.04713042603240076,11559,19.746596718802696,True,CONDITIONAL,,MONTH=Jun,
MR_Oversold_Jul_H5,0.005309680654340505,10381,4.08872305470972,True,CONDITIONAL,,MONTH=Jul,
MR_Oversold_Jul_H10,0.007437843850485115,10381,3.8140240219128265,True,CONDITIONAL,,MONTH=Jul,
MR_Oversold_Jul_H20,0.02080662862427587,10381,9.814389955407503,True,CONDITIONAL,,MONTH=Jul,
MR_Oversold_Aug_H5,0.02078131294220103,15994,16.414156973739367,True,CONDITIONAL,,MONTH=Aug,
MR_Oversold_Aug_H10,0.04941304922908485,15994,30.324867621096306,True,CONDITIONAL,,MONTH=Aug,
MR_Oversold_Aug_H20,0.053577997879835304,15994,28.750705973352837,True,CONDITIONAL,,MONTH=Aug,
MR_Oversold_Sep_H5,0.014332533789204675,10833,13.211903405684259,True,CONDITIONAL,,MONTH=Sep,
MR_Oversold_Sep_H10,0.019942620682207403,10833,13.776561893469928,True,CONDITIONAL,,MONTH=Sep,
MR_Oversold_Sep_H20,0.03303076968904658,10833,14.041093497777933,True,CONDITIONAL,,MONTH=Sep,
MR_Oversold_Oct_H5,0.00581701666447139,19335,7.2152533676331085,True,CONDITIONAL,,MONTH=Oct,
MR_Oversold_Oct_H10,0.013186554382030962,19335,6.4122175270246675,True,CONDITIONAL,,MONTH=Oct,
MR_Oversold_Oct_H20,0.001987927167167295,19334,0.7140450060195953,False,CONDITIONAL,,MONTH=Oct,
MR_Oversold_Nov_H5,0.01236680399596267,20262,6.939816464131128,True,CONDITIONAL,,MONTH=Nov,
MR_Oversold_Nov_H10,0.020471795253454092,20262,9.39243905203717,True,CONDITIONAL,,MONTH=Nov,
MR_Oversold_Nov_H20,0.028395452341953713,17001,7.633799414386737,True,CONDITIONAL,,MONTH=Nov,
MR_Oversold_Dec_H5,0.008201482264835408,15872,4.5449874179010505,True,CONDITIONAL,,MONTH=Dec,
MR_Oversold_Dec_H10,0.011347757352524425,14944,5.8578482982763616,True,CONDITIONAL,,MONTH=Dec,
MR_Oversold_Dec_H20,0.02805229444029208,14423,16.208739531306207,True,CONDITIONAL,,MONTH=Dec,
TopMom_Mon_H1,-0.0010950657573944199,158605,-5.160307463362082,True,CONDITIONAL,,DOW=Mon,
TopMom_Mon_H5,0.10954435826891312,156425,1.028182799786111,False,CONDITIONAL,,DOW=Mon,
TopMom_Mon_H10,0.1038636347566531,154585,1.047160587685975,False,CONDITIONAL,,DOW=Mon,
TopMom_Tue_H1,0.00023142285664243739,175518,1.5552867954252618,False,CONDITIONAL,,DOW=Tue,
TopMom_Tue_H5,0.002248052090360748,172962,5.158066786445362,True,CONDITIONAL,,DOW=Tue,
TopMom_Tue_H10,0.006274129449316306,171280,10.750504189878528,True,CONDITIONAL,,DOW=Tue,
TopMom_Wed_H1,0.0001125978692501236,172528,0.7415541767303375,False,CONDITIONAL,,DOW=Wed,
TopMom_Wed_H5,0.0031447153689244914,170141,7.78321664333088,True,CONDITIONAL,,DOW=Wed,
TopMom_Wed_H10,0.09602593958930233,168195,1.0767880216937475,False,CONDITIONAL,,DOW=Wed,
TopMom_Thu_H1,-0.0002231670045436672,162612,-1.4066895086180227,False,CONDITIONAL,,DOW=Thu,
TopMom_Thu_H5,0.09477732078508849,162301,1.0255558700498844,False,CONDITIONAL,,DOW=Thu,
TopMom_Thu_H10,0.1096377664848199,160302,1.0545553993869865,False,CONDITIONAL,,DOW=Thu,
TopMom_Fri_H1,0.002084214603682478,166477,11.816127435016636,True,CONDITIONAL,,DOW=Fri,
TopMom_Fri_H5,0.001311637677690342,164486,3.638001298650451,True,CONDITIONAL,,DOW=Fri,
TopMom_Fri_H10,0.004346772993831165,162424,7.724904079150524,True,CONDITIONAL,,DOW=Fri,
MR_HighVolRegime_H5,0.02439230468839719,45319,5.369203620462935,True,CONDITIONAL,,HIGH_VOL_REGIME,
MR_LowVolRegime_H5,0.0037170738942806135,38909,5.895500474161109,True,CONDITIONAL,,LOW_VOL_REGIME,
Mom_HighVolRegime_H5,0.09059856025289173,367508,1.484975242632616,False,CONDITIONAL,,HIGH_VOL_REGIME,
Mom_LowVolRegime_H5,0.0004207010509703735,27959,3.313162675367202,True,CONDITIONAL,,LOW_VOL_REGIME,
MR_HighVolRegime_H10,0.03565005308660029,45079,9.030972543167888,True,CONDITIONAL,,HIGH_VOL_REGIME,
