category,strategy,avg_return,n,t_stat,significant
BREAKOUT,BreakHigh10_H1,-9.797741253397982e-05,478447,-1.076484764604843,False
BREAKOUT,BreakLow10_H1,0.15996649604676794,396281,1.01427939261655,False
BREAKOUT,BreakHigh10_H3,0.00043270807789873745,477454,3.006133720693925,True
BREAKOUT,BreakLow10_H3,0.0688593604372404,392799,1.081918076999059,False
BREAKOUT,BreakHigh10_H5,0.0008799916985475176,475798,4.526154740783525,True
BREAKOUT,BreakLow10_H5,0.2320280668495606,390484,1.3459877857154425,False
BREAKOUT,BreakHigh10_H10,0.0019586455636435842,467994,7.2250483813376105,True
BREAKOUT,BreakLow10_H10,0.2666568071274744,387506,2.107553535686323,False
BREAKOUT,BreakHigh20_H1,-0.00019431415512854828,332569,-1.6301017618446405,False
BREAKOUT,BreakLow20_H1,0.24977653403478114,253213,1.0119591522889457,False
BREAKOUT,BreakHigh20_H3,0.000305221659169893,331924,1.787825273876234,False
BREAKOUT,BreakLow20_H3,0.10601391034746348,251979,1.0685368976504253,False
BREAKOUT,BreakHigh20_H5,0.0009046527345518431,330613,3.7328189472815616,True
BREAKOUT,BreakLow20_H5,0.3590142164320443,250995,1.338672883998947,False
BREAKOUT,BreakHigh20_H10,0.0025204389288003407,324971,7.255348033410863,True
BREAKOUT,BreakLow20_H10,0.4097980107816725,249144,2.0824255787012103,False
BREAKOUT,BreakHigh50_H1,5.8006369918140824e-05,205984,0.345797933276345,False
BREAKOUT,BreakLow50_H1,0.44992766055821515,140025,1.0080304914305278,False
BREAKOUT,BreakHigh50_H3,0.00017034413866668513,205608,0.8006983116441426,False
BREAKOUT,BreakLow50_H3,0.1884441893956745,139161,1.0489703096646705,False
BREAKOUT,BreakHigh50_H5,0.0005485039835043477,204778,1.7019591878934592,False
BREAKOUT,BreakLow50_H5,0.6444886846026571,138465,1.3257257971621486,False
BREAKOUT,BreakHigh50_H10,0.0017035513693487946,201403,3.818785487319994,True
BREAKOUT,BreakLow50_H10,0.7319261049431985,137412,2.05137011001834,False
BREAKOUT,BreakHigh100_H1,4.5313714990822914e-05,137966,0.19864665882477606,False
BREAKOUT,BreakLow100_H1,0.751236687707679,83768,1.0068861196889451,False
BREAKOUT,BreakHigh100_H3,-0.0001501016177638086,137693,-0.607456461948562,False
BREAKOUT,BreakLow100_H3,0.31199474240156383,83211,1.0384633440680744,False
BREAKOUT,BreakHigh100_H5,-9.236345771514919e-05,137053,-0.2349789447108461,False
BREAKOUT,BreakLow100_H5,1.0730646375852493,82745,1.3190669990205488,False
