category,strategy,avg_return,n,t_stat,significant
REGIME,BullMarket5_H1,0.0009435473536048763,2277673,18.957742949477836,True
REGIME,BearMarket5_H1,0.0005148609829075983,1237912,3.8186013229441165,True
REGIME,BullMarket5_H5,0.050940774849527415,2267837,1.687512086766505,False
REGIME,BearMarket5_H5,0.004949502845040013,1211806,21.618972702734442,True
REGIME,BullMarket5_H10,0.05602418645046693,2220343,2.5834934774310416,False
REGIME,BearMarket5_H10,0.057907356165359095,1211797,1.5845798913905982,False
REGIME,BullMarket10_H1,0.028286482547907076,2262335,1.0239106956374753,False
REGIME,BearMarket10_H1,5.1642720688078676e-06,1000243,0.03171393271648232,False
REGIME,BullMarket10_H5,0.03442349329144584,2250451,2.0664049942339116,False
REGIME,BearMarket10_H5,0.005197393912575398,992094,19.353254574031862,True
REGIME,BullMarket10_H10,0.07278692167853573,2202959,2.8928874806452898,False
REGIME,BearMarket10_H10,0.013963667664488984,992084,47.51303020888411,True
REGIME,BullMarket20_H1,0.029293792836547476,2160168,1.0124867058644165,False
REGIME,BearMarket20_H1,0.00106939965090293,690337,4.582604911230037,True
REGIME,BullMarket20_H5,0.0650790489224742,2132007,1.9037802127823114,False
REGIME,BearMarket20_H5,0.008887645768997617,690332,28.310515846093693,True
REGIME,BullMarket20_H10,0.06031432759357094,2122508,2.525456354418418,False
REGIME,BearMarket20_H10,0.017279355690829747,690328,49.45863035914725,True
REGIME,BullMarket50_H1,-0.00014116563192073894,2059137,-1.5333771255770534,False
REGIME,BearMarket50_H1,0.006692571089875644,129735,27.30502528127076,True
REGIME,BullMarket50_H5,0.007201627913478585,2059133,0.8896227546150177,False
REGIME,BearMarket50_H5,0.02325228646059309,129735,68.50224041115312,True
REGIME,BullMarket50_H10,0.047597109244572715,2059128,2.1750021825572596,False
REGIME,BearMarket50_H10,0.05070950986258689,129735,96.49071315941828,True
LIQUIDITY,LiqSurge2x_H1,0.0013668188591995179,317468,6.933145759252158,True
LIQUIDITY,LiqSurge3x_H1,0.0018043937122583188,142655,5.033363258060584,True
LIQUIDITY,LiqSurge5x_H1,0.002738890641249845,55906,3.51152849881524,True
LIQUIDITY,LiqSurge2x_H5,0.004333623410248877,314727,12.088159278468968,True
LIQUIDITY,LiqSurge3x_H5,0.003811189579229562,141370,6.013805465417828,True
LIQUIDITY,LiqSurge5x_H5,0.0030245658312335086,55405,2.449393250143297,False
LIQUIDITY,LiqSurge2x_H10,0.007540120370908967,311058,13.201495147806693,True
LIQUIDITY,LiqSurge3x_H10,0.0060110222094376395,139724,5.748862485561284,True
LIQUIDITY,LiqSurge5x_H10,0.0031676232392819303,54713,2.1757108879799714,False
EXTREME,BigUp5pct_H1,-0.0011227304063877435,191318,-3.567843055569559,True
EXTREME,BigDn5pct_H1,0.321169080012984,198231,1.018663016270379,False
EXTREME,BigUp5pct_H3,0.0022534457675759184,190808,4.317202173468279,True
EXTREME,BigDn5pct_H3,0.13622503055482185,197149,1.0742634393782289,False
EXTREME,BigUp5pct_H5,0.0821679440163499,190430,1.0431781064979158,False
EXTREME,BigDn5pct_H5,0.14036835875929174,195367,1.0969220586650594,False
EXTREME,BigUp5pct_H10,0.1857951028427444,188506,1.485955753457,False
EXTREME,BigDn5pct_H10,0.39820838117537194,193672,1.8285185940091204,False
EXTREME,BigUp10pct_H1,-0.0027374060582894618,60398,-3.325206507918813,True
EXTREME,BigDn10pct_H1,1.348140465567706,46882,1.0112690601711285,False
EXTREME,BigUp10pct_H3,0.0008250685287978875,60218,0.62007221318182,False
EXTREME,BigDn10pct_H3,0.55791671344813,46625,1.0405190151787782,False
EXTREME,BigUp10pct_H5,0.25118866025424685,60079,1.0061212910368855,False
EXTREME,BigDn10pct_H5,0.5666800092907781,46158,1.046275820830125,False
EXTREME,BigUp10pct_H10,0.5659728076362556,59489,1.4285357682668574,False
EXTREME,BigDn10pct_H10,1.6284907051090942,45729,1.7656749646565206,False
EXTREME,BigUp15pct_H1,-0.005072331467456172,27523,-3.1103284106486213,True
EXTREME,BigDn15pct_H1,3.4905072630565632,18049,1.0080156838663688,False
EXTREME,BigUp15pct_H3,-0.005233057624135364,27447,-2.1921766549014,False
EXTREME,BigDn15pct_H3,1.4319706560805165,17957,1.0285638073130992,False
EXTREME,BigUp15pct_H5,0.5447162293613241,27369,0.9939389728418383,False
EXTREME,BigDn15pct_H5,1.4468503646341997,17778,1.0288920082857886,False
EXTREME,BigUp15pct_H10,1.2276337498489358,27117,1.4124601267089472,False
EXTREME,BigDn15pct_H10,4.190831841161393,17587,1.7476015016598216,False
EXTREME,BigUp20pct_H1,-0.00900216733129025,15313,-3.708895787251748,True
EXTREME,BigDn20pct_H1,7.2243216431301756,8683,1.0036765733138937,False
EXTREME,BigUp20pct_H3,-0.01243692115473695,15269,-3.4550299538532188,True
EXTREME,BigDn20pct_H3,2.9435205025215514,8642,1.0175418018905207,False
EXTREME,BigUp20pct_H5,0.9749742232083135,15228,0.9898461804046336,False
EXTREME,BigDn20pct_H5,2.967640737881926,8565,1.0167408793144082,False
EXTREME,BigUp20pct_H10,2.1955638255297085,15067,1.4036106848894467,False
EXTREME,BigDn20pct_H10,8.66738674542678,8464,1.7395767722050024,False
SEASONAL,January_H1,0.182725986547157,342610,1.0016756178326025,False
SEASONAL,SantaRally_H1,-0.0011063154053798454,58711,-4.173861327372116,True
SEASONAL,January_H5,0.3974130289038742,342610,1.8682430436401474,False
SEASONAL,SantaRally_H5,0.0030609859259078352,58711,4.681552922887198,True
SEASONAL,January_H10,0.647961463941151,342610,3.0118218416422704,True
SEASONAL,SantaRally_H10,-0.011489404733766523,58711,-16.960275099726875,True
CONSECUTIVE,After2Up_H1,0.00018127572495283003,1029707,3.3823828360640484,True
CONSECUTIVE,After2Dn_H1,0.001706516742027513,942550,9.190662074758086,True
CONSECUTIVE,After2Up_H3,0.0009053674068016717,1027434,9.20127783051641,True
CONSECUTIVE,After2Dn_H3,0.00365260081158337,936000,13.789123266258784,True
CONSECUTIVE,After2Up_H5,0.0015801486998005595,1024218,12.50900215527797,True
CONSECUTIVE,After2Dn_H5,0.005638371570403134,930093,18.611096226202513,True
CONSECUTIVE,After3Up_H1,0.0001646057018912301,502206,1.9960799476279372,False
CONSECUTIVE,After3Dn_H1,0.002292637844671219,437465,6.030067867734414,True
CONSECUTIVE,After3Up_H3,0.0004757973219621748,501352,3.6465748791707786,True
