ticker,strategy,num_signals,gross_return,net_return,transaction_cost
A,RSI_Reversal,68,-0.002927006854317016,-0.003927006854317016,0.001
AA,RSI_Reversal,49,0.0084016508108428,0.007401650810842799,0.001
AAL,RSI_Reversal,66,-0.01446141319148925,-0.015461413191489248,0.001
AAMI,RSI_Reversal,35,0.0066384816742475075,0.0036384816742475075,0.003
AAOI,RSI_Reversal,69,0.037179732841918264,0.03617973284191826,0.001
AAON,RSI_Reversal,63,-0.025547125452306453,-0.028547125452306452,0.003
AAP,RSI_Reversal,45,0.02374091707985581,0.02074091707985581,0.003
AAPB,RSI_Reversal,57,0.022603883807489983,0.014603883807489983,0.008
AAPD,RSI_Reversal,94,0.005399119016162216,0.0023991190161622156,0.003
AAPL,RSI_Reversal,47,0.014162111345903873,0.013162111345903872,0.001
AAPU,RSI_Reversal,57,0.025420706269587506,0.022420706269587507,0.003
AARD,RSI_Reversal,40,-0.005190915204329669,-0.013190915204329669,0.008
AAT,RSI_Reversal,37,0.008053976846885778,5.39768468857775e-05,0.008
AAUC,RSI_Reversal,17,0.11104544948117656,0.10804544948117656,0.003
AAXJ,RSI_Reversal,21,0.022343023472490266,0.019343023472490267,0.003
AB,RSI_Reversal,16,0.032425650560566344,0.024425650560566343,0.008
ABBV,RSI_Reversal,38,0.020803160599721225,0.019803160599721224,0.001
ABCB,RSI_Reversal,47,-0.0013594139204194471,-0.004359413920419447,0.003
ABEO,RSI_Reversal,71,0.048628174167852416,0.040628174167852416,0.008
ABG,RSI_Reversal,59,0.0013658295359167208,-0.0016341704640832793,0.003
ABL,RSI_Reversal,37,-0.021169381189594542,-0.029169381189594543,0.008
ABM,RSI_Reversal,57,0.012852405665424454,0.009852405665424453,0.003
ABNB,RSI_Reversal,56,0.00023952044422732854,-0.0007604795557726715,0.001
ABR,RSI_Reversal,49,0.0013823923017183578,-0.0016176076982816422,0.003
ABT,RSI_Reversal,50,0.006609543472138119,0.005609543472138119,0.001
ABVX,RSI_Reversal,79,0.017269273144994546,0.016269273144994545,0.001
ACA,RSI_Reversal,46,0.00026822369197835607,-0.0027317763080216438,0.003
ACAD,RSI_Reversal,75,0.002439318513963622,-0.0005606814860363782,0.003
ACEL,RSI_Reversal,47,0.011142757490070689,0.0031427574900706884,0.008
ACGL,RSI_Reversal,31,0.013744067052899451,0.01274406705289945,0.001
ACGLN,RSI_Reversal,60,-0.004938650801053481,-0.01293865080105348,0.008
ACHC,RSI_Reversal,111,-0.019715408178408188,-0.022715408178408187,0.003
ACHR,RSI_Reversal,85,0.012710497183383981,0.011710497183383982,0.001
ACI,RSI_Reversal,80,0.003377817271689419,0.002377817271689419,0.001
ACIC,RSI_Reversal,43,0.013449831028091237,0.005449831028091236,0.008
ACIW,RSI_Reversal,18,0.036428132757391346,0.03342813275739134,0.003
ACLS,RSI_Reversal,73,0.005290991945353106,0.0022909919453531057,0.003
ACLX,RSI_Reversal,54,0.0012668808167527678,-0.0017331191832472323,0.003
ACM,RSI_Reversal,52,-0.004444868159912041,-0.005444868159912041,0.001
ACMR,RSI_Reversal,57,0.04082087544473866,0.03782087544473866,0.003
ACN,RSI_Reversal,87,-0.00475439873066196,-0.00575439873066196,0.001
ACNB,RSI_Reversal,32,0.008631705998203756,0.0006317059982037555,0.008
ACNT,RSI_Reversal,29,0.027516848283415978,0.019516848283415978,0.008
ACP,RSI_Reversal,63,-0.00159513978059351,-0.00959513978059351,0.008
ACR,RSI_Reversal,26,0.017979029193787268,0.009979029193787268,0.008
ACRE,RSI_Reversal,91,-0.012027844671571237,-0.02002784467157124,0.008
ACT,RSI_Reversal,45,0.004379422243026866,0.001379422243026866,0.003
ACVA,RSI_Reversal,79,0.027482798614356718,0.02448279861435672,0.003
ACWI,RSI_Reversal,15,0.031111844264882997,0.030111844264882996,0.001
ACWX,RSI_Reversal,29,0.012506590957248816,0.009506590957248817,0.003
AD,RSI_Reversal,51,0.001388090064865554,-0.0016119099351344461,0.003
ADAM,RSI_Reversal,43,-0.006659320648416061,-0.01465932064841606,0.008
ADBE,RSI_Reversal,87,0.005156482414605087,0.004156482414605087,0.001
ADBG,RSI_Reversal,30,0.021497233974315647,0.013497233974315646,0.008
ADC,RSI_Reversal,37,0.004787657392966288,0.0017876573929662878,0.003
ADEA,RSI_Reversal,48,0.029735610583062316,0.021735610583062316,0.008
ADI,RSI_Reversal,34,0.03286887861020682,0.03186887861020682,0.001
ADM,RSI_Reversal,62,0.007771792002287902,0.006771792002287902,0.001
ADMA,RSI_Reversal,35,0.05783071438988198,0.05483071438988198,0.003
ADNT,RSI_Reversal,63,0.009499001176826996,0.006499001176826996,0.003
ADP,RSI_Reversal,51,-0.0018506382273108099,-0.00285063822731081,0.001
ADPT,RSI_Reversal,35,0.06649202187415909,0.06349202187415909,0.003
ADSK,RSI_Reversal,42,-0.0020587866251932257,-0.0030587866251932257,0.001
ADT,RSI_Reversal,23,0.018308183908885424,0.015308183908885425,0.003
ADTN,RSI_Reversal,44,0.023584630047133612,0.020584630047133613,0.003
ADUR,RSI_Reversal,26,0.09022968631277006,0.08222968631277006,0.008
ADUS,RSI_Reversal,38,-0.027525274635643922,-0.03052527463564392,0.003
ADX,RSI_Reversal,34,0.0062714256286593405,-0.0017285743713406597,0.008
AEE,RSI_Reversal,33,0.01183588233627376,0.01083588233627376,0.001
AEFC,RSI_Reversal,53,0.0030222620621456826,-0.004977737937854318,0.008
AEG,RSI_Reversal,36,0.018606033663809952,0.015606033663809953,0.003
AEHR,RSI_Reversal,78,0.039352092899465486,0.036352092899465484,0.003
AEIS,RSI_Reversal,28,0.05746788576157959,0.054467885761579585,0.003
AEM,RSI_Reversal,13,0.044294672319627776,0.043294672319627775,0.001
AEO,RSI_Reversal,85,-0.00015179789300833125,-0.0011517978930083313,0.001
AEP,RSI_Reversal,45,0.00614394801574028,0.00514394801574028,0.001
AER,RSI_Reversal,14,0.03219643737158965,0.03119643737158965,0.001
AES,RSI_Reversal,77,-0.008533161520853896,-0.011533161520853895,0.003
AESI,RSI_Reversal,69,0.009061179061870067,0.006061179061870067,0.003
AEVA,RSI_Reversal,86,0.04425611123526147,0.04125611123526147,0.003
AFB,RSI_Reversal,64,0.0025898612047838814,-0.005410138795216119,0.008
AFG,RSI_Reversal,37,0.01770054456721495,0.014700544567214952,0.003
AFK,RSI_Reversal,15,0.037720115208335625,0.029720115208335625,0.008
AFL,RSI_Reversal,32,0.019333036817037068,0.018333036817037067,0.001
AFLG,RSI_Reversal,18,0.0239148499499849,0.0159148499499849,0.008
AFRM,RSI_Reversal,38,0.0061049149982190095,0.0051049149982190095,0.001
AFSM,RSI_Reversal,38,-7.428847940321726e-05,-0.008074288479403217,0.008
AFYA,RSI_Reversal,70,0.008371489211234682,0.0003714892112346817,0.008
AG,RSI_Reversal,54,0.0519635376711492,0.0509635376711492,0.001
AGCO,RSI_Reversal,52,0.015610493301409083,0.012610493301409082,0.003
AGD,RSI_Reversal,24,0.040228678083502514,0.032228678083502514,0.008
AGG,RSI_Reversal,49,-0.0004599239787077026,-0.0014599239787077027,0.001
AGGH,RSI_Reversal,38,0.001629504002298668,-0.0063704959977013325,0.008
AGGY,RSI_Reversal,46,-4.4709606033740364e-05,-0.008044709606033741,0.008
AGI,RSI_Reversal,23,0.03015060227868159,0.02715060227868159,0.003
AGIO,RSI_Reversal,49,0.00916092708167986,0.00616092708167986,0.003
AGM,RSI_Reversal,71,-0.00689227526621912,-0.00989227526621912,0.003
AGNC,RSI_Reversal,36,-0.0013796581331941098,-0.00237965813319411,0.001
AGO,RSI_Reversal,41,0.0019080456202785622,-0.001091954379721438,0.003
AGQ,RSI_Reversal,31,0.031344614021268674,0.030344614021268673,0.001
AGRO,RSI_Reversal,59,0.010617173005671754,0.0076171730056717535,0.003
AGX,RSI_Reversal,29,0.011563010371022883,0.010563010371022884,0.001
AGYS,RSI_Reversal,35,0.011230517372156105,0.008230517372156104,0.003
AGZ,RSI_Reversal,40,4.2158189269861365e-05,-0.00795784181073014,0.008
AHCO,RSI_Reversal,40,0.08422330893440452,0.08122330893440452,0.003
AHH,RSI_Reversal,75,-0.009696419942103194,-0.017696419942103192,0.008
AHL,RSI_Reversal,16,0.030731180431741292,0.022731180431741292,0.008
AHR,RSI_Reversal,12,0.046377218252644535,0.04337721825264453,0.003
AI,RSI_Reversal,90,-0.01792919378947415,-0.020929193789474148,0.003
AIA,RSI_Reversal,23,0.020290407647404144,0.017290407647404145,0.003
AIBU,RSI_Reversal,28,0.037429137442729306,0.029429137442729306,0.008
AIG,RSI_Reversal,32,0.0012679422610704996,0.0002679422610704996,0.001
AIN,RSI_Reversal,64,0.010127799287875551,0.007127799287875551,0.003
AIO,RSI_Reversal,35,0.005202010926993384,-0.0027979890730066162,0.008
AIOT,RSI_Reversal,42,0.029476971909106715,0.021476971909106714,0.008
AIP,RSI_Reversal,33,0.09972367374939171,0.09672367374939171,0.003
AIPI,RSI_Reversal,39,0.0013940862677303018,-0.006605913732269699,0.008
