ticker,strategy,num_signals,gross_return,net_return,transaction_cost
MGNI,Low_Vol_Anomaly,92,0.10626063804680942,0.10326063804680942,0.003
MGNR,Low_Vol_Anomaly,86,0.034715514438294924,0.026715514438294924,0.008
MGPI,Low_Vol_Anomaly,92,-0.019815137685920182,-0.02281513768592018,0.003
MGRC,Low_Vol_Anomaly,92,-0.014936150459441948,-0.017936150459441948,0.003
MGRE,Low_Vol_Anomaly,79,-0.0024203634134886427,-0.010420363413488643,0.008
MGRT,Low_Vol_Anomaly,14,0.22502762965549486,0.21702762965549485,0.008
MGTX,Low_Vol_Anomaly,92,0.12959735266380393,0.12159735266380392,0.008
MGV,Low_Vol_Anomaly,92,0.006635065159204263,0.0036350651592042633,0.003
MGY,Low_Vol_Anomaly,92,-0.00948178257874847,-0.01248178257874847,0.003
MH,Low_Vol_Anomaly,13,0.004714929476633331,-0.0032850705233666688,0.008
MHD,Low_Vol_Anomaly,92,0.011658276465305446,0.0036582764653054455,0.008
MHK,Low_Vol_Anomaly,92,-0.06503265609439307,-0.06803265609439307,0.003
MHO,Low_Vol_Anomaly,92,-0.045885612404299156,-0.04888561240429916,0.003
MIDD,Low_Vol_Anomaly,92,0.005783357691757277,0.004783357691757277,0.001
MIDU,Low_Vol_Anomaly,92,-0.008437536716985166,-0.01643753671698517,0.008
MIND,Low_Vol_Anomaly,92,0.25049777903719334,0.24249777903719333,0.008
MINO,Low_Vol_Anomaly,92,0.0025316226445626787,-0.005468377355437322,0.008
MINT,Low_Vol_Anomaly,92,-0.0003064582827879945,-0.0013064582827879946,0.001
MIR,Low_Vol_Anomaly,92,-0.00586815894475764,-0.008868158944757641,0.003
MIRM,Low_Vol_Anomaly,92,0.07455789772084292,0.07155789772084292,0.003
MISL,Low_Vol_Anomaly,92,0.0206098208218752,0.0176098208218752,0.003
MITK,Low_Vol_Anomaly,92,-0.007464545362582105,-0.010464545362582105,0.003
MITT,Low_Vol_Anomaly,92,-0.028465356853228995,-0.03646535685322899,0.008
MJ,Low_Vol_Anomaly,92,-0.010482280699389907,-0.018482280699389907,0.008
MKC,Low_Vol_Anomaly,92,-0.02545532450229173,-0.02645532450229173,0.001
MKL,Low_Vol_Anomaly,92,0.015755630870474064,0.012755630870474065,0.003
MKSI,Low_Vol_Anomaly,92,0.012212071250754018,0.011212071250754019,0.001
MKTX,Low_Vol_Anomaly,92,-0.1074227520942429,-0.1084227520942429,0.001
MLAB,Low_Vol_Anomaly,92,-0.09461735813342012,-0.10261735813342013,0.008
MLCI,Low_Vol_Anomaly,92,-0.007559264477039901,-0.0155592644770399,0.008
MLCO,Low_Vol_Anomaly,92,-0.003860728391174836,-0.0068607283911748355,0.003
MLI,Low_Vol_Anomaly,92,0.05475691603555682,0.051756916035556814,0.003
MLKN,Low_Vol_Anomaly,92,-0.021501440227162525,-0.024501440227162524,0.003
MLM,Low_Vol_Anomaly,92,0.002494709102631759,0.0014947091026317589,0.001
MLPA,Low_Vol_Anomaly,92,-0.0049937179411329415,-0.007993717941132942,0.003
MLPX,Low_Vol_Anomaly,92,0.00485403670979279,0.0018540367097927895,0.003
MLR,Low_Vol_Anomaly,92,0.00400832078911072,-0.003991679210889281,0.008
MLTX,Low_Vol_Anomaly,92,-0.06450621034013762,-0.06750621034013762,0.003
MLYS,Low_Vol_Anomaly,92,0.001804257891346832,-0.0011957421086531681,0.003
MMC,Low_Vol_Anomaly,92,-0.002084414343504724,-0.003084414343504724,0.001
MMD,Low_Vol_Anomaly,92,-0.008729125126087487,-0.016729125126087485,0.008
MMI,Low_Vol_Anomaly,92,0.01445650602861403,0.01145650602861403,0.003
MMIN,Low_Vol_Anomaly,92,-0.0031623131403113614,-0.011162313140311362,0.008
MMIT,Low_Vol_Anomaly,92,-0.00030707649798775524,-0.008307076497987755,0.008
MMM,Low_Vol_Anomaly,92,0.09586081000216239,0.09486081000216239,0.001
MMS,Low_Vol_Anomaly,92,-0.021054298870207128,-0.024054298870207127,0.003
MMSI,Low_Vol_Anomaly,92,0.00359101155981936,0.0005910115598193599,0.003
