category,strategy,avg_return,n_samples,t_stat,significant,source
PRICE_POSITION,Near52WkLow_2pct_H5,0.3992156877621181,221953,1.3163408247643886,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_2pct_H10,0.0008817190309284,621560,6.570968062917013,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,At52WkHigh_H10,-0.0008730170819188,33077,-1.748556186209098,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_2pct_H10,0.452602435370493,220493,2.03546647074192,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_2pct_H20,0.0029701991986969,605771,15.235011492816348,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,At52WkHigh_H20,0.0014730116797425,32488,2.1006819036309947,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_2pct_H20,0.8926747277909367,217238,2.3646476030809827,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_5pct_H1,0.0001198715193672,1222465,4.44032631098248,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_5pct_H1,0.103931841175079,607906,1.0109082324560366,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_5pct_H5,0.0005476575832124,1209504,9.58668095812839,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_5pct_H5,0.1485122141307942,603615,1.3317437578058655,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_5pct_H10,0.0015688318779721,1192211,19.44240489043385,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_5pct_H10,0.1695760831254114,598749,2.0708962788450465,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_5pct_H20,0.0040137537812693,1162382,34.864913186126664,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_5pct_H20,0.3338182038849386,588426,2.39516257853927,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_10pct_H1,0.0002242226067757,1808374,10.064497136202036,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_10pct_H1,0.0551646913193789,1156106,1.0204322144605074,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_10pct_H5,0.0010832891688577,1789841,23.850543003780224,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_10pct_H5,0.0796071884248385,1147417,1.3569705653088049,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_10pct_H10,0.0023986138157089,1766412,37.99741664300014,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_10pct_H10,0.0920262902686656,1137330,2.1347318067814616,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_10pct_H20,0.0051600273043168,1723048,57.6710638618873,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_10pct_H20,0.1798342724419811,1114723,2.4443884797920656,False,DEEP_EXPLORATION_1.csv
