date,open,high,low,close,volume,dividends,stock_splits,capital_gains,returns,log_returns,realized_vol_5d,realized_vol_20d
2010-01-04 00:00:00-05:00,66.76149207087734,66.8097339905596,66.73737111103621,66.79365539550781,1220600,0.0,0.0,0.0,,,,
2010-01-05 00:00:00-05:00,66.85802875455488,66.90627070794096,66.85802875455488,66.87410736083984,598200,0.0,0.0,0.0,0.0012044851394290568,0.0012037603291605874,,
2010-01-06 00:00:00-05:00,66.89016059171722,66.92232392366716,66.83387629443689,66.88211822509766,1534900,0.0,0.0,0.0,0.00011979022336094935,0.00011978304908507594,,
2010-01-07 00:00:00-05:00,66.88204537807324,66.89812395927149,66.85792443901506,66.865966796875,772000,0.0,0.0,0.0,-0.00024149097922254725,-0.00024152014286433563,,
2010-01-08 00:00:00-05:00,66.94645125088094,66.9625298511197,66.89820318110688,66.93036651611328,713200,0.0,0.0,0.0,0.0009631165497676619,0.0009626530506020486,,
2010-01-11 00:00:00-05:00,66.95454307515746,66.98670643686866,66.95454307515746,66.96258544921875,756600,0.0,0.0,0.0,0.00048137989947671933,0.0004812640733423338,0.009409387585979808,
2010-01-12 00:00:00-05:00,67.01086326128615,67.034990396373,67.00282701746114,67.01890563964844,582900,0.0,0.0,0.0,0.0008410695323644024,0.0008407160315838711,0.007948846169267991,
2010-01-13 00:00:00-05:00,66.98670643686866,67.02691217264115,66.96258544921875,66.96258544921875,590500,0.0,0.0,0.0,-0.0008403627288769977,-0.0008407160315838594,0.012145453116568465,
2010-01-14 00:00:00-05:00,67.00278026139978,67.05906460158474,67.00278026139978,67.02690124511719,549900,0.0,0.0,0.0,0.000960473605775114,0.0009600126461375165,0.012136424348319507,
2010-01-15 00:00:00-05:00,67.06716569868466,67.10736532856836,67.06716569868466,67.08324432373047,648300,0.0,0.0,0.0,0.000840603960001518,0.0008402508503624513,0.011857871747224722,
2010-01-19 00:00:00-05:00,67.06707070073129,67.09922790527344,67.05098596393054,67.09922790527344,1154000,0.0,0.0,0.0,0.00023826488572664672,0.00023823650515673422,0.011951148319699036,
2010-01-20 00:00:00-05:00,67.1072702736738,67.13943361274563,67.09119167140274,67.09922790527344,1085600,0.0,0.0,0.0,0.0,0.0,0.011514747369832724,
