date,contango_ratio,term_structure,vix_percentile,contango_percentile,vix_5d_change,vix_20d_change,vix,vix3m
2010-01-04 05:00:00+00:00,1.1362275158441273,CONTANGO,,,,,20.040000915527344,22.770000457763672
2010-01-04 06:00:00+00:00,,BACKWARDATION,,,,,,
2010-01-05 05:00:00+00:00,1.1571058887983243,CONTANGO,,,,,19.350000381469727,22.38999938964844
2010-01-05 06:00:00+00:00,,BACKWARDATION,,,,,,
2010-01-06 05:00:00+00:00,1.1377870256092415,CONTANGO,,,,,19.15999984741211,21.799999237060547
2010-01-06 06:00:00+00:00,,BACKWARDATION,,,-0.04391222694173602,,,
2010-01-07 05:00:00+00:00,1.1332634305717573,CONTANGO,,,-0.04890226570926148,,19.059999465942383,21.600000381469727
2010-01-07 06:00:00+00:00,,BACKWARDATION,,,-0.014987127121974586,,,
2010-01-08 05:00:00+00:00,1.1583012119186467,CONTANGO,,,-0.06304915744970441,,18.1299991607666,21.0
2010-01-08 06:00:00+00:00,,BACKWARDATION,,,-0.053757865075590106,,,
2010-01-11 05:00:00+00:00,1.2119658907361974,CONTANGO,,,-0.08402926008211953,,17.549999237060547,21.270000457763672
2010-01-11 06:00:00+00:00,,BACKWARDATION,,,-0.0792235189502497,,,
2010-01-12 05:00:00+00:00,1.1939726529056078,CONTANGO,,,-0.042497349876097434,,18.25,21.790000915527344
2010-01-12 06:00:00+00:00,,BACKWARDATION,,,0.0066189103578713215,,,
2010-01-13 05:00:00+00:00,1.192717112635399,CONTANGO,,,-0.015443948828348208,,17.850000381469727,21.290000915527344
2010-01-13 06:00:00+00:00,,BACKWARDATION,,,0.017094083045636976,,,
2010-01-14 05:00:00+00:00,1.174702216127169,CONTANGO,,,0.004558400409335528,,17.6299991607666,20.709999084472656
2010-01-14 06:00:00+00:00,,BACKWARDATION,,,-0.03397264872511774,,,
2010-01-15 05:00:00+00:00,1.1993299679084064,CONTANGO,,,-0.01863014534728169,,17.90999984741211,21.479999542236328
2010-01-15 06:00:00+00:00,,BACKWARDATION,,,0.0033613145467867867,,,
2010-01-19 05:00:00+00:00,1.1882821092324898,CONTANGO,,,-0.015126075741934586,-0.12275453490200383,17.579999923706055,20.88999938964844
2010-01-19 06:00:00+00:00,,BACKWARDATION,,,-0.0028360317323108397,-0.12275453490200383,,
2010-01-20 05:00:00+00:00,1.145610239235427,CONTANGO,,,0.05955764006760855,-0.03462532625764503,18.68000030517578,21.399999618530277
2010-01-20 06:00:00+00:00,,BACKWARDATION,,,0.0429927674106001,-0.03462532625764503,,
2010-01-21 05:00:00+00:00,1.039515004161566,CONTANGO,,,0.24343945547166257,0.16231736091436466,22.270000457763672,23.149999618530277
2010-01-21 06:00:00+00:00,,BACKWARDATION,,,0.26678046384592435,0.16231736091436466,,
2010-01-22 05:00:00+00:00,0.9626510959223176,BACKWARDATION,,,0.5534698284677317,0.4328436637546409,27.309999465942383,26.290000915527344
2010-01-22 06:00:00+00:00,,BACKWARDATION,,,0.4619913822150974,0.4328436637546409,,
2010-01-25 05:00:00+00:00,0.9913420183126488,BACKWARDATION,,,0.3602783421995772,0.4015444580052414,25.40999984741211,25.190000534057617
