date,VIX,VIX3M,VIX9D,VXX,UVXY,SVXY,VIXY,GSPC,DJI,IXIC,RUT,SPY,QQQ,IWM,DIA,MDY,IVV,VTI,VOO,XLF,XLK,XLV,XLE,XLI,XLP,XLY,XLU,XLB,XLRE,XLC,TLT,IEF,SHY,IEI,TIP,LQD,HYG,AGG,BND,GOVT,MUB,EMB,TNX,TYX,FVX,IRX,GLD,IAU,SLV,USO,UNG,DBA,DBC,PDBC,GSG,WEAT,CORN,SOYB,GC,SI,CL,NG,ZC,ZW,ZS,HG,EFA,EEM,VGK,VWO,IEMG,FXI,EWJ,EWG,EWU,INDA,EWZ,EWY,EWT,EWH,EWA,EWC,UUP,UDN,FXE,FXY,FXB,FXA,FXC,TQQQ,SQQQ,UPRO,SPXU,TNA,TZA,MTUM,QUAL,VLUE,SIZE,USMV
2010-01-04 05:00:00+00:00,20.040000915527344,22.770000457763672,,,,,,1132.989990234375,10583.9599609375,2308.419921875,640.0999755859375,85.27920532226562,40.39356994628906,51.45793151855469,75.13215637207031,110.60682678222656,85.11064147949219,43.3426513671875,,9.019773483276367,9.404690742492676,24.186004638671875,17.529254913330078,21.05344009399414,17.487051010131836,12.357782363891602,9.015256881713867,12.132257461547852,,,56.98411178588867,62.54194259643555,66.79365539550781,84.33798217773438,69.6373519897461,58.76066970825195,35.43568420410156,66.49510955810547,49.295013427734375,,67.63734436035156,48.06178665161133,,,,,109.80000305175781,21.97800064086914,17.229999542236328,322.1600036621094,1361.9200439453125,23.769954681396484,22.057025909423828,,32.70000076293945,,,,1117.699951171875,17.440000534057617,81.51000213623047,5.883999824523926,418.5,557.75,1049.5,3.388000011444092,35.12843704223633,30.35150909423828,28.94927406311035,27.787893295288086,,29.294919967651367,29.801057815551758,15.881728172302246,17.7592716217041,,38.572021484375,37.819366455078125,13.73322582244873,9.55325984954834,11.784904479980469,19.209442138671875,19.801313400268555,24.162927627563477,136.91592407226562,107.18000030517578,147.501708984375,73.08802032470703,89.08793640136719,,,2.077315330505371,223952.625,10.712362289428711,76640.890625,,,,,
2010-01-04 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8410000801086426,4.659999847412109,2.6519999504089355,0.054999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05 05:00:00+00:00,19.350000381469727,22.389999389648438,,,,,,1136.52001953125,10572.01953125,2308.7099609375,638.489990234375,85.50493621826172,40.39356994628906,51.28099060058594,75.0112533569336,110.88751983642578,85.3577880859375,43.50904846191406,,9.185554504394531,9.392559051513672,23.948814392089844,17.672327041625977,21.12778663635254,17.493606567382812,12.403098106384277,8.907934188842773,12.171487808227539,,,57.35208511352539,62.81660842895508,66.87410736083984,84.60576629638672,69.8646240234375,59.04130935668945,35.603797912597656,66.79762268066406,49.439125061035156,,67.70967102050781,48.3541145324707,,,,,109.69999694824219,21.95400047302246,17.510000228881836,323.2799987792969,1320.9599609375,23.92136001586914,22.08324432373047,,33.029998779296875,,,,1118.0999755859375,17.7810001373291,81.7699966430664,5.63700008392334,418.75,553.0,1052.25,3.3959999084472656,35.159400939941406,30.571807861328125,28.902921676635742,27.879636764526367,,29.8992919921875,29.98003578186035,15.805444717407227,17.877595901489258,,38.61699676513672,37.83469009399414,13.681753158569336,9.642487525939941,11.819681167602539,19.316484451293945,19.792673110961914,24.14550018310547,136.53518676757812,108.23999786376953,146.53713989257812,73.01591491699219,89.30199432373047,,,2.095167875289917,222006.921875,10.598626136779785,77485.8828125,,,,,
2010-01-05 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.755000114440918,4.5929999351501465,2.558000087738037,0.05999999865889549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06 05:00:00+00:00,19.15999984741211,21.799999237060547,,,,,,1137.1400146484375,10573.6796875,2301.090087890625,637.9500122070312,85.56515502929688,40.1499137878418,51.23274230957031,75.06104278564453,111.4903793334961,85.42518615722656,43.569541931152344,,9.203972816467285,9.287480354309082,24.19365882873535,17.883947372436523,21.172393798828125,17.480497360229492,12.419572830200195,8.9601469039917,12.378326416015625,,,56.58435821533203,62.56308364868164,66.88211822509766,84.49099731445312,69.68407440185547,58.867286682128906,35.69586181640625,66.75901794433594,49.42036819458008,,67.611083984375,48.420166015625,,,,,111.51000213623047,22.326000213623047,17.860000610351562,327.760009765625,1386.239990234375,24.054946899414062,22.47649383544922,,33.27000045776367,,,,1135.9000244140625,18.163000106811523,83.18000030517578,6.008999824523926,421.75,567.25,1050.5,3.4774999618530273,35.30801773071289,30.63576316833496,29.076751708984375,28.050037384033203,,30.259197235107422,30.099361419677734,15.902535438537598,17.888355255126953,,38.87184524536133,38.37879180908203,13.764114379882812,9.67223072052002,11.864392280578613,19.46632957458496,19.7408390045166,24.189071655273438,136.94448852539062,107.4000015258789,146.7484588623047,73.68042755126953,89.85110473632812,,,2.1012051105499268,221358.328125,10.582376480102539,77739.3828125,,,,,
2010-01-06 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.808000087738037,4.671000003814697,2.572999954223633,0.04500000178813934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07 05:00:00+00:00,19.059999465942383,21.600000381469727,,,,,,1141.68994140625,10606.8603515625,2300.050048828125,641.969970703125,85.92634582519531,40.176021575927734,51.610755920410156,75.33126068115234,112.01884460449219,85.79962921142578,43.75104904174805,,9.400456428527832,9.25110912322998,24.277822494506836,17.857126235961914,21.402847290039062,17.480497360229492,12.522554397583008,8.919536590576172,12.282035827636719,,,56.679534912109375,62.56308364868164,66.865966796875,84.46039581298828,69.79108428955078,58.94026184082031,35.839962005615234,66.6817626953125,49.382755279541016,,67.6899185180664,48.17023849487305,,,,,110.81999969482422,22.18199920654297,17.889999389648438,325.760009765625,1358.0799560546875,23.867919921875,22.196847915649414,,33.11000061035156,,,,1133.0999755859375,18.33300018310547,82.66000366210938,5.806000232696533,417.5,557.75,1017.75,3.4114999771118164,35.17177963256836,30.458110809326172,28.891332626342773,27.80755043029785,,29.790639877319336,29.83089256286621,15.791571617126465,17.823810577392578,,38.442100524902344,37.59712600708008,13.661165237426758,9.67223072052002,11.809745788574219,19.402109146118164,19.870426177978516,24.032224655151367,136.06878662109375,106.47000122070312,146.00437927246094,73.53632354736328,89.6370849609375,,,2.126803159713745,218764.0625,10.809854507446289,76049.375,,,,,
2010-01-07 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.822000026702881,4.689000129699707,2.5999999046325684,0.04500000178813934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08 05:00:00+00:00,18.1299991607666,21.0,,,,,,1144.97998046875,10618.1904296875,2317.169921875,644.5599975585938,86.21228790283203,40.50667953491211,51.892242431640625,75.45214080810547,112.7207260131836,86.09168243408203,43.8947639465332,,9.345196723937988,9.311732292175293,24.316082000732422,17.97337532043457,21.744823455810547,17.42148208618164,12.518437385559082,8.910835266113281,12.453218460083008,,,56.6541633605957,62.64055252075195,66.93036651611328,84.58283996582031,69.93819427490234,59.06936264038086,35.895973205566406,66.72042083740234,49.43285369873047,,67.70308685302734,48.22679138183594,,,,,111.37000274658203,22.290000915527344,18.149999618530273,327.44000244140625,1332.47998046875,23.939167022705078,22.17936897277832,,33.18000030517578,,,,1138.199951171875,18.45800018310547,82.75,5.749000072479248,423.0,568.5,1013.0,3.388000011444092,35.4504280090332,30.699724197387695,29.181041717529297,27.977943420410156,,29.87891387939453,30.18885612487793,15.812378883361816,17.920621871948242,,38.711952209472656,38.148895263671875,13.73322582244873,9.678179740905762,11.948853492736816,19.50201416015625,19.73219871520996,24.22392463684082,136.96353149414062,107.12000274658203,146.8311004638672,74.04077911376953,89.9627914428711,,,2.1475439071655273,216623.765625,10.979299545288086,74781.8984375,,,,,
2010-01-08 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.808000087738037,4.695000171661377,2.565999984741211,0.03999999910593033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
