date,open,high,low,close,volume,dividends,stock_splits,capital_gains,returns,log_returns,realized_vol_5d,realized_vol_20d
2010-01-04 00:00:00-05:00,12.316589598874634,12.40309448397893,12.316589598874634,12.357782363891602,10887800,0.0,0.0,0.0,,,,
2010-01-05 00:00:00-05:00,12.361905329336691,12.415455389517742,12.283639131514967,12.403098106384277,12324400,0.0,0.0,0.0,0.003666980139177989,0.003660273158749494,,
2010-01-06 00:00:00-05:00,12.394857482058482,12.448407533979989,12.366022778278689,12.419572830200195,8493800,0.0,0.0,0.0,0.0013282748934668742,0.0013273935167579405,,
2010-01-07 00:00:00-05:00,12.497839049375193,12.526673753232103,12.415453507766806,12.522554397583008,11473400,0.0,0.0,0.0,0.008291876765068373,0.008257688017495095,,
2010-01-08 00:00:00-05:00,12.477245392729928,12.526676098399673,12.407217904958708,12.518437385559082,12876000,0.0,0.0,0.0,-0.0003287677492317398,-0.0003288218051964371,,
2010-01-11 00:00:00-05:00,12.543149623261684,12.580223033827908,12.427810036423802,12.493718147277832,8347000,0.0,0.0,0.0,-0.0019746265064811697,-0.0019765786516629507,0.0634211015544456,
2010-01-12 00:00:00-05:00,12.419571039172226,12.448405738793763,12.283635465465956,12.333066940307617,10946800,0.0,0.0,0.0,-0.012858558603326409,-0.012941945462477384,0.12134578837899461,
2010-01-13 00:00:00-05:00,12.382499298603763,12.493719542724833,12.341306528297432,12.473123550415039,9231600,0.0,0.0,0.0,0.011356186647271116,0.011292189215117182,0.15123393896255877,
2010-01-14 00:00:00-05:00,12.436050135708017,12.489600187125525,12.411334002112172,12.473123550415039,11280600,0.0,0.0,0.0,0.0,0.0,0.13642289467740037,
2010-01-15 00:00:00-05:00,12.448407658059823,12.497839140522712,12.308352707716185,12.3495454788208,11779000,0.0,0.0,0.0,-0.009907548104911235,-0.009956954461064472,0.15071065531807096,
2010-01-19 00:00:00-05:00,12.411335017490456,12.51431655883789,12.300115549957203,12.51431655883789,8837000,0.0,0.0,0.0,0.013342278895986048,0.013254054568936299,0.18945522144470875,
2010-01-20 00:00:00-05:00,12.415454996178823,12.431932420750579,12.279519386209232,12.345427513122559,10056200,0.0,0.0,0.0,-0.013495666736675238,-0.013587560966190052,0.19229402414675065,
2010-01-21 00:00:00-05:00,12.349543278936995,12.460763505401232,12.168296375461887,12.188892364501953,13573200,0.0,0.0,0.0,-0.012679605340051303,-0.01276067757418787,0.1802394454810957,
