symbol,category,volatility,ma_crosses_per_year,efficiency_ratio,pct_time_extreme,gaps_per_year,return_3m,dollar_volume,beta
TQQQ,ETF_high_beta,0.6235597672672398,27.609561752988046,0.09328140892211134,24.701195219123505,66.76494023904382,0.04417043694492895,7014372881.92315,3.6602113205660225
SOXL,ETF_high_beta,1.104294012373235,35.64143426294821,0.02091047772460121,22.111553784860558,144.07171314741035,0.2163265932561711,4084027083.59189,5.640831077743568
TECL,ETF_high_beta,0.7395895571507056,30.119521912350596,0.06095306683910658,24.900398406374503,91.86454183266932,0.033556004020271146,199351428.70949066,4.160187698833029
LABU,ETF_high_beta,0.7960131575049313,30.119521912350596,0.03623042690822676,18.127490039840637,82.32669322709162,0.9483286318625825,277646335.69950545,2.88407421820257
XLK,ETF_sector,0.2504123390045291,28.111553784860558,0.09910560818472,27.490039840637447,12.54980079681275,0.032046288441970994,1788570063.184159,1.4117100370667364
XLF,ETF_sector,0.16761011293613368,29.115537848605577,0.14465656917373024,24.302788844621514,4.01593625498008,0.02008932040130107,2290691222.1903973,0.7904689163007712
XLE,ETF_sector,0.21475164462169244,36.645418326693225,0.022065070961459547,21.314741035856574,5.52191235059761,-0.01031619383042226,1387724355.922912,0.6904443265268223
XLV,ETF_sector,0.14464304023436342,32.12749003984064,0.06124472885953982,24.302788844621514,1.5059760956175299,0.13144442587330762,1486853986.2054102,0.47451869669115326
XLI,ETF_sector,0.1644751809806198,30.119521912350596,0.11924976836098057,24.900398406374503,3.5139442231075697,0.018426603815554943,1487471431.9564483,0.8713408033161304
XLC,ETF_sector,0.17078157199772262,21.083665338645417,0.17059426817425954,25.298804780876495,5.0199203187251,-0.015961548522844593,593871714.5320284,0.881300692172919
XLY,ETF_sector,0.21646647908619057,31.12350597609562,0.07834546272381421,21.51394422310757,9.53784860557769,0.02429387535213645,1044697516.0411758,1.1565502954875908
XLP,ETF_sector,0.11990680974501126,29.115537848605577,0.06121235845690127,18.127490039840637,0.50199203187251,0.005488198003192224,989081142.7258921,0.24407977464460448
XLU,ETF_sector,0.15739054052168366,29.617529880478088,0.1161001359000589,23.705179282868528,1.00398406374502,-0.00443714684874108,1004220167.5177943,0.36653293213762916
XLB,ETF_sector,0.17104589102206555,28.111553784860558,0.029244210653439934,22.31075697211155,3.5139442231075697,0.00732677641317836,494735390.9723009,0.7835215580436454
