date,close,regime_id,regime,returns
2023-12-20,468.260009765625,2,RANGE,
2023-12-21,472.70001220703125,2,RANGE,0.00948191677446153
2023-12-22,473.6499938964844,2,RANGE,0.0020096925426713597
2023-12-26,475.6499938964844,2,RANGE,0.004222527236930729
2023-12-27,476.510009765625,2,RANGE,0.0018080855254416495
2023-12-28,476.69000244140625,2,RANGE,0.00037773115379002853
2023-12-29,475.30999755859375,2,RANGE,-0.002894973411954771
2024-01-02,472.6499938964844,2,RANGE,-0.005596355380219964
2024-01-03,468.7900085449219,2,RANGE,-0.008166688673242328
2024-01-04,467.2799987792969,2,RANGE,-0.0032210792425203527
2024-01-05,467.9200134277344,2,RANGE,0.00136965984015891
2024-01-08,474.6000061035156,2,RANGE,0.014275928543528549
2024-01-09,473.8800048828125,2,RANGE,-0.0015170695563498926
2024-01-10,476.55999755859375,2,RANGE,0.0056554246817059894
2024-01-11,476.3500061035156,2,RANGE,-0.00044064012118916196
2024-01-12,476.67999267578125,2,RANGE,0.00069273972507089
2024-01-16,474.92999267578125,2,RANGE,-0.0036712260361014826
2024-01-17,472.2900085449219,2,RANGE,-0.0055586805878179435
2024-01-18,476.489990234375,2,RANGE,0.00889280233217904
2024-01-19,482.42999267578125,2,RANGE,0.01246616416534696
2024-01-22,483.45001220703125,0,BULL,0.002114336891851476
2024-01-23,484.8599853515625,0,BULL,0.0029164817642561847
2024-01-24,485.3900146484375,0,BULL,0.0010931594952936496
2024-01-25,488.0299987792969,0,BULL,0.0054388925424671
2024-01-26,487.4100036621094,0,BULL,-0.0012704037021049608
2024-01-29,491.2699890136719,0,BULL,0.007919380649885843
2024-01-30,490.8900146484375,0,BULL,-0.0007734532410523798
2024-01-31,482.8800048828125,0,BULL,-0.016317320635176435
2024-02-01,489.20001220703125,0,BULL,0.013088152875065706
2024-02-02,494.3500061035156,0,BULL,0.010527378920638375
2024-02-05,492.54998779296875,0,BULL,-0.003641181932482751
2024-02-06,493.9800109863281,0,BULL,0.0029033057127196837
2024-02-07,498.1000061035156,0,BULL,0.008340408570300495
2024-02-08,498.32000732421875,0,BULL,0.000441680823142665
2024-02-09,501.20001220703125,0,BULL,0.0057794285609300555
2024-02-12,500.9800109863281,0,BULL,-0.0004389489532020674
2024-02-13,494.0799865722656,0,BULL,-0.01377305334094614
2024-02-14,498.57000732421875,0,BULL,0.009087639398436487
2024-02-15,502.010009765625,0,BULL,0.00689973803251509
2024-02-16,499.510009765625,0,BULL,-0.004979980381600746
2024-02-20,496.760009765625,0,BULL,-0.0055053951797489065
2024-02-21,497.2099914550781,0,BULL,0.0009058331600915182
2024-02-22,507.5,0,BULL,0.020695498324175388
2024-02-23,507.8500061035156,0,BULL,0.0006896671990455072
2024-02-26,505.989990234375,0,BULL,-0.003662529972996542
2024-02-27,506.92999267578125,0,BULL,0.0018577490850577583
2024-02-28,506.260009765625,0,BULL,-0.0013216478011486288
2024-02-29,508.0799865722656,0,BULL,0.003594944833748892
2024-03-01,512.8499755859375,0,BULL,0.00938826393429193
2024-03-04,512.2999877929688,0,BULL,-0.0010724145835053767
2024-03-05,507.17999267578125,0,BULL,-0.00999413476319777
2024-03-06,509.75,0,BULL,0.005067249026642129
2024-03-07,514.8099975585938,0,BULL,0.00992642973731006
2024-03-08,511.7200012207031,0,BULL,-0.00600220732414769
2024-03-11,511.2799987792969,0,BULL,-0.0008598499967885642
2024-03-12,516.780029296875,0,BULL,0.010757374688447952
2024-03-13,515.969970703125,0,BULL,-0.0015675114126452172
2024-03-14,514.9500122070312,0,BULL,-0.001976778793354672
2024-03-15,509.8299865722656,2,RANGE,-0.009942762430127261
2024-03-18,512.8599853515625,0,BULL,0.005943155285291102
2024-03-19,515.7100219726562,0,BULL,0.005557143669806974
2024-03-20,520.47998046875,0,BULL,0.009249303470675319
2024-03-21,522.2000122070312,0,BULL,0.003304702971922424
2024-03-22,521.2100219726562,0,BULL,-0.001895806609024997
2024-03-25,519.77001953125,0,BULL,-0.0027628065092766274
2024-03-26,518.8099975585938,0,BULL,-0.0018470129799368351
2024-03-27,523.1699829101562,0,BULL,0.008403819070718743
2024-03-28,523.0700073242188,0,BULL,-0.00019109579907738983
2024-04-01,522.1599731445312,2,RANGE,-0.0017397942282005863
2024-04-02,518.8400268554688,2,RANGE,-0.006358101845817976
2024-04-03,519.4099731445312,0,BULL,0.0010985010013910834
2024-04-04,513.0700073242188,2,RANGE,-0.012206091812080655
2024-04-05,518.4299926757812,2,RANGE,0.010446888874904303
2024-04-08,518.719970703125,2,RANGE,0.0005593388334788063
2024-04-09,519.3200073242188,2,RANGE,0.0011567640634317922
2024-04-10,514.1199951171875,2,RANGE,-0.010013117410638928
2024-04-11,518.0,2,RANGE,0.007546885784763369
2024-04-12,510.8500061035156,2,RANGE,-0.013803077020240084
2024-04-15,504.45001220703125,2,RANGE,-0.012528127278102708
2024-04-16,503.5299987792969,2,RANGE,-0.0018237950351298604
2024-04-17,500.54998779296875,1,BEAR,-0.00591823921822443
2024-04-18,499.5199890136719,1,BEAR,-0.00205773410131993
2024-04-19,495.1600036621094,1,BEAR,-0.00872835011101658
2024-04-22,499.7200012207031,1,BEAR,0.00920913952029423
2024-04-23,505.6499938964844,1,BEAR,0.011866630635747333
2024-04-24,505.4100036621094,1,BEAR,-0.00047461729906428385
2024-04-25,503.489990234375,1,BEAR,-0.003798922486342393
2024-04-26,508.260009765625,1,BEAR,0.009473911346339792
2024-04-29,510.05999755859375,1,BEAR,0.0035414704253415863
2024-04-30,501.9800109863281,1,BEAR,-0.015841247325688257
2024-05-01,500.3500061035156,1,BEAR,-0.0032471509764099293
2024-05-02,505.0299987792969,2,RANGE,0.009353437830903255
2024-05-03,511.2900085449219,2,RANGE,0.012395322615995186
2024-05-06,516.5700073242188,2,RANGE,0.010326817835387025
2024-05-07,517.1400146484375,2,RANGE,0.0011034464179817682
2024-05-08,517.1900024414062,2,RANGE,9.666200942248793e-05
2024-05-09,520.1699829101562,2,RANGE,0.005761867891264316
2024-05-10,520.8400268554688,2,RANGE,0.0012881249732326072
2024-05-13,520.9099731445312,0,BULL,0.0001342951490974631
2024-05-14,523.2999877929688,0,BULL,0.004588152985457228
2024-05-15,529.780029296875,0,BULL,0.012383033929039389
2024-05-16,528.6900024414062,0,BULL,-0.002057508390634233
2024-05-17,529.4500122070312,0,BULL,0.0014375338328991294
2024-05-20,530.0599975585938,0,BULL,0.0011521113183465825
2024-05-21,531.3599853515625,0,BULL,0.0024525295229904653
2024-05-22,529.8300170898438,0,BULL,-0.0028793441431358424
2024-05-23,525.9600219726562,0,BULL,-0.007304220207159928
2024-05-24,529.4400024414062,0,BULL,0.006616435324681147
2024-05-28,529.8099975585938,0,BULL,0.0006988423909817243
2024-05-29,526.0999755859375,0,BULL,-0.007002551838871107
2024-05-30,522.6099853515625,0,BULL,-0.0066337015706721125
2024-05-31,527.3699951171875,0,BULL,0.009108149287317735
2024-06-03,527.7999877929688,0,BULL,0.0008153529396106585
2024-06-04,528.3900146484375,0,BULL,0.0011178985773303562
2024-06-05,534.6699829101562,0,BULL,0.011885100186643571
2024-06-06,534.6599731445312,0,BULL,-1.8721390661391446e-05
2024-06-07,534.010009765625,0,BULL,-0.0012156574487586225
2024-06-10,535.6599731445312,0,BULL,0.003089761144422054
2024-06-11,536.9500122070312,0,BULL,0.0024083170801936227
2024-06-12,541.3599853515625,0,BULL,0.008213005017738695
2024-06-13,542.4500122070312,0,BULL,0.002013497275312748
2024-06-14,542.780029296875,0,BULL,0.0006083824913212244
2024-06-17,547.0999755859375,0,BULL,0.007958926371441244
2024-06-18,548.489990234375,0,BULL,0.0025406958699802917
2024-06-20,547.0,0,BULL,-0.002716531314889248
2024-06-21,544.510009765625,0,BULL,-0.004552084523537503
2024-06-24,542.739990234375,0,BULL,-0.003250664817000981
2024-06-25,544.8300170898438,0,BULL,0.0038508805193555595
2024-06-26,545.510009765625,0,BULL,0.0012480822540090752
2024-06-27,546.3699951171875,0,BULL,0.0015764795075565718
2024-06-28,544.219970703125,0,BULL,-0.003935107039692687
2024-07-01,545.3400268554688,0,BULL,0.00205809454382333
2024-07-02,549.010009765625,0,BULL,0.006729714910746587
2024-07-03,551.4600219726562,0,BULL,0.004462600250361826
2024-07-05,554.6400146484375,0,BULL,0.005766497205737409
2024-07-08,555.280029296875,0,BULL,0.0011539280101222626
2024-07-09,555.8200073242188,0,BULL,0.000972442729531453
2024-07-10,561.3200073242188,0,BULL,0.009895289711641775
2024-07-11,556.47998046875,0,BULL,-0.008622580332635743
2024-07-12,559.989990234375,0,BULL,0.006307522083127459
2024-07-15,561.530029296875,0,BULL,0.002750118911688748
2024-07-16,564.8599853515625,0,BULL,0.005930147776526118
2024-07-17,556.9400024414062,2,RANGE,-0.014021143496696697
2024-07-18,552.6599731445312,2,RANGE,-0.007684901925006371
2024-07-19,548.989990234375,2,RANGE,-0.0066405802636198
2024-07-22,554.6500244140625,2,RANGE,0.01030990415193389
2024-07-23,553.780029296875,0,BULL,-0.0015685478750434578
2024-07-24,541.22998046875,1,BEAR,-0.022662516096977336
2024-07-25,538.4099731445312,2,RANGE,-0.005210367913795921
2024-07-26,544.4400024414062,2,RANGE,0.011199698366761712
2024-07-29,544.760009765625,2,RANGE,0.0005877733502015481
2024-07-30,542.0,2,RANGE,-0.005066469116946526
2024-07-31,550.8099975585938,2,RANGE,0.01625460804168588
2024-08-01,543.010009765625,2,RANGE,-0.014160940846283387
2024-08-02,532.9000244140625,1,BEAR,-0.01861841433811906
2024-08-05,517.3800048828125,1,BEAR,-0.0291236982927795
2024-08-06,522.1500244140625,1,BEAR,0.00921956682947278
2024-08-07,518.6599731445312,1,BEAR,-0.0066840009697359815
2024-08-08,530.6500244140625,1,BEAR,0.023117363765007726
2024-08-09,532.989990234375,1,BEAR,0.004409621620005133
2024-08-12,533.27001953125,1,BEAR,0.000525393163109511
2024-08-13,542.0399780273438,1,BEAR,0.016445624495827982
2024-08-14,543.75,1,BEAR,0.0031547893918812964
2024-08-15,553.0700073242188,2,RANGE,0.017140243354885065
2024-08-16,554.3099975585938,2,RANGE,0.0022420131591913695
2024-08-19,559.6099853515625,2,RANGE,0.009561414761256382
2024-08-20,558.7000122070312,2,RANGE,-0.0016260845380726696
2024-08-21,560.6199951171875,0,BULL,0.003436518468241667
2024-08-22,556.219970703125,0,BULL,-0.007848497114596786
2024-08-23,562.1300048828125,0,BULL,0.010625354160183287
2024-08-26,560.7899780273438,0,BULL,-0.002383837980234005
