ticker,entry_date,return,vix_at_entry,rsi_at_entry,mfi_at_entry
IONQ,2025-02-27,3.702160381672824,21.13,9.222342025744453,5.512216103078259
IONQ,2025-03-03,8.624701204288323,22.78,6.534375844735564,5.7015789631308
IONQ,2025-03-04,-7.725885943048618,23.51,7.479235002299916,5.816054334064731
IONQ,2025-03-05,1.2278329266664776,21.93,7.376602878582958,10.975784851238288
IONQ,2025-03-06,27.35251364089043,24.87,3.481823936802215,11.280036828217561
IONQ,2025-03-07,27.749996185302734,23.37,4.073872928931209,11.239444124153493
IONQ,2025-03-10,34.92927295664891,27.86,4.368084333034432,11.920417691653626
IONQ,2025-03-11,16.67488448167261,26.92,5.632182018084734,12.633054488177876
IONQ,2025-03-12,5.299537226258125,24.23,20.367605730422724,21.52334319297674
IONQ,2025-06-17,20.469083719285052,21.6,23.49666224663119,29.1216025126855
IONQ,2025-11-20,27.913526480460565,26.42,23.66994596001426,27.979571878000286
IONQ,2025-11-21,20.865492792854532,23.43,27.645318733181043,28.30212315735355
RGTI,2025-04-04,31.647392431188674,45.31,22.604788901742552,21.69573002017924
RGTI,2025-11-20,22.1116337864311,26.42,12.05372318671401,22.864142057473956
RGTI,2025-11-21,10.11805057063257,23.43,17.551188765372174,24.230491391420756
QUBT,2025-03-11,58.48302783396397,26.92,17.63527814363421,29.527283693201056
QUBT,2025-03-12,55.04587348608572,24.23,25.945950218554614,20.556149932537764
QMCO,2025-03-05,37.3870107521489,21.93,17.576482743470166,20.52260536941847
QMCO,2025-03-06,51.05263061030306,24.87,20.418116118865456,24.226769862889512
QMCO,2025-03-07,41.04347229003906,23.37,27.4395331497676,28.46518377373245
QMCO,2025-03-12,22.936571130762747,24.23,27.844834588510977,19.236405148528547
QMCO,2025-04-07,-8.814098302429088,46.98,12.201586725525218,12.67214119156344
QMCO,2025-04-08,12.977105627443109,52.33,11.586896720817109,15.940546669657465
QMCO,2025-04-09,0.7880923991823453,33.62,28.848011270528687,22.50479964387084
QMCO,2025-04-10,0.08928775939409664,40.72,24.50271840260089,27.353408898681025
QMCO,2025-04-11,-9.62342792372808,37.56,21.962625776921357,12.136728176230818
QMCO,2025-04-14,-12.509965136555143,30.89,31.11527955033769,17.73669046535005
QMCO,2025-04-15,4.971854977088555,30.12,31.77033591506769,19.512210347923144
QMCO,2025-04-16,4.739336407207897,32.64,27.046918575265195,21.89979951168604
QMCO,2025-04-17,13.199996948242188,29.65,30.278066259045417,23.01413200047375
QMCO,2025-04-21,9.4662593302575,33.82,27.20883562015689,24.466383200245502
QMCO,2025-04-22,7.511739149200696,30.57,28.67420445131674,20.797737787742648
QMCO,2025-11-17,19.89025811869229,22.38,21.702114448870915,22.25538785113875
QMCO,2025-11-18,14.136131144201364,24.69,29.130427030622073,29.4392894115024
ARQQ,2025-02-27,92.63502783253948,21.13,15.63636470826195,20.601803433841653
ARQQ,2025-03-03,65.03923159959449,22.78,18.217054227747937,27.067770530278523
ARQQ,2025-03-04,47.29507864178327,23.51,20.302376543979108,28.195814240985
ARQQ,2025-03-06,52.27629487490623,24.87,25.1198470609868,26.098963545013774
ARQQ,2025-03-07,47.441096668097565,23.37,28.602616336543733,28.575425425858356
ARQQ,2025-04-04,32.27272900668057,45.31,13.405334735448676,13.708293220752125
ARQQ,2025-04-07,7.70328023140682,46.98,22.438289349233145,24.774249986602214
ARQQ,2025-11-17,23.384250500538922,22.38,19.600140494159206,26.022077950069104
ARQQ,2025-11-18,11.506043548213494,24.69,13.815544749762921,16.56741408235078
ARQQ,2025-11-19,5.145489140837593,23.66,18.07128795662794,21.96105160450186
ARQQ,2025-11-20,20.692464690741474,26.42,12.039220168286477,14.160546094946568
ARQQ,2025-11-21,18.19665052151705,23.43,13.964764805035799,15.096510214026054
ARQQ,2025-11-24,12.244904726274557,20.52,25.57789783743104,19.88857816347617
SOUN,2025-02-27,7.807481416611231,21.13,22.042549951845515,26.899472574139182
SOUN,2025-11-17,14.387852285302891,22.38,19.749521738722976,14.013980130502077
SOUN,2025-11-18,9.433965659217975,24.69,17.031866691502742,14.346743305122047
SOUN,2025-11-19,1.6840419699285922,23.66,20.42888866906779,19.29348509036265
SOUN,2025-11-20,9.71479613767011,26.42,12.54437266117013,20.984435795486604
SOUN,2025-11-21,7.199294733164195,23.43,13.233452707333996,21.128485005233927
SOUN,2025-11-24,2.2959141057349077,20.52,26.47928184356013,27.04113924289618
BBAI,2025-03-05,-33.77926554746911,21.93,4.761908920610111,25.94504793336496
BBAI,2025-03-06,0.2832858511134722,24.87,3.6544892076392728,4.933420380140603
BBAI,2025-03-07,1.007196742193558,23.37,3.594774972053017,5.529346758586001
BBAI,2025-03-10,5.280530935361733,27.86,3.846158174624179,5.983348940234038
BBAI,2025-03-11,-9.467460379489005,26.92,4.9904071992339425,6.663037292495503
BBAI,2025-03-12,-6.7484671550249535,24.23,7.085022372733718,12.119990430560904
BBAI,2025-03-13,-14.754101972087616,24.66,8.293841727587704,12.911495349383586
BBAI,2025-03-14,-18.620688339759564,21.77,16.804409758083978,19.824364787335426
BBAI,2025-03-17,1.294504899116146,20.51,18.318321435912694,25.789804969705287
BBAI,2025-03-18,0.6622510282393388,21.7,13.829786761846407,18.18865316669479
BBAI,2025-04-14,29.45736484253654,30.89,31.983807231185764,23.646956217134203
AI,2025-02-27,-5.4717733757458875,21.13,18.50419917776223,21.63604443941115
AI,2025-03-03,6.074771811133622,22.78,8.087303170054298,13.339534296423281
AI,2025-03-04,0.8789709241308539,23.51,10.606072820242474,13.793243296767272
AI,2025-03-05,2.2603977442585315,21.93,10.748409505276939,17.553752351163027
AI,2025-03-06,11.063830708241397,24.87,7.072990739672321,12.718588419005215
AI,2025-03-07,8.720796894944048,23.37,15.18890543786955,17.473223661512563
AI,2025-03-10,10.482136940590731,27.86,12.220669023769261,17.451889650746494
AI,2025-03-11,3.8248843065645315,26.92,13.108613857637508,17.786911699652904
AI,2025-03-12,1.7257412437887736,24.23,18.588776223148784,22.238161412103764
AI,2025-03-13,-1.3127083340226198,24.66,19.63141408946656,23.128632413916066
AI,2025-03-14,-1.0618630833638163,21.77,27.18615572187194,28.513747809832637
AI,2025-03-18,-8.808984649315308,21.7,31.11305244991496,23.691340022461773
AI,2025-11-17,15.622639206220517,22.38,21.375910955388534,21.795662990409014
AI,2025-11-18,10.476193004683413,24.69,25.855508987869598,28.688981796802565
AI,2025-11-19,12.682213828374634,23.66,26.94847222482933,28.94775449928862
AI,2025-11-20,24.941549352831995,26.42,19.325550558351026,22.719410645393992
AI,2025-11-21,15.222142915290101,23.43,28.198757616808834,29.8325957070265
RKLB,2025-03-07,11.37362422005688,23.37,21.61329300026449,27.342409505168703
RKLB,2025-03-10,19.19068774129101,27.86,19.89795466001935,19.117616770234406
RKLB,2025-03-11,-2.642706120421645,26.92,25.513897414365616,24.159896641306275
RKLB,2025-11-17,16.935095936651813,22.38,20.41113012077919,28.671561648389087
RKLB,2025-11-18,15.423530129825366,24.69,14.206985915993059,21.199081243972458
RKLB,2025-11-19,11.89235964514045,23.66,19.39137368353488,26.16655796366298
RKLB,2025-11-20,34.14511134548188,26.42,11.272252921688079,25.827873323948353
RKLB,2025-11-21,41.118750800772936,23.43,14.363147238505903,25.74274397011692
ASTS,2025-04-04,21.189189601588893,45.31,28.26680693519998,28.619423573483118
ASTS,2025-11-18,25.479542285540486,24.69,23.169535656643475,26.11222923772158
ASTS,2025-11-20,37.42098834086617,26.42,14.199177478441698,26.329029780682603
ASTS,2025-11-21,49.150949154260026,23.43,19.887314511988805,26.906957754485887
LUNR,2025-03-06,26.99724485337718,24.87,22.319550031417123,25.834625575098173
LUNR,2025-03-07,18.100126499573296,23.37,16.71778478855282,18.863823359508075
LUNR,2025-03-10,30.803574944789425,27.86,11.763033422098758,9.302653048865949
LUNR,2025-03-11,21.172171265659298,26.92,12.028980535559796,9.613320246491412
LUNR,2025-03-12,11.157017085482055,24.23,15.927976712380527,14.36473587312328
LUNR,2025-03-13,7.892825241085891,24.66,16.788318383432653,15.009486630431297
LUNR,2025-03-14,1.9099572707063774,21.77,20.956103021493377,18.34939268062537
LUNR,2025-03-17,9.132722200629138,20.51,26.085567368356237,22.57562189569532
LUNR,2025-03-18,5.454543514457869,21.7,19.30788836185937,16.80071069822081
LUNR,2025-11-21,36.76301092965941,23.43,30.319147384668483,22.75761927775291
SPIR,2025-03-11,-15.064424527028585,26.92,24.81883203524727,28.821957135335225
SPIR,2025-03-18,-15.350385681179135,21.7,30.920051696944284,28.807589964003498
SPIR,2025-11-17,23.80301315424782,22.38,18.22580745639459,10.167745837187468
SPIR,2025-11-18,13.400764096898135,24.69,26.96078637616999,15.976205325447623
SPIR,2025-11-19,9.155772553320714,23.66,30.655741728751906,21.646702792661486
SPIR,2025-11-20,22.542598181269362,26.42,23.305787911840454,16.731497619869415
SPIR,2025-11-21,22.978176773023186,23.43,20.137700044852224,11.72522658845206
PL,2025-03-03,6.403946614438512,22.78,18.715086328838638,21.96530035040726
PL,2025-03-04,1.1933105779209376,23.51,19.533528183158836,22.47946944962841
PL,2025-03-05,-9.546541525175579,21.93,26.170802516806532,27.512539895242554
PL,2025-03-06,1.265821562346669,24.87,20.971878017770166,21.662742685925267
PL,2025-03-07,5.277046166141139,23.37,22.19252332325813,22.643331119868947
PL,2025-03-10,5.509636445175157,27.86,17.721527773795756,10.668540796149273
PL,2025-03-11,-7.920790501592566,26.92,24.86033869282184,16.94025334501272
PL,2025-03-12,-12.18274142392045,24.23,29.69188311107206,24.73250554730022
