ticker,data_days,rsi10_signals,rsi10_wr,rsi15_signals,rsi15_wr,rsi20_signals,rsi20_wr,vol_spike_signals,vol_spike_wr,down3_signals,down3_wr,combo_signals,combo_wr,deep_drop_signals,deep_drop_wr,gap_fade_signals,gap_fade_wr,score,edges_65plus,edges_55plus
S,250,1,100.0,2,0.0,3,66.66666666666666,4,0.0,10,50.0,1,100.0,12,41.66666666666667,4,50.0,1074.7873773553301,1,1
BE,250,0,0.0,0,0.0,0,0.0,0,0.0,18,83.33333333333334,0,0.0,43,72.09302325581395,12,58.333333333333336,1063.3042608126866,2,3
KOD,250,2,50.0,6,16.666666666666664,3,0.0,2,0.0,21,57.14285714285714,0,0.0,80,42.5,10,70.0,1052.1987760893724,1,2
BEAM,250,0,0.0,0,0.0,7,28.57142857142857,1,100.0,12,66.66666666666666,0,0.0,67,44.776119402985074,5,100.0,1036.3345523636463,2,2
CRDO,250,0,0.0,0,0.0,0,0.0,2,50.0,17,58.82352941176471,0,0.0,55,61.81818181818181,18,66.66666666666666,1031.4045011618284,1,3
APLS,250,2,0.0,2,100.0,11,36.36363636363637,3,66.66666666666666,11,18.181818181818183,0,0.0,44,38.63636363636363,1,100.0,1025.239083705154,2,2
JOBY,250,0,0.0,2,0.0,4,50.0,1,100.0,29,44.827586206896555,0,0.0,49,44.89795918367347,16,56.25,1004.2690206268696,0,1
CAT,250,0,0.0,2,50.0,9,33.33333333333333,3,66.66666666666666,3,66.66666666666666,1,100.0,2,100.0,2,0.0,995.7576930753669,3,3
SOFI,250,0,0.0,0,0.0,3,100.0,2,0.0,13,38.46153846153847,0,0.0,27,66.66666666666666,7,57.14285714285714,992.6313453449421,2,3
HOOD,250,0,0.0,0,0.0,3,66.66666666666666,1,100.0,8,37.5,0,0.0,31,61.29032258064516,9,66.66666666666666,990.7430234985801,2,3
ONON,250,0,0.0,1,100.0,11,18.181818181818183,4,25.0,12,16.666666666666664,1,100.0,11,63.63636363636363,5,40.0,984.0000718770366,0,1
AMSC,249,0,0.0,3,33.33333333333333,9,33.33333333333333,1,100.0,15,33.33333333333333,0,0.0,47,40.42553191489361,9,66.66666666666666,978.1281090526951,1,1
TLSA,250,0,0.0,0,0.0,3,33.33333333333333,2,50.0,23,39.130434782608695,0,0.0,53,45.28301886792453,14,92.85714285714286,974.0817720177449,1,1
ENOV,250,0,0.0,1,100.0,9,33.33333333333333,3,33.33333333333333,14,42.857142857142854,0,0.0,27,48.148148148148145,1,100.0,960.3897984493592,0,0
NKE,250,0,0.0,6,33.33333333333333,7,57.14285714285714,3,66.66666666666666,5,20.0,2,50.0,13,30.76923076923077,4,25.0,959.623180270433,1,2
BA,250,3,66.66666666666666,3,33.33333333333333,8,25.0,0,0.0,2,50.0,0,0.0,4,100.0,3,33.33333333333333,953.1379473583712,2,2
PRCT,250,1,100.0,2,50.0,9,55.55555555555556,5,0.0,16,31.25,0,0.0,29,31.03448275862069,0,0.0,945.029156864302,0,1
PSTG,250,0,0.0,3,66.66666666666666,8,37.5,2,0.0,5,40.0,0,0.0,36,52.77777777777778,4,25.0,924.7348657860688,1,1
DOCN,250,0,0.0,0,0.0,1,100.0,3,66.66666666666666,16,50.0,0,0.0,25,48.0,6,50.0,899.8226481310221,1,1
XPEV,250,0,0.0,1,100.0,2,50.0,0,0.0,18,61.111111111111114,0,0.0,28,42.857142857142854,17,17.647058823529413,892.6868477198328,0,1
PLTR,250,0,0.0,0,0.0,3,66.66666666666666,1,0.0,15,40.0,0,0.0,26,73.07692307692307,7,28.57142857142857,892.3064212224434,2,2
MRVL,250,0,0.0,0,0.0,3,66.66666666666666,3,33.33333333333333,12,58.333333333333336,0,0.0,45,33.33333333333333,7,71.42857142857143,882.3613334405542,2,3
PVLA,250,0,0.0,0,0.0,0,0.0,6,33.33333333333333,12,58.333333333333336,0,0.0,9,100.0,3,66.66666666666666,874.6652189041188,2,3
AMD,250,0,0.0,0,0.0,0,0.0,2,50.0,16,37.5,0,0.0,12,100.0,7,57.14285714285714,873.5792746987112,1,2
META,250,0,0.0,3,33.33333333333333,4,25.0,4,25.0,7,42.857142857142854,0,0.0,7,100.0,6,33.33333333333333,870.7807122247274,1,1
CRSP,250,0,0.0,0,0.0,6,50.0,3,66.66666666666666,19,31.57894736842105,0,0.0,34,35.294117647058826,5,80.0,869.4300617673273,2,2
VKTX,250,0,0.0,0,0.0,2,50.0,0,0.0,16,56.25,0,0.0,48,47.91666666666667,5,80.0,865.220474212067,1,2
UNH,250,8,12.5,4,25.0,6,33.33333333333333,3,33.33333333333333,6,16.666666666666664,4,50.0,41,17.073170731707318,2,50.0,854.649650591826,0,0
PATH,250,1,0.0,3,66.66666666666666,5,40.0,9,11.11111111111111,8,37.5,0,0.0,26,26.923076923076923,6,66.66666666666666,843.5556006256713,2,2
HL,250,0,0.0,0,0.0,0,0.0,1,100.0,4,75.0,0,0.0,7,100.0,6,50.0,798.217658021561,2,2
CYTK,250,0,0.0,0,0.0,5,80.0,0,0.0,10,50.0,0,0.0,21,42.857142857142854,2,50.0,786.4007709719135,1,1
VRDN,250,0,0.0,0,0.0,6,33.33333333333333,2,50.0,11,54.54545454545454,0,0.0,20,45.0,1,100.0,758.7555464451286,0,0
CRWD,250,0,0.0,0,0.0,3,66.66666666666666,5,0.0,8,37.5,0,0.0,8,87.5,2,50.0,747.878046091725,2,2
ORCL,250,0,0.0,1,0.0,9,22.22222222222222,3,100.0,11,36.36363636363637,0,0.0,22,27.27272727272727,6,66.66666666666666,746.5759326307257,2,2
SNOW,250,0,0.0,0,0.0,1,100.0,5,60.0,8,37.5,0,0.0,6,50.0,5,60.0,725.5782538768909,0,2
LQDA,250,2,0.0,3,0.0,3,0.0,3,33.33333333333333,16,43.75,1,0.0,39,46.15384615384615,4,75.0,716.4641368027584,1,1
MS,250,0,0.0,0,0.0,2,100.0,2,50.0,3,33.33333333333333,0,0.0,4,100.0,0,0.0,693.3206799265447,2,2
AVGO,250,0,0.0,1,0.0,5,60.0,0,0.0,5,40.0,0,0.0,7,71.42857142857143,6,33.33333333333333,684.4434534790607,1,2
COP,250,0,0.0,0,0.0,1,100.0,5,40.0,4,75.0,0,0.0,2,100.0,1,0.0,646.9192271481306,2,2
C,250,0,0.0,3,0.0,3,100.0,1,100.0,1,0.0,0,0.0,6,66.66666666666666,0,0.0,640.6856358486783,2,2
OXY,250,0,0.0,2,50.0,7,0.0,3,0.0,5,20.0,1,100.0,10,50.0,0,0.0,638.813001608176,0,0
TMO,250,2,50.0,2,0.0,2,0.0,2,0.0,2,50.0,4,25.0,1,100.0,2,100.0,616.3862733616822,1,1
VRNS,250,0,0.0,6,16.666666666666664,13,15.384615384615385,4,25.0,1,100.0,2,50.0,21,19.047619047619047,1,0.0,609.1531938557941,0,0
SBUX,250,0,0.0,0,0.0,6,33.33333333333333,4,25.0,5,40.0,0,0.0,4,75.0,1,100.0,608.3172380614258,1,1
NOW,250,2,0.0,1,100.0,2,0.0,2,0.0,5,40.0,1,100.0,5,20.0,3,33.33333333333333,606.6167082681051,0,0
AKRO,245,0,0.0,0,0.0,0,0.0,6,16.666666666666664,13,46.15384615384615,0,0.0,10,50.0,4,75.0,591.8490934121414,1,1
LLY,250,0,0.0,0,0.0,0,0.0,3,66.66666666666666,6,33.33333333333333,0,0.0,7,71.42857142857143,2,50.0,587.9186353809939,2,2
NVDA,250,0,0.0,0,0.0,0,0.0,0,0.0,6,33.33333333333333,0,0.0,9,88.88888888888889,4,50.0,587.1158640511899,1,1
NET,250,0,0.0,3,0.0,6,16.666666666666664,3,66.66666666666666,13,15.384615384615385,0,0.0,31,32.25806451612903,8,37.5,570.3862170851522,1,1
FTDR,250,3,0.0,9,11.11111111111111,11,36.36363636363637,6,33.33333333333333,3,0.0,3,0.0,40,15.0,2,100.0,563.2450789692637,1,1
AAPL,250,0,0.0,0,0.0,1,0.0,1,100.0,4,50.0,0,0.0,3,100.0,2,50.0,556.8694071739329,1,1
NXT,250,0,0.0,0,0.0,0,0.0,2,50.0,7,57.14285714285714,0,0.0,8,50.0,5,40.0,552.0266045825525,0,1
SLB,250,0,0.0,0,0.0,3,66.66666666666666,5,20.0,7,42.857142857142854,0,0.0,7,42.857142857142854,0,0.0,550.5082634781357,1,1
CRM,250,0,0.0,2,50.0,11,9.090909090909092,2,0.0,2,50.0,1,100.0,0,0.0,1,100.0,542.1614508628364,0,0
ADBE,250,0,0.0,0,0.0,1,100.0,4,25.0,2,100.0,0,0.0,4,50.0,0,0.0,524.7189923718943,1,1
GE,250,0,0.0,0,0.0,0,0.0,4,25.0,1,100.0,0,0.0,3,100.0,1,100.0,510.89958908024323,1,1
INMD,250,0,0.0,0,0.0,4,25.0,3,33.33333333333333,4,25.0,0,0.0,11,45.45454545454545,1,100.0,505.3558579761547,0,0
QCOM,250,0,0.0,0,0.0,2,100.0,4,25.0,1,0.0,0,0.0,2,100.0,1,0.0,499.7988371835226,2,2
WFC,250,0,0.0,0,0.0,3,100.0,3,33.33333333333333,1,100.0,0,0.0,0,0.0,1,0.0,450.54566736396447,1,1
VRTS,250,0,0.0,0,0.0,6,33.33333333333333,10,50.0,3,66.66666666666666,0,0.0,0,0.0,1,0.0,448.19892484222106,1,1
MRK,250,0,0.0,3,66.66666666666666,2,0.0,5,0.0,4,0.0,1,100.0,0,0.0,0,0.0,438.99321435463196,1,1
NU,250,0,0.0,0,0.0,4,0.0,4,0.0,4,25.0,0,0.0,12,50.0,2,100.0,426.7100863292434,1,1
HD,250,8,0.0,1,0.0,3,66.66666666666666,4,50.0,4,50.0,0,0.0,0,0.0,0,0.0,426.2549350144337,1,1
PANW,250,0,0.0,3,33.33333333333333,2,50.0,5,20.0,10,20.0,1,0.0,0,0.0,1,100.0,420.39011927692246,0,0
DIA,250,0,0.0,0,0.0,1,100.0,1,100.0,2,100.0,0,0.0,0,0.0,0,0.0,407.39335649619727,1,1
XLE,250,0,0.0,0,0.0,2,50.0,4,50.0,2,100.0,0,0.0,0,0.0,0,0.0,395.3609155995849,1,1
VRTX,249,0,0.0,0,0.0,3,33.33333333333333,4,25.0,2,0.0,0,0.0,4,75.0,0,0.0,394.18923265605315,1,1
GS,250,0,0.0,0,0.0,2,0.0,3,33.33333333333333,5,40.0,0,0.0,5,60.0,1,0.0,391.8314225170444,0,1
DE,250,0,0.0,0,0.0,0,0.0,2,100.0,3,100.0,0,0.0,0,0.0,0,0.0,372.7359974682,2,2
