ticker,rsi_threshold,hold_days,vol_multiplier,num_trades,win_rate,avg_win,avg_loss,expected_value,sharpe,score
IONQ_365,24,8,1.0,9,77.77777777777779,18.04330435430038,-12.417462667574009,11.274245016106068,0.7892836491274116,5.874282209519916
QUBT_365,32,2,1.0,6,33.33333333333333,45.19624550357793,-12.384662780334823,6.808973314302758,0.24492680994170798,2.142754001061851
QMCO_365,28,1,1.0,8,50.0,7.096339171947747,-11.33405370441325,-2.1188572662327516,-0.19349363698322963,-0.8147440745977632
ARQQ_365,32,1,1.0,5,40.0,10.047970320623074,-8.095193173217895,-0.8379277756815071,-0.07382708019298165,-0.2063888558658185
SOUN_365,34,11,1.0,18,55.55555555555556,17.78605156352407,-11.95372108682231,4.568374830036791,0.2637111508632651,4.328388996153791
BBAI_365,32,7,1.0,6,50.0,30.477952315060218,-11.897741690725889,9.290105312167166,0.34988590052953705,2.9820602054398604
AI_365,34,11,1.0,25,64.0,10.981477554099193,-12.026669194113161,2.6985447247427463,0.2036271676980919,2.8084441285839445
RKLB_365,28,11,1.0,10,60.0,22.933150093678403,-6.136693887521533,11.30521250119843,0.596832431423753,6.327337997084461
ASTS_365,34,11,1.0,16,93.75,35.58241582374913,-3.0597053205792477,33.167283252228614,1.507666902344759,34.53466103379549
LUNR_365,26,11,1.0,9,77.77777777777779,25.96091591933577,-5.2393171394652835,19.027530795157755,1.2248727740406706,10.659956256359814
SPIR_365,22,11,1.0,6,66.66666666666666,16.85133548903954,-16.735719983675285,5.655650331467931,0.3347636073451207,1.8102934538510693
PL_365,34,11,1.0,6,83.33333333333334,11.823424747454856,-4.558407016108605,9.093119453527613,1.3819282419659527,3.481898150882273
RDW_365,34,11,1.0,21,42.857142857142854,24.54323357000703,-11.842080022339703,3.7516258029517537,0.16999028261619162,3.879173789054547
BKSY_365,32,11,1.0,14,78.57142857142857,21.402750603148686,-3.713787170874164,16.020635365858077,0.9732800413039293,13.39740380718431
MNTS_365,28,9,1.0,5,40.0,21.443472781526275,-22.936607393411702,-5.18457532343651,-0.2278964464523529,-1.2370665162303405
ACHR_365,26,2,1.0,7,42.857142857142854,14.319122407218865,-6.8380315078992,2.2293201700085414,0.1513716756185675,0.8038839745767019
JOBY_365,18,11,1.0,5,60.0,18.010692726869763,-8.262017614307728,7.5016085903987655,0.510642727352513,2.0669342411063045
MARA_365,18,6,1.0,10,60.0,14.727321862573788,-4.932526954635785,6.86338233568996,0.602689910746784,3.845340296576784
RIOT_365,24,1,1.0,6,50.0,3.1221659374466904,-4.776238493615121,-0.8270362780842156,-0.19186569167310782,-0.23859009017326185
CLSK_365,34,10,1.0,17,58.82352941176471,14.435926331141406,-5.740287750700924,6.128073473912212,0.4643278019162022,5.69258638346623
COIN_365,24,7,1.0,5,100.0,7.532253912985707,0.0,7.532253912985707,1.6556631427730346,2.506607237533347
HUT_365,12,1,1.0,7,14.285714285714285,11.177347179376758,-6.425244338641071,-3.9105884074956663,-0.5309592679671293,-1.2233605215519583
BTBT_365,30,11,1.0,16,56.25,19.69709610307323,-6.906067581196028,8.058211991205427,0.3472649831416322,6.894303169168766
CIFR_365,32,2,1.0,9,66.66666666666666,15.607296078252896,-9.425200218655922,7.263130645949955,0.4442103782452261,3.5587810117108534
