ticker,rsi_threshold,hold_days,vol_multiplier,num_trades,win_rate,avg_win,avg_loss,expected_value,sharpe,score,quality_score,quality_tier,edge_normalized,combined_quality_score
URGN_365,28,11,1.0,11,100.0,126.37987664311828,0.0,126.37987664311828,1.5391375805072798,90.9056940854578,10,TIER_5_RISKY,100.0,73.32
AEVA_365,26,11,1.0,19,84.21052631578947,54.67531249833531,-4.831774983775852,45.27945658010723,0.9698279497017986,51.359007433454295,10,TIER_5_RISKY,57.081070293786084,47.56864217627165
IOBT_365,30,11,1.0,7,100.0,79.57623317405263,0.0,79.57623317405263,4.060194112790943,50.46832835251416,10,TIER_5_RISKY,56.11444082108087,46.98866449264852
ASTS_365,34,11,1.0,16,93.75,35.58241582374913,-3.0597053205792477,33.167283252228614,1.507666902344759,34.53466103379549,10,TIER_5_RISKY,38.82207057444126,36.613242344664755
ARRY_365,32,11,1.0,21,90.47619047619048,29.007104846731725,-7.286887193355054,25.550534176247268,1.1391945093434364,31.37193982512181,10,TIER_5_RISKY,35.389656364121045,34.55379381847263
SPRO_365,34,10,1.0,14,71.42857142857143,43.708439400136726,-13.21361408871976,27.444995546177726,0.4085410973492248,20.78123408592961,10,TIER_5_RISKY,23.89585514736201,27.657513088417204
STEM_365,34,10,1.5,5,100.0,33.405673132865246,0.0,33.405673132865246,7.1599514472781225,20.310568167964234,10,TIER_5_RISKY,23.38505439113119,27.351032634678717
AKRO_365,34,11,1.0,21,71.42857142857143,26.569350983409716,-1.8933055656820932,18.43716339795491,0.5050739986115081,20.299589766046676,10,TIER_5_RISKY,23.373139833931177,27.343883900358705
SHLS_365,32,9,1.0,14,85.71428571428571,24.165940200536127,-5.268811557123781,19.960975663727567,1.0971600833100894,17.038736965712538,10,TIER_5_RISKY,19.834226110225796,25.220535666135476
HOOD_365,34,9,1.0,12,100.0,18.9820134352249,0.0,18.9820134352249,2.3839672885526206,16.81950795318804,10,TIER_5_RISKY,19.596302901616742,25.077781740970046
INTC_365,32,11,1.0,16,100.0,14.320063019575171,0.0,14.320063019575171,2.088704274451332,16.241710709963993,10,TIER_5_RISKY,18.969235469025122,24.701541281415075
BEAM_365,26,11,1.0,13,76.92307692307693,25.51555864726011,-3.2513845774995604,18.877033287700183,1.2782349782138827,15.406878587327121,10,TIER_5_RISKY,18.063215161856707,24.157929097114025
EDIT_365,30,11,1.0,6,83.33333333333334,47.02310651179585,-11.645095293396766,37.24507287759708,1.5456188495879108,14.627523064912493,10,TIER_5_RISKY,17.21740208080132,23.650441248480792
APP_365,24,8,1.0,6,100.0,24.854016092924912,0.0,24.854016092924912,4.312940340687138,13.887838145993264,10,TIER_5_RISKY,16.414642412988982,23.16878544779339
RXRX_365,32,11,1.0,14,71.42857142857143,24.72831045230308,-4.873320419098874,16.270701631902522,0.9544664622340278,13.563668605785205,10,TIER_5_RISKY,16.06283014028167,22.957698084169003
BKSY_365,32,11,1.0,14,78.57142857142857,21.402750603148686,-3.713787170874164,16.020635365858077,0.9732800413039293,13.39740380718431,10,TIER_5_RISKY,15.882387534139642,22.849432520483788
SANA_365,32,10,1.0,12,100.0,16.980916300579366,0.0,16.980916300579366,1.4634468544083468,13.170630005754134,10,TIER_5_RISKY,15.636276173953172,22.7017657043719
NVTS_365,28,11,1.0,5,100.0,19.52309725226507,0.0,19.52309725226507,6.8309570126456824,11.548846217262456,10,TIER_5_RISKY,13.876198900490234,21.645719340294143
BA_365,32,10,1.0,15,100.0,11.762941343217916,0.0,11.762941343217916,1.4299660510169032,11.345297024549154,10,TIER_5_RISKY,13.655292568420155,21.513175541052092
SYM_365,34,4,1.0,7,85.71428571428571,31.68344182948164,-8.871896833076521,25.88982202054476,1.0789070548913342,11.016727521139938,10,TIER_5_RISKY,13.298705136848024,21.299223082108814
LLY_365,32,11,1.0,14,92.85714285714286,14.310543942469776,-14.08697681356842,12.282149602752764,1.2929130947844365,10.820670009417006,10,TIER_5_RISKY,13.085929319797737,21.171557591878642
LUNR_365,26,11,1.0,9,77.77777777777779,25.96091591933577,-5.2393171394652835,19.027530795157755,1.2248727740406706,10.659956256359814,10,TIER_5_RISKY,12.91151111048022,21.066906666288133
CRNC_365,34,11,1.0,7,100.0,22.246151655080578,0.0,22.246151655080578,1.7597294827768852,10.526457705482178,10,TIER_5_RISKY,12.766628810442867,20.979977286265722
KOD_365,32,11,1.0,14,35.714285714285715,75.09136355418677,-19.775241540783494,14.105688850277312,0.2847768077410297,10.436358421041946,10,TIER_5_RISKY,12.668846538833153,20.921307923299892
ESTC_365,26,11,1.0,12,100.0,11.103372982570006,0.0,11.103372982570006,2.5756105418288913,10.093779529993855,10,TIER_5_RISKY,12.297055104746454,20.698233062847873
CELH_365,30,11,1.0,21,61.904761904761905,20.371335258215066,-10.622185003814359,8.564279920299095,0.49590521112913,9.413694128708071,10,TIER_5_RISKY,11.558977151747373,20.255386291048424
OUST_365,32,11,1.0,8,87.5,22.01252827261098,-7.352940145248341,18.34184472037856,0.9522652067676507,8.734041932563539,10,TIER_5_RISKY,10.821369344355416,19.812821606613248
NXT_365,34,11,1.0,9,100.0,13.220323683497815,0.0,13.220323683497815,1.9688116854632935,8.291695155405005,10,TIER_5_RISKY,10.341302571588864,19.52478154295332
