date,open,high,low,close,volume,dividends,stock_splits,capital_gains,returns,log_returns,realized_vol_5d,realized_vol_20d
2011-10-04 00:00:00-04:00,9.8725004196167,10.524999618530273,9.824999809265137,10.524999618530273,81200,0.0,0.0,0.0,,,,
2011-10-05 00:00:00-04:00,10.882499694824219,11.40999984741211,10.862500190734863,11.34749984741211,35600,0.0,0.0,0.0,0.07814729298742629,0.07524409857736468,,
2011-10-06 00:00:00-04:00,11.357500076293945,11.582500457763672,11.199999809265137,11.582500457763672,22400,0.0,0.0,0.0,0.020709461424241127,0.020497935929020227,,
2011-10-07 00:00:00-04:00,11.797499656677246,11.797499656677246,11.194999694824219,11.672499656677246,72800,0.0,0.0,0.0,0.00777027371954464,0.007740240619321682,,
2011-10-10 00:00:00-04:00,11.875,12.149999618530273,11.850000381469727,12.149999618530273,60000,0.0,0.0,0.0,0.04090811530500882,0.040093519939875304,,
2011-10-11 00:00:00-04:00,12.0625,12.412500381469727,12.0600004196167,12.3149995803833,65600,0.0,0.0,0.0,0.013580244200286362,0.013488859109003395,0.453363942126333,
2011-10-12 00:00:00-04:00,12.789999961853027,13.375,12.75,13.172499656677246,55200,0.0,0.0,0.0,0.06963054043947081,0.06731329953882971,0.3998910591522739,
2011-10-13 00:00:00-04:00,13.0,13.067500114440918,12.734999656677246,13.067500114440918,58400,0.0,0.0,0.0,-0.007971117477547529,-0.008003056675089994,0.4866441676276373,
2011-10-14 00:00:00-04:00,13.84749984741211,13.944999694824219,13.5024995803833,13.9375,52800,0.0,0.0,0.0,0.06657737730552182,0.06445480885772276,0.5339063446397585,
2011-10-17 00:00:00-04:00,13.725000381469727,13.727499961853027,12.404999732971191,12.404999732971191,42400,0.0,0.0,0.0,-0.1099551761096903,-0.11648345360247496,1.1615548391114108,
2011-10-18 00:00:00-04:00,12.375,13.067500114440918,12.072500228881836,12.835000038146973,41600,0.0,0.0,0.0,0.034663467507611845,0.0340762216773465,1.179304951474046,
2011-10-19 00:00:00-04:00,12.944999694824219,12.952500343322754,11.802499771118164,11.979999542236328,79200,0.0,0.0,0.0,-0.06661476379972675,-0.06893726281856363,1.1457591501686157,
2011-10-20 00:00:00-04:00,11.912500381469727,11.912500381469727,11.462499618530273,11.8774995803833,41200,0.0,0.0,0.0,-0.008555923686946465,-0.008592735726412254,1.1454872406133105,
2011-10-21 00:00:00-04:00,12.319999694824219,12.462499618530273,12.164999961853027,12.462499618530273,30000,0.0,0.0,0.0,0.04925279383828807,0.04807828592831659,1.0701934699200497,
2011-10-24 00:00:00-04:00,12.734999656677246,13.265000343322754,12.734999656677246,13.265000343322754,41200,0.0,0.0,0.0,0.06439323966752664,0.062404908793003665,0.8405531818317712,
2011-10-25 00:00:00-04:00,13.057499885559082,13.057499885559082,12.362500190734863,12.364999771118164,73600,0.0,0.0,0.0,-0.06784776094315192,-0.0702591310086342,0.988620855769998,
2011-10-26 00:00:00-04:00,12.824999809265137,12.8774995803833,12.210000038146973,12.779999732971191,89600,0.0,0.0,0.0,0.03356247226323239,0.03301154559219611,0.8464486661981112,
2011-10-27 00:00:00-04:00,14.175000190734863,14.637499809265137,13.912500381469727,14.457500457763672,127600,0.0,0.0,0.0,0.13125984036327387,0.12333191465783318,1.1408411626452586,
2011-10-28 00:00:00-04:00,14.207500457763672,14.694999694824219,14.145000457763672,14.694999694824219,92400,0.0,0.0,0.0,0.01642740650462926,0.01629393639061088,1.1516686436498955,
2011-10-31 00:00:00-04:00,13.9399995803833,14.039999961853027,13.109999656677246,13.109999656677246,190800,0.0,0.0,0.0,-0.10785982109990999,-0.11413200751580443,1.4818740759039815,
2011-11-01 00:00:00-04:00,11.100000381469727,11.632499694824219,10.767499923706055,11.157500267028809,541600,0.0,0.0,0.0,-0.14893207023495092,-0.1612633301337936,1.797724473208044,1.1436897856839732
2011-11-02 00:00:00-04:00,11.617500305175781,11.619999885559082,11.170000076293945,11.52750015258789,88800,0.0,0.0,0.0,0.033161539476047164,0.032623556881620906,1.797042751071252,1.1165947069720399
2011-11-03 00:00:00-04:00,11.859999656677246,12.109999656677246,11.157500267028809,12.09000015258789,248800,0.0,0.0,0.0,0.04879635589280129,0.04764317891211892,1.4319343911006879,1.1268375496200451
2011-11-04 00:00:00-04:00,11.762499809265137,12.050000190734863,11.382499694824219,11.852499961853027,214400,0.0,0.0,0.0,-0.019644349688781926,-0.019839864672039752,1.3774465544872594,1.1300159600142643
2011-11-07 00:00:00-05:00,11.757499694824219,11.9399995803833,11.505000114440918,11.930000305175781,82400,0.0,0.0,0.0,0.006538733901892968,0.0065174491146977424,1.2501523809898867,1.1213739755123988
2011-11-08 00:00:00-05:00,12.112500190734863,12.5024995803833,11.767499923706055,12.5024995803833,146800,0.0,0.0,0.0,0.047988202897123466,0.04687232905793848,0.4683622500787457,1.1328731328113248
2011-11-09 00:00:00-05:00,11.552499771118164,11.657500267028809,10.055000305175781,10.104999542236328,277200,0.0,0.0,0.0,-0.19176165715763782,-0.2128982851934242,1.5784714945483167,1.2976884744274768
2011-11-10 00:00:00-05:00,10.6850004196167,10.75,10.180000305175781,10.725000381469727,195600,0.0,0.0,0.0,0.061355850303797865,0.059547194827479305,1.6158436037749282,1.322106302542156
2011-11-11 00:00:00-05:00,11.149999618530273,11.307499885559082,11.107500076293945,11.1875,294800,0.0,0.0,0.0,0.04312350602144166,0.04221958321862088,1.6748875368791842,1.3074856419712826
2011-11-14 00:00:00-05:00,11.03499984741211,11.037500381469727,10.71500015258789,10.90999984741211,102000,0.0,0.0,0.0,-0.024804482912884063,-0.02511729774205219,1.6742360121076836,1.2528092284353591
2011-11-15 00:00:00-05:00,10.712499618530273,11.109999656677246,10.6274995803833,11.022500038146973,483200,0.0,0.0,0.0,0.010311658323400419,0.010258855851861823,1.6080858394924182,1.2459920160057518
2011-11-16 00:00:00-05:00,10.667499542236328,11.069999694824219,10.4375,10.4975004196167,349600,0.0,0.0,0.0,-0.04762981326498894,-0.048801468161560266,0.7211793728232165,1.235213609224043
2011-11-17 00:00:00-05:00,10.392499923706055,10.467499732971191,9.792499542236328,9.992500305175781,843600,0.0,0.0,0.0,-0.04810670104830128,-0.04930233140539846,0.6281695747877889,1.2452796484945006
2011-11-18 00:00:00-05:00,10.25,10.324999809265137,9.987500190734863,10.3125,863600,0.0,0.0,0.0,0.03202398649499871,0.031521909516974915,0.5672092252502734,1.236700874705709
2011-11-21 00:00:00-05:00,9.767499923706055,10.257499694824219,9.75,10.210000038146973,474800,0.0,0.0,0.0,-0.009939390240293555,-0.009989115747988882,0.5618720101239414,1.208095775557231
2011-11-22 00:00:00-05:00,10.107500076293945,10.427499771118164,10.0600004196167,10.417499542236328,415600,0.0,0.0,0.0,0.02032316388972455,0.0201194044598628,0.5913877820020779,1.1926370471489707
2011-11-23 00:00:00-05:00,10.1899995803833,10.234999656677246,9.925000190734863,9.944999694824219,583600,0.0,0.0,0.0,-0.04535635883605493,-0.04641715875309132,0.5825902984509991,1.1910858473295751
2011-11-25 00:00:00-05:00,9.9350004196167,10.100000381469727,9.779999732971191,9.8125,138400,0.0,0.0,0.0,-0.01332324775164917,-0.013412798511055134,0.48404962907044813,1.0685067789983247
2011-11-28 00:00:00-05:00,10.457500457763672,10.489999771118164,10.164999961853027,10.2524995803833,294000,0.0,0.0,0.0,0.044840721567724895,0.04386445424731752,0.5473157284452634,1.0848832712422671
2011-11-29 00:00:00-05:00,10.354999542236328,10.517499923706055,10.22249984741211,10.444999694824219,271600,0.0,0.0,0.0,0.018775920245755362,0.01860182843528058,0.5546629585425636,1.0337282255164095
2011-11-30 00:00:00-05:00,11.154999732971191,11.404999732971191,11.074999809265137,11.404999732971191,353600,0.0,0.0,0.0,0.09191001112452679,0.08792846653191537,0.8388559876058872,0.9519452972008424
2011-12-01 00:00:00-05:00,11.385000228881836,11.737500190734863,11.357500076293945,11.637499809265137,450400,0.0,0.0,0.0,0.020385802870455327,0.02018079389046828,0.620768129719247,0.9476343561486326
2011-12-02 00:00:00-05:00,11.979999542236328,12.172499656677246,11.680000305175781,11.6899995803833,373600,0.0,0.0,0.0,0.004511258601814783,0.004501113375112999,0.5462344518878142,0.9317135338779817
2011-12-05 00:00:00-05:00,12.1225004196167,12.15250015258789,11.604999542236328,11.704999923706055,227600,0.0,0.0,0.0,0.0012831774047217248,0.0012823548361881086,0.5881657572500055,0.9287954473768877
2011-12-06 00:00:00-05:00,11.697500228881836,11.907500267028809,11.65250015258789,11.7524995803833,190800,0.0,0.0,0.0,0.004058065526429067,0.004049853786875569,0.6105732162774589,0.9286453125985344
2011-12-07 00:00:00-05:00,11.614999771118164,11.614999771118164,11.112500190734863,11.390000343322754,323600,0.0,0.0,0.0,-0.030844437354042742,-0.03133014061012291,0.29755204488924686,0.9178364949042188
2011-12-08 00:00:00-05:00,11.074999809265137,11.170000076293945,10.762499809265137,10.869999885559082,371200,0.0,0.0,0.0,-0.045654121342368126,-0.04672911699658741,0.3710871743381876,0.6161155259075473
2011-12-09 00:00:00-05:00,10.9975004196167,11.630000114440918,10.9975004196167,11.614999771118164,463200,0.0,0.0,0.0,0.0685372487030862,0.06629065591168629,0.6987386963885803,0.6253840531320894
