date,open,high,low,close,volume,dividends,stock_splits,capital_gains,returns,log_returns,realized_vol_5d,realized_vol_20d
2011-01-04 00:00:00-05:00,633120.0,650800.0,633120.0,633840.0,14,0.0,0.0,0.0,,,,
2011-01-05 00:00:00-05:00,640400.0,640800.0,617440.0,620400.0,9,0.0,0.0,0.0,-0.021204089360090883,-0.021432125354602722,,
2011-01-06 00:00:00-05:00,619520.0,629440.0,614960.0,623040.0,10,0.0,0.0,0.0,0.004255319148936065,0.004246290881451004,,
2011-01-07 00:00:00-05:00,617920.0,640080.0,609440.0,624320.0,5,0.0,0.0,0.0,0.0020544427324087344,0.0020523352509114255,,
2011-01-10 00:00:00-05:00,637120.0,646960.0,622080.0,623040.0,9,0.0,0.0,0.0,-0.002050230650948226,-0.002052335250911519,,
2011-01-11 00:00:00-05:00,613760.0,618080.0,604080.0,605840.0,8,0.0,0.0,0.0,-0.02760657421674373,-0.027994797378267648,0.2302224534738749,
2011-01-12 00:00:00-05:00,592880.0,594160.0,577280.0,578800.0,6,0.0,0.0,0.0,-0.04463224613759409,-0.04565893004823845,0.34198932284964084,
2011-01-13 00:00:00-05:00,578240.0,584320.0,571920.0,572000.0,2,0.0,0.0,0.0,-0.011748445058742174,-0.011818003377530846,0.30638004039866173,
2011-01-14 00:00:00-05:00,576000.0,576000.0,542400.0,548400.0,6,0.0,0.0,0.0,-0.041258741258741294,-0.04213404369163861,0.29247537522012507,
2011-01-18 00:00:00-05:00,544160.0,547040.0,531360.0,531680.0,3,0.0,0.0,0.0,-0.03048869438366153,-0.030963143081875144,0.2059669357860355,
2011-01-19 00:00:00-05:00,534480.0,570000.0,533120.0,559360.0,7,0.0,0.0,0.0,0.05206139030996093,0.05075146842083185,0.6307528627488662,
2011-01-20 00:00:00-05:00,563120.0,576320.0,551440.0,554480.0,12,0.0,0.0,0.0,-0.008724256292906185,-0.008762535417386702,0.5742221264559866,
2011-01-21 00:00:00-05:00,539120.0,564960.0,538960.0,559760.0,4,0.0,0.0,0.0,0.009522435435002086,0.009477382827911959,0.5852976313776344,
2011-01-24 00:00:00-05:00,560800.0,563600.0,546480.0,547680.0,4,0.0,0.0,0.0,-0.021580677433185702,-0.021816945655766144,0.5188037766663887,
2011-01-25 00:00:00-05:00,553520.0,561360.0,540720.0,540720.0,3,0.0,0.0,0.0,-0.012708150744960567,-0.012789589989776518,0.4652223555252723,
2011-01-26 00:00:00-05:00,535520.0,538960.0,521280.0,523840.0,4,0.0,0.0,0.0,-0.031217635744932637,-0.03171529060932856,0.24219948906860791,
2011-01-27 00:00:00-05:00,524560.0,526800.0,512800.0,514000.0,2,0.0,0.0,0.0,-0.018784361637141145,-0.018963028727605007,0.24169297963712097,
2011-01-28 00:00:00-05:00,512080.0,564880.0,509040.0,557040.0,8,0.0,0.0,0.0,0.08373540856031125,0.08041378517912616,0.7515775944744646,
2011-01-31 00:00:00-05:00,549680.0,558480.0,547040.0,554800.0,3,0.0,0.0,0.0,-0.004021255206089314,-0.004029362193614752,0.7300052583962868,
2011-02-01 00:00:00-05:00,542240.0,542240.0,523040.0,528400.0,5,0.0,0.0,0.0,-0.047584715212689255,-0.04875411579250627,0.8154771005296434,
2011-02-02 00:00:00-05:00,532480.0,533600.0,519280.0,526240.0,2,0.0,0.0,0.0,-0.004087812263436796,-0.004096190207423419,0.7794899559823728,0.4965603696239982
