Date,Open,High,Low,Close,Volume
2023-12-26,85.96885619630869,87.12899534010096,85.70113643392948,86.32582092285156,11203900
2023-12-27,86.74226844699137,86.75217866831844,85.49289213982846,85.92918395996094,9186300
2023-12-28,86.01842489907908,86.01842489907908,85.11609542741289,85.27474975585938,9606200
2023-12-29,85.23006697917289,85.52793838278556,84.42582479467691,84.7336196899414,8549200
2024-01-02,83.40313707670943,83.48257045387422,81.16912447644043,81.75492858886719,13597100
2024-01-03,80.62303323329274,82.00315603129377,80.00744346954745,81.67550659179688,12915600
2024-01-04,82.87691649770757,83.66130416934729,82.0230265045395,82.122314453125,19134200
2024-01-05,80.90105211384987,82.9364814175436,80.43439045843597,82.85704803466797,15483700
2024-01-08,83.29392396185794,84.90241587476235,83.23435271236737,84.34638977050781,16219800
2024-01-09,82.5393239479807,83.59179735696193,82.31096243602099,82.73790740966797,12138700
2024-01-10,82.37052785211999,82.43009909881411,81.07976953091546,81.79464721679688,10748600
2024-01-11,82.2116735609951,82.85704897240672,81.23863354771706,82.79747772216797,10579300
2024-01-12,82.16202332952003,82.45989472211764,81.1294120970816,81.80458068847656,10187500
2024-01-16,81.95351300757714,84.61447057281042,81.7450060714248,84.00880432128906,13713500
2024-01-17,83.09535337071604,83.37336265295178,82.0428799198717,82.68826293945312,10245400
2024-01-18,84.61447501002431,85.21021022672645,83.44285913459692,84.21731567382812,15077700
2024-01-19,85.44850480137237,87.16621575123247,85.01163633898176,86.8882064819336,18156800
2024-01-22,87.64280983523325,89.3108731961626,87.38466267325965,88.60591888427734,14371200
2024-01-23,88.3676143572429,88.54633567805143,86.2626751982962,86.9080581665039,16850900
2024-01-24,87.78181965022918,87.9406788551468,85.99460624999962,87.45416259765625,19752800
2024-01-25,88.51656006867482,89.40023570621288,87.87117702744752,88.56620025634766,15892400
2024-01-26,86.62012006016663,87.87116933789335,85.67687324989012,87.42436981201172,14934500
2024-01-29,87.8711689316869,88.93356581237336,87.39457620778984,88.43711853027344,12108100
2024-01-30,87.45415387675868,88.15910809900005,85.1506388212713,85.54779815673828,12980400
2024-01-31,84.35632130820181,86.3023937459989,84.18753105024645,85.14070892333984,11396700
2024-02-01,85.45843192995001,85.57758200066628,84.01873789091957,85.00170135498047,10459000
2024-02-02,84.4655468409234,85.99460549770218,84.33647326460793,85.86553192138672,10450000
2024-02-05,86.12365363766351,86.60024625785691,85.00168575131738,86.36195373535156,8409300
2024-02-06,86.21303668663244,86.57047933517501,83.12513399100223,83.9988784790039,12990300
2024-02-07,83.5421543284756,84.67405361104316,81.88402209921075,84.56483459472656,16374800
2024-02-08,84.90241439582016,85.41871622450827,83.92937441171266,84.27688598632812,12524500
2024-02-09,84.4556096003522,85.01163571002063,83.36342708967956,84.95205688476562,12161500
2024-02-12,84.92227418864722,86.2924735890036,84.78326955023203,85.091064453125,10366000
2024-02-13,81.88401452159407,82.95634245064021,80.1960892462027,80.95069122314453,21207900
2024-02-14,81.596069601366,82.58896409270645,80.91096997828227,81.2485580444336,12870900
2024-02-15,81.65563876446683,82.1223003755258,80.93083004637475,81.04997253417969,11527600
2024-02-16,80.3847448162137,80.76204203202758,78.68689598227446,78.93511962890625,15553100
2024-02-20,78.76632109785798,80.19608400122607,78.587599788039,80.13651275634766,12627200
2024-02-21,80.2159570227289,80.92091129183189,79.37199811324982,80.91098022460938,9913300
2024-02-22,84.39604566304773,85.69673523685431,83.28400092253861,85.2995834350586,17510900
2024-02-23,85.93502630682413,86.20310450216273,84.4456844822704,85.38893127441406,10232800
2024-02-26,89.04280176622059,91.69382893910796,88.26834507078705,88.8243637084961,28920100
2024-02-27,91.2370814989805,92.09097143582882,89.84702758491224,91.1973648071289,21422700
2024-02-28,89.81723403372433,90.14489103119698,88.66548037240437,89.07256317138672,14190700
2024-02-29,90.00588795367652,90.18460926671095,88.18888920035704,89.96617126464844,17027000
2024-03-01,91.26686983758078,95.37745287663007,91.26686983758078,94.47392272949219,23446200
2024-03-04,96.24126937480152,96.68806889380762,93.94768538025072,95.08950805664062,20913200
2024-03-05,93.58032142387582,94.69236616680176,92.61721239453946,93.79875946044922,12887500
2024-03-06,94.37463354813174,95.74482535146953,93.88810974624667,94.8810043334961,14232400
2024-03-07,98.2270551248069,98.9816570807373,96.77743003524587,98.27670288085938,24843300
2024-03-08,99.17030494260075,101.12630841843924,96.62849731825816,96.9263687133789,22379000
2024-03-11,95.21859334243872,95.77461189255426,92.86543042109759,93.83847045898438,15673300
2024-03-12,94.65264473919247,96.80722421915392,92.97465042866803,96.72779083251953,14993700
2024-03-13,94.6427052409435,94.66255979824103,92.43847819690009,93.49095153808594,16732600
2024-03-14,92.63706528177732,92.78599340531429,89.6583816080891,90.78034973144531,16718900
2024-03-15,91.82289212539008,94.02711168263886,91.3661539622073,92.58741760253906,29579500
2024-03-18,96.13203985308854,96.39019452981627,93.02428296758922,93.11363983154297,23140300
2024-03-19,91.92218377293544,93.4909590570494,90.35340848882149,93.33209228515625,21054700
2024-03-20,94.31505181183192,95.99304603657068,92.92499791753369,95.56610107421875,39807400
2024-03-21,112.5644508481897,112.69352440458253,108.00706120850353,109.0694580078125,89554100
2024-03-22,108.53329619914037,110.54887083749145,106.28936006614965,109.4269027709961,37281400
2024-03-25,109.45669420708805,120.54733220284679,109.37726839940365,116.29773712158203,55766100
2024-03-26,118.15445509748221,121.58986943751292,117.33035077749751,117.95587921142578,44295100
2024-03-27,118.45231957016591,119.25656170937168,116.24809251807775,118.40267181396484,29320700
2024-03-28,118.70581188451857,118.89463880977554,116.62865504671493,117.16533660888672,21047800
2024-04-01,118.4672706216532,126.59698819420684,118.26850306127146,123.53592681884766,44309400
2024-04-02,121.95570547880307,122.91974413961925,120.17670762948711,121.9954605102539,25026400
