ticker,days,start,end,price_now,return_total,volatility,max_drawdown,sharpe,best_day,worst_day,vol_ratio,vol_regime,momentum_6m,z_score,mean_rev_signal
RKLB,500,2023-12-26,2025-12-22,77.55000305175781,1275.0000866592372,82.43625224690466,-48.146971816673165,2.0095275003265884,30.291668574015308,-17.113400825292068,1.269274174476536,NORMAL,139.72181363098116,2.408724646664922,OVERBOUGHT
ASTS,500,2023-12-26,2025-12-22,86.4800033569336,1297.0921253232807,129.1333927601785,-68.39622722849579,1.6063262123485385,69.23078024158558,-25.72115318485969,1.014353041984954,NORMAL,73.06384079315164,1.8063155012633132,NEUTRAL
LUNR,500,2023-12-26,2025-12-22,16.690000534057617,586.831278829147,123.89250818280458,-71.91157301780424,1.370526164868324,50.13660537420219,-34.61939644250647,1.2277914231289224,NORMAL,66.23506571186518,2.8646786104411475,OVERBOUGHT
BKSY,500,2023-12-26,2025-12-22,21.8700008392334,88.53448379337428,94.0756618862604,-69.05487821498916,0.8067010228938958,31.00686623702582,-24.166663836951162,0.9923218231932759,NORMAL,26.56249982753287,2.8349373013366894,OVERBOUGHT
SATL,500,2023-12-26,2025-12-22,2.140000104904175,9.743592439710348,111.07962264372824,-73.20675016347266,0.5675102746586927,46.30872837611506,-29.71014058749334,0.8993339676953351,NORMAL,-38.150286667330015,1.5078452796427684,NEUTRAL
IONQ,500,2023-12-26,2025-12-22,53.86000061035156,298.37277209131463,105.72824609064521,-64.22557163317298,1.178833375358417,36.523552968446296,-38.999798534137774,0.9297294613838989,NORMAL,41.32773484060752,1.3252599275489405,NEUTRAL
RGTI,500,2023-12-26,2025-12-22,26.8799991607666,2460.0000363304516,150.92629684968426,-69.74999904632568,1.7995992633055093,58.045976145262145,-45.40510986909304,0.7546530281283057,NORMAL,142.38051209128307,0.5720860084044883,NEUTRAL
QBTS,500,2023-12-26,2025-12-22,32.189998626708984,3225.4130992906867,145.74079644043866,-65.95744491972599,1.8987882282734985,51.23367602630893,-36.12565672458715,0.8901776501025112,NORMAL,127.00985849033763,2.395247027460656,OVERBOUGHT
OKLO,500,2023-12-26,2025-12-22,83.44000244140625,684.9482741590239,126.29704061084277,-69.33625730688226,1.462897919688525,41.97426143447358,-53.64783312425387,0.8230582411148987,NORMAL,50.15296544832957,-0.8142291534772743,NEUTRAL
SMR,500,2023-12-26,2025-12-22,16.43000030517578,387.53711759993274,123.4814113616468,-70.5596117305046,1.2517741337546087,40.01468322362926,-34.851488364512825,0.8452491519878245,NORMAL,-57.50129236931283,-1.217637464950845,NEUTRAL
LEU,500,2023-12-26,2025-12-22,261.1600036621094,370.21966034771305,89.23770477246174,-54.14876528939738,1.3137580703246772,33.1255432248438,-28.786633005291883,0.920070138400139,NORMAL,44.14395309610764,0.3892932399797353,NEUTRAL
SOUN,500,2023-12-26,2025-12-22,11.270000457763672,429.10797428392715,121.79425434572386,-70.36731339667233,1.2465797734847446,66.74056761169935,-28.098359655161374,0.488289601465398,LOW,17.76385388871924,-0.7464661126055585,NEUTRAL
BBAI,500,2023-12-26,2025-12-22,6.389999866485596,224.36547074537518,125.92669089832268,-75.56237044826497,1.0678848592249834,44.806524530990345,-31.64893777230683,0.8533477565235711,NORMAL,32.848231652847474,0.32082464278152,NEUTRAL
GRRR,500,2023-12-26,2025-12-22,12.0,125.56390249612592,139.01594554216913,-79.99999957425253,0.9174364206084312,96.39638277358378,-30.364614839834026,0.579853967809972,LOW,-41.888618781223606,-1.3112215245796977,NEUTRAL
DNA,500,2023-12-26,2025-12-22,8.789999961853027,-87.72346347880152,102.67278852231402,-92.51396613443823,-0.519311213432,20.75227462455722,-20.796463201801952,0.6346950692937071,LOW,-5.6866926000601055,-0.27420727466025546,NEUTRAL
MU,500,2023-12-26,2025-12-22,276.5899963378906,220.40239337553024,57.489595648187596,-57.628972087356054,1.3113599961219575,18.81293131289341,-16.17902838569625,1.1783290693879565,NORMAL,117.70037683757408,2.3190347170297465,OVERBOUGHT
WOLF,60,2025-09-29,2025-12-22,18.3799991607666,-16.832584418515438,116.86577754800045,-51.58102624193066,-0.11860627605153799,29.411764198203727,-18.224445031004997,0.6705769341407899,LOW,-16.832584418515438,-0.8655420895927727,NEUTRAL
AEHR,500,2023-12-26,2025-12-22,22.61000061035156,-22.859088971926067,94.81171588573525,-76.86796201519358,0.3238266268698605,35.85635157092286,-27.079424550881413,0.7352390155399681,NORMAL,93.74464835078086,-0.40918935556792957,NEUTRAL
KDK,62,2025-09-25,2025-12-22,10.880000114440918,36.855350634865204,110.21380677276433,-42.98874195819295,1.714541125461722,23.04786382059345,-18.562501668930054,0.7717465065431472,NORMAL,36.855350634865204,2.101817590938743,OVERBOUGHT
KULR,500,2023-12-26,2025-12-22,3.75,146.71052941159863,159.98186587890325,-94.06250031044084,0.980933608841987,75.55556497456139,-27.50000316649671,0.7952659439616659,NORMAL,-28.023033156564946,0.749493073067259,NEUTRAL
