Date,Open,High,Low,Close,Volume
2023-12-26,70.4000015258789,73.19999694824219,69.5999984741211,71.5999984741211,316530
2023-12-27,73.19999694824219,74.0,70.0,70.80000305175781,350020
2023-12-28,69.19999694824219,71.5999984741211,68.4000015258789,70.80000305175781,425703
2023-12-29,70.80000305175781,72.0,66.0,67.5999984741211,457518
2024-01-02,66.4000015258789,68.80000305175781,64.80000305175781,66.80000305175781,455175
2024-01-03,66.0,66.0,60.400001525878906,61.599998474121094,696365
2024-01-04,62.0,63.599998474121094,60.0,62.400001525878906,480760
2024-01-05,61.20000076293945,63.599998474121094,59.599998474121094,61.20000076293945,514005
2024-01-08,61.20000076293945,63.599998474121094,60.400001525878906,62.400001525878906,458508
2024-01-09,61.599998474121094,62.79999923706055,59.599998474121094,60.400001525878906,485888
2024-01-10,61.20000076293945,61.20000076293945,55.400001525878906,56.400001525878906,757720
2024-01-11,55.79999923706055,56.0,52.20000076293945,53.599998474121094,710563
2024-01-12,54.400001525878906,56.0,52.0,52.0,594468
2024-01-16,52.400001525878906,52.400001525878906,48.400001525878906,48.79999923706055,777030
2024-01-17,48.400001525878906,48.400001525878906,44.79999923706055,46.0,819780
2024-01-18,48.0,49.20000076293945,46.0,47.20000076293945,652768
2024-01-19,48.79999923706055,49.599998474121094,46.0,48.400001525878906,512820
2024-01-22,48.79999923706055,54.0,48.79999923706055,49.20000076293945,550940
2024-01-23,50.400001525878906,52.0,48.400001525878906,50.79999923706055,455368
2024-01-24,52.0,52.400001525878906,49.599998474121094,49.599998474121094,451275
2024-01-25,50.0,50.959999084472656,48.79999923706055,50.400001525878906,476950
2024-01-26,50.400001525878906,53.20000076293945,50.0,51.599998474121094,374198
2024-01-29,52.0,54.79999923706055,50.400001525878906,54.0,500003
2024-01-30,54.0,54.400001525878906,50.79999923706055,50.79999923706055,490368
2024-01-31,50.400001525878906,52.79999923706055,48.400001525878906,48.400001525878906,696018
2024-02-01,49.599998474121094,50.79999923706055,47.20000076293945,50.79999923706055,411855
2024-02-02,49.20000076293945,51.20000076293945,46.79999923706055,50.79999923706055,676975
2024-02-05,50.0,50.400001525878906,48.0,48.79999923706055,383845
2024-02-06,48.79999923706055,52.0,48.400001525878906,51.599998474121094,400938
2024-02-07,51.20000076293945,51.599998474121094,48.79999923706055,49.599998474121094,271578
2024-02-08,49.20000076293945,53.20000076293945,49.20000076293945,52.0,496480
2024-02-09,52.79999923706055,56.79999923706055,52.0,56.400001525878906,685843
2024-02-12,56.0,61.20000076293945,55.79999923706055,60.400001525878906,603800
2024-02-13,56.0,57.599998474121094,53.599998474121094,54.0,683058
2024-02-14,55.20000076293945,60.0,54.400001525878906,59.599998474121094,620085
2024-02-15,60.79999923706055,63.599998474121094,60.08000183105469,62.0,669275
2024-02-16,60.400001525878906,60.400001525878906,57.599998474121094,58.79999923706055,586163
2024-02-20,57.20000076293945,59.20000076293945,54.400001525878906,54.79999923706055,491103
2024-02-21,54.0,54.79999923706055,51.599998474121094,51.599998474121094,398345
2024-02-22,53.599998474121094,55.20000076293945,51.599998474121094,52.79999923706055,453528
2024-02-23,53.20000076293945,54.0,52.0,52.79999923706055,239680
2024-02-26,52.79999923706055,56.79999923706055,52.400001525878906,56.0,468365
2024-02-27,56.0,62.0,56.0,61.20000076293945,591410
2024-02-28,60.0,62.79999923706055,58.79999923706055,60.79999923706055,538545
2024-02-29,61.599998474121094,64.4000015258789,57.599998474121094,60.79999923706055,892085
2024-03-01,51.20000076293945,56.0,48.79999923706055,51.599998474121094,1510433
2024-03-04,52.79999923706055,52.79999923706055,50.0,50.400001525878906,812440
2024-03-05,49.20000076293945,50.400001525878906,45.20000076293945,46.0,1260468
2024-03-06,48.0,49.599998474121094,47.599998474121094,48.79999923706055,449260
2024-03-07,48.79999923706055,49.599998474121094,47.20000076293945,48.0,444863
