Date,Open,High,Low,Close,Volume
2023-12-26,1.6799999475479126,1.9500000476837158,1.6799999475479126,1.9500000476837158,74400
2023-12-27,1.9800000190734863,1.9850000143051147,1.7599999904632568,1.8700000047683716,52100
2023-12-28,1.8600000143051147,1.8700000047683716,1.7599999904632568,1.7899999618530273,46900
2023-12-29,1.850000023841858,1.850000023841858,1.6799999475479126,1.75,25100
2024-01-02,1.7100000381469727,1.7400000095367432,1.5199999809265137,1.5499999523162842,144200
2024-01-03,1.5499999523162842,1.6699999570846558,1.5499999523162842,1.659999966621399,18300
2024-01-04,1.5700000524520874,1.6419999599456787,1.5,1.5,35700
2024-01-05,1.5700000524520874,1.5700000524520874,1.4700000286102295,1.5499999523162842,8700
2024-01-08,1.6100000143051147,1.625,1.4700000286102295,1.5499999523162842,67600
2024-01-09,1.5,1.5800000429153442,1.4889999628067017,1.4900000095367432,16000
2024-01-10,1.5299999713897705,1.5679999589920044,1.4900000095367432,1.5,13600
2024-01-11,1.5,1.5,1.25,1.2999999523162842,87700
2024-01-12,1.2899999618530273,1.4199999570846558,1.2899999618530273,1.340000033378601,23300
2024-01-16,1.2999999523162842,1.409999966621399,1.2999999523162842,1.3200000524520874,18300
2024-01-17,1.36899995803833,1.36899995803833,1.2999999523162842,1.3300000429153442,5500
2024-01-18,1.3300000429153442,1.3680000305175781,1.25,1.2699999809265137,54900
2024-01-19,1.2599999904632568,1.3300000429153442,1.2599999904632568,1.3200000524520874,9400
2024-01-22,1.309999942779541,1.3200000524520874,1.25,1.2899999618530273,61000
2024-01-23,1.340000033378601,1.350000023841858,1.2699999809265137,1.3300000429153442,28800
2024-01-24,1.3300000429153442,1.5700000524520874,1.2899999618530273,1.4900000095367432,121900
2024-01-25,1.4600000381469727,1.5800000429153442,1.3899999856948853,1.5399999618530273,57400
2024-01-26,1.569000005722046,1.569000005722046,1.4119999408721924,1.5399999618530273,10900
