hypothesis_id,name,category,batch,spread,p_value,sharpe,win_rate,n_signals,pass,note,error
H42,Monday Effect,Seasonality,0,-0.13656665622164937,0.21711246651887853,0.6882433688202281,0.557427258805513,3265,False,"Long: 11.97%, Other: 25.63%",
H43,Friday Effect,Seasonality,0,-0.033554700606271456,0.7554362914395039,0.6659831791020043,0.5570719602977667,806,False,"Long: 11.84%, Other: 15.20%",
H44,Turn of Month,Seasonality,0,0.001506550324668371,0.9890114573113118,0.8079770748071903,0.5478036175710594,774,False,"Long: 14.64%, Other: 14.49%",
H45,Monthly OpEx Week,Seasonality,0,-0.18056887278293754,0.14440320827361972,-0.06509764491335643,0.546572934973638,569,False,"Long: -0.98%, Other: 17.08%",
H46,First Half of Month,Seasonality,0,0.008226031306222903,0.9286820965145819,0.8093093503536631,0.5694760820045558,1317,False,"Long: 15.08%, Other: 14.25%",
H47,January Effect,Seasonality,0,0.057017361354262525,0.1649963587286546,1.0193824060498975,0.6656346749226006,323,False,"Long: 17.45%, Other: 11.75%",
H48,Sell in May,Seasonality,0,-0.01626798092296841,0.3164036549097906,0.8351702681187637,0.6846430405752439,1947,False,"Long: 13.51%, Other: 15.14%",
H49,September Effect,Seasonality,0,0.06658521798083027,0.02448859343036674,0.9992706475350669,0.6971926955573726,3669,True,"Long: 14.89%, Other: 8.23%",
H50,December Rally,Seasonality,0,0.039645868122413275,0.18804564122688588,1.3389770326082655,0.726984126984127,315,False,"Long: 18.00%, Other: 14.03%",
H51,Santa Claus Rally,Seasonality,0,0.02958916477089571,0.8148463551204621,1.203501414940162,0.6585365853658537,82,False,"Long: 17.19%, Other: 14.23%",
H52,Pre-Holiday Effect,Seasonality,0,0.13046549642074767,0.22036105565920008,1.516328240784754,0.5396634615384616,832,False,"Long: 24.87%, Other: 11.82%",
H53,Quarter-End Effect,Seasonality,0,0.13293883330251835,0.04481854185061268,1.760957600875854,0.6529968454258676,317,True,"Long: 26.53%, Other: 13.24%",
