id,name,grade,total_score,bootstrap_sig,calmar,stability,crisis_alpha
H16,Weekly Reversal,A+,4,True,0.12633183292478883,0.7739606671645507,0.11258752662564082
H21,VIX Percentile,A+,4,True,0.11833797485293059,0.7438386855862584,0.05312561101322114
H27B,Z-Score Mean Reversion,A,4,True,0.2839999179356999,0.7605177993527508,0.14823286319369133
H19,Bollinger Band MR,A,4,True,0.2839999179356999,0.7605177993527508,0.14823286319369133
H20,VIX Mean Reversion,A+,4,True,0.1049387258076038,0.7239233258650735,0.10326481630646116
H27E,Multi-Indicator Oversold,A+,3,True,0.10114447658333185,0.6420214090117002,0.13800065082990123
H128,VIX Turbulence,A+,3,True,0.01653230146488919,0.46004480955937266,0.09265543455384512
H27C,MA Distance,A+,3,True,0.11857550412127978,0.6858352003983071,0.14701132774054546
H62,Oil-Equity Relationship,A,3,True,0.3739674538203427,0.8503858600945979,-0.003920169856134932
H27,Post-Large-Move Reversal,A,1,False,-0.06194031516563194,0.23027134677620115,0.0681877065796065
