hypothesis_id,name,category,batch,spread,p_value,sharpe,win_rate,n_signals,pass,note,error
H16,Weekly Reversal,Mean Reversion,0,0.16514712550528773,0.0006191092654966599,1.2437183882776903,0.6352785145888594,754,True,"Long: 28.16%, Other: 11.65%",
H17,RSI Mean Reversion (30/70),Mean Reversion,0,0.4071465432225136,9.748672778981221e-06,2.2732309151881807,0.6772486772486772,189,True,"Long: 54.60%, Other: 13.88%",
H18,RSI Extreme (20/80),Mean Reversion,0,1.0949758269637209,4.767934415389484e-08,5.88694653952465,0.8529411764705882,34,True,"Long: 123.75%, Other: 14.25%",
H19,Bollinger Band Mean Reversion,Mean Reversion,0,0.4126498550608144,1.56824659811214e-06,2.467992636510695,0.6951871657754011,187,True,"Long: 54.03%, Other: 12.77%",
H23,Sector Relative Value,Mean Reversion,0,0.0,1.0,0.0,0.0,0,False,,"Insufficient data: long=0, other=3996"
H24,Country Mean Reversion,Mean Reversion,0,0.0,1.0,0.0,0.0,0,False,,"Insufficient data: long=0, other=3996"
H26,Gap Fill,Mean Reversion,0,-0.17635438356202346,0.3616962921937885,-0.06386779002556636,0.5079365079365079,189,False,"Long: -1.99%, Other: 15.64%",
H27,Post-Large-Move Reversal,Mean Reversion,0,0.39645346082248445,0.0986127576304984,2.1438667750011837,0.5615384615384615,130,True,"Long: 54.74%, Other: 15.10%",
H27B,Z-Score Mean Reversion,Mean Reversion,0,0.1623336976124162,0.009110676524582674,1.1263587503350136,0.6687116564417178,163,True,"Long: 30.35%, Other: 14.11%",
H27C,MA Distance,Mean Reversion,0,0.3652024252064934,6.440487520238351e-12,1.7743603831597623,0.6995515695067265,223,True,"Long: 49.24%, Other: 12.72%",
H27D,Consecutive Down Reversal,Mean Reversion,0,0.26394594365523677,0.0021485132917493863,1.906783522712156,0.595166163141994,331,True,"Long: 38.56%, Other: 12.17%",
H27E,Multi-Indicator Oversold,Mean Reversion,0,0.39527674133420276,1.8181652595598702e-06,2.142639565964218,0.6887755102040817,196,True,"Long: 51.89%, Other: 12.36%",
