strategy,n,wr,avg_ret,sharpe,sortino,max_dd
All RSI<35,1203,0.6059850374064838,0.008375932773807982,0.8249314781594446,1.1403834002324862,-0.9176318895552706
Non-Neutral Only,997,0.6409227683049148,0.012214251279987254,1.2378231152892374,1.647762862062477,-0.8921705210911373
CRISIS Only,371,0.6415094339622641,0.00730552057292965,0.6307003185375776,0.7518602098513277,-0.8611506855178629
Inverted YC Only,427,0.702576112412178,0.02050395016039113,2.703255039899815,4.507216038303662,-0.5424999154888002
RSI<25 + Non-Neutral,285,0.6842105263157895,0.019347538805602964,2.152521138499545,3.4065247941213457,-0.5221931505650983
