ticker,date,rsi,vix,edge_score,trade,fwd_5d,win
NVDA,2022-01-21,16.70776174585626,28.850000381469727,95,True,-2.2845695610003824,0
NVDA,2022-01-24,16.704469581020263,29.899999618530273,100,True,4.766398407583727,1
NVDA,2022-01-25,16.354315755544974,31.15999984741211,100,True,10.365517398419977,1
NVDA,2022-01-26,23.49128287452733,31.959999084472656,100,True,10.846657222224598,1
NVDA,2022-01-27,16.72713141290444,30.489999771118164,100,True,9.132329385347537,1
NVDA,2022-01-28,26.39022268707791,27.65999984741211,70,True,6.47548313039934,1
NVDA,2022-02-01,34.949334943092055,21.959999084472656,40,False,1.9076227188752792,1
NVDA,2022-03-08,27.00710079878469,35.130001068115234,100,True,6.781644250919472,1
NVDA,2022-04-08,34.77380015957257,21.15999984741211,40,False,-5.778775236288025,0
NVDA,2022-04-11,32.09203713238014,24.3700008392334,45,False,1.2820996779668636,1
NVDA,2022-04-12,33.32793922230391,24.260000228881836,40,False,-0.10227991536472247,0
NVDA,2022-04-13,21.86580820208026,21.81999969482422,60,False,-9.097875775371245,0
NVDA,2022-04-14,20.902659418744477,22.700000762939453,60,False,-8.19927691506772,0
NVDA,2022-04-18,20.888344593280678,22.170000076293945,60,False,-8.635183816328318,0
NVDA,2022-04-19,20.730566322695523,21.3700008392334,60,False,-15.361731052901273,0
NVDA,2022-04-20,21.21125017876456,20.31999969482422,60,False,-14.27710186466159,0
NVDA,2022-04-21,19.58547669574554,22.68000030517578,60,False,-1.9868134614592692,0
NVDA,2022-04-22,19.429072778936145,28.209999084472656,95,True,-4.96025824795564,0
NVDA,2022-04-25,17.602047973184185,27.020000457763672,95,True,-1.8540932438336766,0
NVDA,2022-04-26,18.097331886453873,33.52000045776367,100,True,4.332522624175539,1
NVDA,2022-04-27,20.171200028611338,31.600000381469727,100,True,10.420847713436498,1
NVDA,2022-04-28,30.26219727918516,29.989999771118164,75,True,-4.741684605604634,0
NVDA,2022-04-29,29.87322590027881,33.400001525878906,100,True,0.6900813211155432,1
NVDA,2022-05-09,28.718537029397837,34.75,100,True,1.8525171482709268,1
NVDA,2022-05-10,34.1463023076862,32.9900016784668,90,True,3.3077517589300776,1
NVDA,2022-05-24,31.235421518297883,29.450000762939453,75,True,13.408453076517546,1
NVDA,2022-06-17,32.15320318461241,31.1299991607666,90,True,6.227966503822824,1
NVDA,2022-06-23,27.475195265866375,29.049999237060547,85,True,-6.570118810319103,0
NVDA,2022-06-28,32.56638641754627,28.360000610351562,75,True,-5.330991599017187,0
NVDA,2022-06-29,31.937641217150045,28.15999984741211,75,True,2.0331900761759503,1
NVDA,2022-06-30,32.76456918218243,28.709999084472656,75,True,4.479181152225831,1
NVDA,2022-07-01,34.57131148073245,26.700000762939453,65,True,4.331064536729445,1
NVDA,2022-08-30,32.33905704699494,26.209999084472656,65,True,-11.313195870495573,0
NVDA,2022-08-31,31.41474431078356,25.8700008392334,75,True,-7.286625643555567,0
NVDA,2022-09-01,20.36760995404282,25.559999465942383,90,True,3.2594652163066895,1
NVDA,2022-09-02,16.42343421753668,25.469999313354492,95,True,6.31868449131614,1
NVDA,2022-09-06,16.364261066423765,26.90999984741211,95,True,-2.45154325753959,0
NVDA,2022-09-07,20.240468204362884,24.639999389648438,65,True,-4.272992123582919,0
NVDA,2022-09-08,18.540142992890594,23.610000610351562,65,True,-7.583973908410513,0
NVDA,2022-09-09,25.540461633740804,22.790000915527344,50,False,-8.264390350807616,0
NVDA,2022-09-12,30.187022537990828,23.8700008392334,40,False,-7.74217438530661,0
NVDA,2022-09-13,23.376426991112893,27.270000457763672,85,True,0.3427101341134886,1
NVDA,2022-09-14,22.95164786853435,26.15999984741211,85,True,1.0130908114400317,1
NVDA,2022-09-15,14.77356565185407,26.270000457763672,85,True,-2.846310839468602,0
NVDA,2022-09-16,23.103297986878488,26.299999237060547,85,True,-5.16745732987115,0
NVDA,2022-09-19,27.67963471087134,25.760000228881836,75,True,-8.623514700032286,0
NVDA,2022-09-20,28.344732124196085,27.15999984741211,75,True,-5.790839145539239,0
NVDA,2022-09-21,31.68740352069723,27.989999771118164,75,True,-3.9589835787134264,0
NVDA,2022-09-22,34.8776002770401,27.350000381469727,75,True,-2.7147634060623704,0
NVDA,2022-09-27,34.973441536197754,32.599998474121094,90,True,6.074280108412311,1
NVDA,2022-09-29,25.89543115397484,31.84000015258789,100,True,7.446800197850978,1
NVDA,2022-09-30,23.463363227642986,31.6200008392334,100,True,-0.5190013375617641,0
NVDA,2022-10-10,34.41634908291826,32.45000076293945,90,True,1.868033087215526,1
NVDA,2022-10-11,32.664018211211385,33.630001068115234,90,True,3.288453079713616,1
NVDA,2022-12-29,30.776126255954807,21.440000534057617,40,False,1.7530645305847026,1
NVDA,2022-12-30,31.686367879705926,21.670000076293945,40,False,6.93853317557418,1
NVDA,2023-01-03,24.37123266146692,22.899999618530273,60,False,11.135177086873327,1
NVDA,2023-01-04,23.110590015081854,22.010000228881836,60,False,8.48870891888418,1
NVDA,2023-01-05,22.79333403831977,22.459999084472656,60,False,15.744813383249312,1
NVDA,2023-01-06,32.947723048760835,21.1299991607666,40,False,13.729055210826612,1
NVDA,2023-08-11,32.57911599667216,14.84000015258789,55,False,5.982121090734749,1
NVDA,2023-09-18,34.97838204344724,14.0,70,True,-3.9667066996828315,0
NVDA,2023-09-19,17.263843183910907,14.109999656677246,75,True,-3.697144262013541,0
NVDA,2023-09-20,10.26608379915784,15.140000343322754,80,True,0.5421505026134144,1
NVDA,2023-09-21,8.187974011319781,17.540000915527344,95,True,5.051552618327282,1
NVDA,2023-09-22,14.50639735562082,17.200000762939453,85,True,4.539766879067364,1
NVDA,2023-09-25,19.26891423350554,16.899999618530273,85,True,6.063199093617033,1
NVDA,2023-09-26,21.746751190713525,18.940000534057617,95,True,3.83191279417876,1
NVDA,2023-09-27,28.686004147072723,18.219999313354492,75,True,3.7039863363208747,1
NVDA,2023-10-26,31.383540144105638,20.68000030517578,40,False,7.8857264451454245,1
NVDA,2023-10-27,33.29366086721838,21.270000457763672,45,False,11.123462156601871,1
NVDA,2023-10-30,33.92275523771029,19.75,60,False,11.151338467390893,1
NVDA,2023-10-31,28.157153839214416,18.139999389648438,70,True,12.690066964076774,1
NVDA,2023-11-01,34.802686975941626,16.8700008392334,60,False,10.038984157241092,1
NVDA,2023-12-04,34.69188439257702,13.079999923706055,55,False,2.4634132389547814,1
NVDA,2023-12-05,34.84647180949054,12.850000381469727,55,False,2.3429120271942994,1
NVDA,2023-12-06,33.86497510900739,12.970000267028809,55,False,5.680961836302489,1
NVDA,2023-12-11,33.537767342432176,12.630000114440918,55,False,7.399144839197724,1
NVDA,2024-04-15,31.21428022939672,19.229999542236328,60,False,-7.538289142885035,0
NVDA,2024-04-19,28.536387355032332,18.709999084472656,75,True,15.137788835246635,1
NVDA,2024-07-29,30.01410909512478,16.600000381469727,60,False,-9.98296450918894,0
NVDA,2024-07-30,21.04380629425303,17.690000534057617,80,True,0.501314137654707,1
NVDA,2024-08-01,34.730901269623786,18.59000015258789,60,False,-3.882431735707148,0
NVDA,2024-08-02,34.13755531189814,23.389999389648438,60,False,-2.349190370110421,0
NVDA,2024-08-05,31.873515878597203,38.56999969482422,100,True,8.531596323861844,1
NVDA,2024-08-07,33.960082301164945,27.850000381469727,75,True,19.38126143770422,1
NVDA,2024-09-06,30.437154958600516,22.3799991607666,45,False,15.832139964714443,1
NVDA,2024-09-09,28.136036833048863,19.450000762939453,70,True,9.692861953658483,1
NVDA,2024-09-10,31.827666833786438,19.079999923706055,60,False,6.937926203962208,1
NVDA,2024-11-27,32.02335721691311,14.100000381469727,55,False,7.189313158756927,1
AMD,2022-01-21,19.071049000190698,28.850000381469727,95,True,-11.421597486467316,0
AMD,2022-01-24,18.25202547518802,29.899999618530273,100,True,-1.956576678263855,0
AMD,2022-01-25,18.39757238399939,31.15999984741211,100,True,5.084137195643756,1
AMD,2022-01-26,21.61981817801137,31.959999084472656,100,True,10.884295141727506,1
AMD,2022-01-27,18.18353999585689,30.489999771118164,100,True,17.03704056227895,1
AMD,2022-01-28,23.897775047773024,27.65999984741211,80,True,17.44583901846721,1
AMD,2022-02-01,32.14472358874794,21.959999084472656,40,False,9.80475857846308,1
AMD,2022-04-08,31.368637631275476,21.15999984741211,40,False,-7.039604564704516,0
AMD,2022-04-11,29.532102740105685,24.3700008392334,55,False,-0.4518870586369572,0
AMD,2022-04-12,28.584438573751513,24.260000228881836,50,False,-1.135648631317887,0
AMD,2022-04-13,21.49112350587876,21.81999969482422,60,False,-8.072436629930724,0
AMD,2022-04-14,19.61635599699214,22.700000762939453,60,False,-5.286909840984588,0
AMD,2022-04-18,20.090814886685763,22.170000076293945,60,False,-3.408240461225298,0
AMD,2022-04-19,20.18140656259321,21.3700008392334,60,False,-12.142779950489613,0
AMD,2022-04-20,20.697674294817844,20.31999969482422,60,False,-9.689420661800096,0
AMD,2022-04-21,23.866991974711894,22.68000030517578,60,False,-0.23372185647074772,0
AMD,2022-04-22,23.513870781257936,28.209999084472656,95,True,-2.9725468172509872,0
AMD,2022-04-25,23.935904287413592,27.020000457763672,95,True,-0.9372654985479789,0
AMD,2022-04-26,22.84354408604453,33.52000045776367,100,True,7.010325662967132,1
AMD,2022-04-27,24.63495276708855,31.600000381469727,100,True,17.088674927605663,1
AMD,2022-04-28,33.10129549525131,29.989999771118164,75,True,4.71887927904433,1
AMD,2022-04-29,32.02507954962836,33.400001525878906,90,True,11.482694200526943,1
AMD,2022-06-16,30.617460261800858,32.95000076293945,90,True,6.130406571860703,1
AMD,2022-06-17,24.169786685574095,31.1299991607666,100,True,5.627073659994641,1
AMD,2022-06-21,28.42130581625132,30.190000534057617,100,True,-3.592316628883907,0
AMD,2022-06-22,28.83450519490171,28.950000762939453,85,True,-6.877614491021456,0
AMD,2022-06-23,12.862025185660471,29.049999237060547,95,True,-7.230376152380568,0
AMD,2022-06-24,24.42789717903368,27.229999542236328,85,True,-15.399636403460736,0
AMD,2022-06-27,24.253644924277538,26.950000762939453,85,True,-12.720527214516675,0
AMD,2022-06-28,21.41858267761387,28.360000610351562,95,True,-6.7219613607712,0
AMD,2022-06-29,21.717538899606097,28.15999984741211,95,True,1.6797092240937728,1
AMD,2022-06-30,22.56083544177531,28.709999084472656,95,True,3.7661791649589382,1
AMD,2022-07-01,23.23463399873752,26.700000762939453,85,True,4.452285680494983,1
AMD,2022-07-05,32.249328781275395,27.540000915527344,80,True,1.5425581239155717,1
AMD,2022-07-06,32.55396604829569,26.729999542236328,65,True,2.879891457052386,1
AMD,2022-08-24,30.590294730132925,22.81999969482422,40,False,-8.476221638963043,0
AMD,2022-08-30,30.844678059503934,26.209999084472656,65,True,-8.43110377871773,0
AMD,2022-08-31,29.771001791450885,25.8700008392334,85,True,-2.4625944381383102,0
AMD,2022-09-01,21.608363573008916,25.559999465942383,95,True,3.7896210953449083,1
AMD,2022-09-02,19.889835060066233,25.469999313354492,95,True,5.483551399576525,1
AMD,2022-09-06,19.48865301352309,26.90999984741211,95,True,-2.146852661584797,0
AMD,2022-09-07,22.687368465015908,24.639999389648438,65,True,-2.7132315607952817,0
AMD,2022-09-08,24.88623176518479,23.610000610351562,65,True,-7.393084328865807,0
AMD,2022-09-09,34.25314764047104,22.790000915527344,40,False,-10.462252933053652,0
AMD,2022-09-13,29.81723115892906,27.270000457763672,75,True,-2.3107864565814817,0
AMD,2022-09-14,30.14551567724081,26.15999984741211,65,True,-3.8347239616979722,0
AMD,2022-09-15,20.53416741072651,26.270000457763672,85,True,-9.339946934607756,0
AMD,2022-09-16,24.68069506793772,26.299999237060547,85,True,-11.17501347932789,0
AMD,2022-09-19,27.92009999287079,25.760000228881836,75,True,-13.63813214684334,0
AMD,2022-09-20,27.951694469418513,27.15999984741211,75,True,-10.737543961534469,0
AMD,2022-09-21,29.393079730123162,27.989999771118164,85,True,-8.21697431625089,0
AMD,2022-09-22,26.799255436741092,27.350000381469727,85,True,-7.71223109403103,0
AMD,2022-09-23,27.343155272676498,29.920000076293945,85,True,-6.768685309138112,0
AMD,2022-09-26,27.20262558964015,32.2599983215332,100,True,-0.2865798381003426,0
AMD,2022-09-27,27.149125954095766,32.599998474121094,100,True,1.0867997273090513,1
AMD,2022-09-28,21.43420668425098,30.18000030517578,100,True,-0.6143916986473985,0
AMD,2022-09-29,10.227668837870539,31.84000015258789,100,True,5.784220641996773,1
AMD,2022-09-30,10.239134376664296,31.6200008392334,100,True,-7.76515457109822,0
AMD,2022-10-03,25.06847301177436,30.100000381469727,100,True,-12.554831584377457,0
AMD,2022-10-04,29.480010609686488,29.06999969482422,85,True,-15.125184428529714,0
AMD,2022-10-05,30.639419461063653,28.549999237060547,75,True,-14.851344722848836,0
AMD,2022-10-06,30.721266792487185,30.520000457763672,90,True,-13.131908692393711,0
AMD,2022-10-07,21.006010954614524,31.360000610351562,100,True,-4.277891955420787,0
AMD,2022-10-10,21.614583171645364,32.45000076293945,100,True,0.25946671444110336,1
AMD,2022-10-11,22.03783323683699,33.630001068115234,100,True,0.5032050936235821,1
AMD,2022-10-12,27.03980337389514,33.56999969482422,100,True,-1.0717354334280893,0
