ticker,date,rsi,macro_regime,vix,yield_curve,fwd_5d,fwd_10d,win_5d,win_10d
NVDA,2020-03-11,33.62213106443647,CRISIS,53.900001525878906,0.4519999921321869,-17.710080779294668,-0.3448707688210706,0,0
NVDA,2020-03-12,31.073084151316337,CRISIS,75.47000122070312,0.5759999752044678,-1.5441001062653115,18.921891673110004,0,1
NVDA,2020-09-23,32.5714480311333,RISK_OFF,28.579999923706055,0.5879999995231628,11.603273565313854,15.178899664230494,1,1
NVDA,2020-10-28,32.426919066441954,CRISIS,40.279998779296875,0.6910000145435333,9.24407654049948,6.264366723212422,1,1
NVDA,2020-10-30,27.710466216194078,CRISIS,38.02000045776367,0.7770000174641609,16.179978438612054,6.087440014501455,1,1
NVDA,2020-11-02,28.17413024157125,CRISIS,37.130001068115234,0.7659999802708626,8.34605987257544,7.427977318219847,1,1
NVDA,2020-11-27,33.14326618294052,RISK_OFF,20.84000015258789,0.7690000087022781,2.269848314165812,-1.8411038370444888,1,0
NVDA,2020-12-24,34.65177958521414,RISK_OFF,21.530000686645508,0.8529999703168869,0.9216203879051976,4.831187390159308,1,1
NVDA,2020-12-28,31.245796816924695,RISK_OFF,21.700000762939453,0.8530000299215317,3.9127942518988768,4.532943060924044,1,1
NVDA,2021-01-06,33.45895321571207,RISK_OFF,25.06999969482422,0.9640000537037849,7.271401491732443,9.933043304152257,1,1
NVDA,2021-03-03,32.653136212081165,RISK_OFF,26.670000076293945,1.4350000284612179,-2.594326534694147,4.225817700531209,0,1
NVDA,2021-03-04,24.262804364930986,RISK_OFF,28.56999969482422,1.5219999514520168,5.074554077953586,2.883058162911567,1,1
NVDA,2021-03-05,26.844436821887484,NEUTRAL,24.65999984741211,1.5260000191628933,3.2013743473327416,3.1190961601849754,1,1
NVDA,2021-03-08,18.314358082302235,RISK_OFF,25.469999313354492,1.5609999559819698,13.82316940478525,13.780001079001902,1,1
NVDA,2021-03-09,31.40691559462182,NEUTRAL,24.030000686645508,1.5110000036656857,6.158006276354144,4.396861120431073,1,1
NVDA,2021-03-10,31.529888617999035,NEUTRAL,22.559999465942383,1.489999981597066,7.001793625147057,1.4015763535919712,1,1
NVDA,2021-05-05,26.833687607918293,NEUTRAL,19.149999618530273,1.5759999910369515,-4.841439239754719,-2.716401054250528,0,0
NVDA,2021-05-06,29.937848554543393,NEUTRAL,18.389999389648438,1.552999989129603,-5.906141016899347,0.6162990433415727,0,1
NVDA,2021-05-11,34.536176877010035,NEUTRAL,21.84000015258789,1.613999953493476,-2.030581345478155,9.377026073946993,0,1
NVDA,2021-05-12,34.16038449001671,RISK_OFF,27.59000015258789,1.6850000526756048,2.2331550293811953,14.111254244999927,1,1
NVDA,2021-05-13,24.395918643350058,NEUTRAL,23.1299991607666,1.6599999824538827,6.931844575970003,13.338573367474016,1,1
NVDA,2021-05-14,32.30414290767095,NEUTRAL,18.809999465942383,1.6299999905750155,5.256983327970244,14.052519088642423,1,1
