ticker,date,rsi,fwd_5d,win
NVDA,2020-03-11,33.62213106443647,-17.710080779294668,0
NVDA,2020-03-12,31.073084151316337,-1.5441001062653115,0
NVDA,2020-09-23,32.5714480311333,11.603273565313854,1
NVDA,2020-10-28,32.426919066441954,9.24407654049948,1
NVDA,2020-10-30,27.710466216194078,16.179978438612054,1
NVDA,2020-11-02,28.17413024157125,8.34605987257544,1
NVDA,2020-11-27,33.14326618294052,2.269848314165812,1
NVDA,2020-12-24,34.65177958521414,0.9216203879051976,1
NVDA,2020-12-28,31.245796816924695,3.9127942518988768,1
NVDA,2021-01-06,33.45895321571207,7.271401491732443,1
NVDA,2021-03-03,32.653136212081165,-2.594326534694147,0
NVDA,2021-03-04,24.262804364930986,5.074554077953586,1
NVDA,2021-03-05,26.844436821887484,3.2013743473327416,1
NVDA,2021-03-08,18.314358082302235,13.82316940478525,1
NVDA,2021-03-09,31.40691559462182,6.158006276354144,1
NVDA,2021-03-10,31.529888617999035,7.001793625147057,1
NVDA,2021-05-05,26.833687607918293,-4.841439239754719,0
NVDA,2021-05-06,29.937848554543393,-5.906141016899347,0
NVDA,2021-05-11,34.536176877010035,-2.030581345478155,0
NVDA,2021-05-12,34.16038449001671,2.2331550293811953,1
NVDA,2021-05-13,24.395918643350058,6.931844575970003,1
NVDA,2021-05-14,32.30414290767095,5.256983327970244,1
NVDA,2021-05-17,32.47865460888842,10.211444766273159,1
NVDA,2021-05-18,32.06523630920783,11.644049312625615,1
NVDA,2021-05-19,32.10382610198772,11.61863703825341,1
NVDA,2021-09-20,27.916707414185723,2.5908293456593734,1
NVDA,2021-09-21,33.2055010709052,-2.574610743472072,0
NVDA,2021-09-28,34.695748487080664,-1.1981148539279562,0
NVDA,2021-09-29,34.56672230871993,0.891948042172741,1
NVDA,2021-09-30,33.30167182886848,1.732974143041166,1
NVDA,2021-10-04,28.714283815600226,4.880392600337946,1
NVDA,2021-12-17,32.941544785001796,11.308940500779796,1
NVDA,2021-12-20,34.23714027391054,9.390690883007725,1
NVDA,2022-01-13,34.277284088297876,-12.04515369463116,0
NVDA,2022-01-14,27.278933775315735,-13.250678905707202,0
NVDA,2022-01-18,26.04880868161041,-13.816940005205701,0
NVDA,2022-01-19,24.67148847852758,-9.155473171710526,0
NVDA,2022-01-20,23.462244268698754,-9.134573535840095,0
NVDA,2022-01-21,22.16180099970549,-2.2846018911758303,0
NVDA,2022-01-24,16.704529212802214,4.7664069739517645,1
NVDA,2022-01-25,16.35436881016308,10.365527733586632,1
NVDA,2022-01-26,23.49138039490657,10.846657222224598,1
NVDA,2022-01-27,16.72713816346439,9.132320676619399,1
NVDA,2022-01-28,26.390202210858376,6.475492581109532,1
NVDA,2022-02-01,34.94931684778261,1.9076306233276608,1
NVDA,2022-03-08,27.007128507709922,6.781627692958625,1
NVDA,2022-04-08,34.773850565786034,-5.778791288105156,0
NVDA,2022-04-11,32.092074927076325,1.2821173374579775,1
NVDA,2022-04-12,33.328000937925665,-0.10230656249416992,0
NVDA,2022-04-13,21.865848891987127,-9.097867169697016,0
NVDA,2022-04-14,20.902696035522453,-8.199252161287319,0
NVDA,2022-04-18,20.888394913629725,-8.635175802171634,0
NVDA,2022-04-19,20.73061701667028,-15.36173966051403,0
NVDA,2022-04-20,21.211301196351457,-14.277068826394911,0
NVDA,2022-04-21,19.585532872865215,-1.9868132733683042,0
NVDA,2022-04-22,19.429128710547317,-4.960277829996551,0
NVDA,2022-04-25,17.602066564053388,-1.8540740425697755,0
NVDA,2022-04-26,18.097338222631464,4.3325637443234255,1
NVDA,2022-04-27,20.171238075598595,10.420845550927904,1
NVDA,2022-04-28,30.262209163712896,-4.74169380648145,0
NVDA,2022-04-29,29.87321759557551,0.6901123693895839,1
NVDA,2022-05-09,28.71856126706882,1.852505666771731,1
NVDA,2022-05-10,34.14632283593798,3.3077626183664943,1
NVDA,2022-05-24,31.235415080191643,13.408414420157989,1
NVDA,2022-06-17,32.1531387268048,6.22796011437825,1
NVDA,2022-06-23,27.475130591266492,-6.570114470490385,0
NVDA,2022-06-28,32.56639800595002,-5.330997894076539,0
NVDA,2022-06-29,31.93764569541426,2.033202492430086,1
NVDA,2022-06-30,32.764573305184996,4.47920090168743,1
NVDA,2022-07-01,34.571306430268265,4.331064251881522,1
