factor_1,factor_2,factor_3,train_mean,train_n,train_t,train_sharpe,test_mean,test_n,test_t,test_sharpe,degradation
rsi_oversold,below_bb_lower,oversold_zscore,0.02313591510416256,29254,21.512257836391488,0.6313840933330734,0.02378571290469792,70838,12.03481868992122,0.22698997481572264,0.44055994580158087
rsi_oversold,below_bb_lower,above_ema200,0.01846055563653927,2133,9.564154426335403,1.0395644570266644,0.007442024487656421,11995,7.35558837928001,0.3371456512852867,0.230921203130513
rsi_oversold,below_bb_lower,after_2down,0.02342737023423687,21626,19.21173075007938,0.6558109480872228,0.02564608710813691,52336,10.089038588216738,0.2213858147536331,0.47485009448328586
rsi_oversold,below_bb_lower,low_volatility,0.01779635433587071,6667,45.82478967496747,2.8173157499457133,0.015632131278740764,19209,12.413102663064393,0.4496020050748389,0.7291181748763105
rsi_oversold,below_bb_lower,volume_spike,0.020791868505613986,6530,7.923991430717129,0.49225221266286046,0.026394147002478524,16584,10.418306028554799,0.40611846512224115,-0.31478007259933793
rsi_oversold,below_bb_lower,after_2up,0.015532009809244181,52,1.294552152537138,0.9011937056577446,0.0016563247952970643,117,0.13086622160889763,0.06073442205013403,0.89891004286508
rsi_oversold,oversold_zscore,above_ema200,0.01846055563653927,2133,9.564154426335403,1.0395644570266644,0.007442024487656421,11995,7.35558837928001,0.3371456512852867,0.230921203130513
rsi_oversold,oversold_zscore,after_2down,0.02342737023423687,21626,19.21173075007938,0.6558109480872228,0.02564608710813691,52336,10.089038588216738,0.2213858147536331,0.47485009448328586
rsi_oversold,oversold_zscore,low_volatility,0.01779635433587071,6667,45.82478967496747,2.8173157499457133,0.015632131278740764,19209,12.413102663064393,0.4496020050748389,0.7291181748763105
rsi_oversold,oversold_zscore,volume_spike,0.020791868505613986,6530,7.923991430717129,0.49225221266286046,0.026394147002478524,16584,10.418306028554799,0.40611846512224115,-0.31478007259933793
rsi_oversold,oversold_zscore,after_2up,0.015532009809244181,52,1.294552152537138,0.9011937056577446,0.0016563247952970643,117,0.13086622160889763,0.06073442205013403,0.89891004286508
rsi_oversold,above_ema200,after_2down,0.01256900911739133,4634,7.977322531338217,0.5882736651323072,0.007024571269105877,21931,8.53663615157357,0.2893728784093485,-0.07011295055930566
rsi_oversold,above_ema200,low_volatility,0.008840759179428913,2731,12.12237939490475,1.16446728646863,-0.0005568513461062315,18442,-2.9111299176035956,-0.10761129284877503,1.240145092210791
rsi_oversold,above_ema200,volume_spike,0.024910175109195815,721,6.161907653361158,1.1519876505489588,0.005247040736805522,3858,2.3909730323442098,0.1932385795782809,0.6119751922864347
rsi_oversold,above_ema200,after_2up,0.01058099742453593,1483,3.672068337805533,0.4786746735490991,-0.0003938872090525464,5545,-0.21715735525663285,-0.01463942566969917,1.0591376127238439
rsi_oversold,after_2down,low_volatility,0.016811575879203806,8858,55.51664382137853,2.9611174662834348,0.010858633929110979,24807,51.78859976102932,1.6506208094064216,0.06715182697902222
rsi_oversold,after_2down,volume_spike,0.022259275256403567,6804,8.275733861507295,0.5036451239840977,0.02961370664502224,16718,7.554523067786298,0.29330209265513507,0.08714765430961302
rsi_oversold,low_volatility,volume_spike,0.01950038749205595,2209,25.128127400451298,2.6838765622484955,0.012352588074463029,8169,29.995070142382435,1.66596435200409,-0.19368505517222623
rsi_oversold,low_volatility,after_2up,0.012362323822161568,1692,19.237079010170152,2.3476817274524806,-0.0021481656082762146,5187,-6.637940975175894,-0.4626744663512049,1.3450597136741282
rsi_oversold,volume_spike,after_2up,0.010923487286863601,707,1.1948730982928708,0.22558610561468578,0.0068304026836118505,1632,0.8773140210411816,0.10901726024237275,0.26576803654328607
below_bb_lower,oversold_zscore,above_ema200,0.007622571402746625,7846,8.60235812497907,0.48752134744424885,0.007510415667236679,30191,11.040533362987324,0.31897127602950714,-0.28343103165263606
below_bb_lower,oversold_zscore,after_2down,0.017147396967306206,42700,22.057043665268495,0.535838156215717,0.01969154500442009,94305,10.922269654391844,0.1785442239985592,0.5048171540962088
below_bb_lower,oversold_zscore,low_volatility,0.012533374439086345,14524,52.08495413253958,2.169548865379606,0.010238392862472339,35415,14.803648292075911,0.3948893360543443,0.715778797569729
below_bb_lower,oversold_zscore,volume_spike,0.015702604188977058,11526,8.4780001860512,0.3964189296073049,0.018740686515429348,26726,10.472882631026492,0.3215877704852093,-0.23530106171234322
below_bb_lower,oversold_zscore,after_2up,0.009152211901005245,66,0.8267146513316463,0.5108388717546235,-0.004011530389670862,137,-0.3277518498949403,-0.14056757038865447,1.3964509995885614
below_bb_lower,above_ema200,after_2down,0.007575736229116078,5575,7.120703372350956,0.4787411175358666,0.008102379108760834,21491,9.263861496737649,0.31722252060019906,-0.30097562169326997
below_bb_lower,above_ema200,low_volatility,0.004674421254357061,3126,10.491399778783189,0.9419746596269893,0.005416775893402955,11187,18.7835436584244,0.8914992455245785,-0.7903753602460613
below_bb_lower,above_ema200,volume_spike,0.00888013614465596,849,2.9450361720598996,0.5073843395848194,0.008922447773996282,3879,5.16091189723006,0.4159746124646591,-0.7524103595713292
below_bb_lower,after_2down,low_volatility,0.01379878156494105,9810,48.170876105433884,2.4414639264145688,0.012236987081304834,24798,55.834370427522295,1.7798916517261676,-0.15908978498366855
below_bb_lower,after_2down,volume_spike,0.019441678278006632,7725,8.58987482064132,0.4906116551946378,0.02204732414983087,18659,9.861630447299465,0.3624138713371726,-0.14805287075920348
below_bb_lower,low_volatility,volume_spike,0.018451303546820966,2021,25.60582802378518,2.859275071821973,0.015228350555632023,6658,33.178157355631086,2.0411768660125005,-0.2957267901983873
oversold_zscore,above_ema200,after_2down,0.007575736229116078,5575,7.120703372350956,0.4787411175358666,0.008102379108760834,21491,9.263861496737649,0.31722252060019906,-0.30097562169326997
oversold_zscore,above_ema200,low_volatility,0.004674421254357061,3126,10.491399778783189,0.9419746596269893,0.005416775893402955,11187,18.7835436584244,0.8914992455245785,-0.7903753602460613
oversold_zscore,above_ema200,volume_spike,0.00888013614465596,849,2.9450361720598996,0.5073843395848194,0.008922447773996282,3879,5.16091189723006,0.4159746124646591,-0.7524103595713292
oversold_zscore,after_2down,low_volatility,0.01379878156494105,9810,48.170876105433884,2.4414639264145688,0.012236987081304834,24798,55.834370427522295,1.7798916517261676,-0.15908978498366855
oversold_zscore,after_2down,volume_spike,0.019441678278006632,7725,8.58987482064132,0.4906116551946378,0.02204732414983087,18659,9.861630447299465,0.3624138713371726,-0.14805287075920348
oversold_zscore,low_volatility,volume_spike,0.018451303546820966,2021,25.60582802378518,2.859275071821973,0.015228350555632023,6658,33.178157355631086,2.0411768660125005,-0.2957267901983873
above_ema200,after_2down,low_volatility,0.0054860348192857225,43057,41.65964882227377,1.0078455707688518,0.0033361097996817348,84424,24.18401910736097,0.41782631157560735,0.41948576641791735
above_ema200,after_2down,volume_spike,0.007203350128202154,6952,5.30619560635781,0.3194689426310342,0.008465734209341715,15488,8.57023146881885,0.34569663497156816,-0.6151367391262617
above_ema200,low_volatility,volume_spike,0.0035072039205994,25708,16.220156157755397,0.5078332771468308,0.002209187030830244,48858,10.433630967625447,0.23695610348390378,0.3567490432182565
above_ema200,low_volatility,after_2up,0.004497513384635731,105738,56.52404144304559,0.872605469316106,0.0005591606837513878,153413,2.941908243587734,0.03770494505586323,0.9479529741950239
above_ema200,volume_spike,after_2up,0.0011913469756278233,22852,1.1125768568463312,0.03694606453215331,0.003757414438877984,37827,3.1075574583976353,0.08020814790475857,-1.7931171130111418
after_2down,low_volatility,volume_spike,0.010151144762017164,6415,29.149791139738557,1.8269951202562087,0.00911187962288413,15440,22.76307213700108,0.9196180715764537,0.21909999190459928
low_volatility,volume_spike,after_2up,0.005266686480240679,9970,13.499298501734803,0.6786781885023075,0.0015274508237127025,16842,3.2539749280211967,0.12586866942741257,0.7589522946245668
