factor_1,factor_2,correlation,train_mean,train_n,train_t,train_sharpe,test_mean,test_n,test_t,test_sharpe,degradation
low_volatility,after_2down,0.06411603271879192,0.007837737585057626,74014,78.0920345777257,1.4409538456575037,0.004167343989319871,142654,42.35574656465732,0.5629510513834939,0.4576175816945802
low_volatility,volume_spike,0.03331222352271327,0.005918817593318525,35378,23.146061487196572,0.6177471267193274,0.003683918188474219,71724,22.928095094206185,0.42976989842850993,0.009416997060642807
low_volatility,low_volume,0.15868650831493636,0.005104075274002459,132966,39.05951037311157,0.5377207098240399,0.0024350484031498746,267092,35.934758567367396,0.3490475240118686,0.0799997689652363
oversold_zscore,volume_spike,0.09900481997109473,0.015702604188977058,11526,8.4780001860512,0.3964189296073049,0.018740686515429348,26726,10.472882631026492,0.3215877704852093,-0.23530106171234322
volume_spike,below_bb_lower,0.09900481997109473,0.015702604188977058,11526,8.4780001860512,0.3964189296073049,0.018740686515429348,26726,10.472882631026492,0.3215877704852093,-0.23530106171234322
above_ema200,below_bb_lower,0.16658870020116964,0.007622571402746625,7846,8.60235812497907,0.48752134744424885,0.007510415667236679,30191,11.040533362987324,0.31897127602950714,-0.28343103165263606
above_ema200,oversold_zscore,0.16658870020116964,0.007622571402746625,7846,8.60235812497907,0.48752134744424885,0.007510415667236679,30191,11.040533362987324,0.31897127602950714,-0.28343103165263606
rsi_oversold,volume_spike,0.02775504736654171,0.024317786825727196,13281,5.557835010963508,0.2420976268290951,0.023585187126079137,31026,9.499401378716723,0.270728274105327,-0.7091909637436149
above_ema200,after_2down,0.17176280270813246,0.004255076695074963,127381,14.262711758916634,0.20060883177624056,0.006548433832088604,255939,25.596890398068137,0.25399153625022364,-0.794672067327288
low_volume,bb_squeeze,0.10526914995723563,0.0020702468487520695,47548,13.60851521612592,0.31328881253138735,0.0010793402444038266,98077,15.1562571838146,0.2429453829727356,-0.11373334585793926
low_volume,below_bb_lower,0.043020755236308314,0.01386972831390061,6783,5.636570504132953,0.3435613539001839,0.024124178613185516,13428,5.475564038248792,0.23720479650487244,0.028564614913643815
oversold_zscore,low_volume,0.04302075523630832,0.01386972831390061,6783,5.636570504132953,0.3435613539001839,0.024124178613185516,13428,5.475564038248792,0.23720479650487244,0.028564614913643815
volume_spike,after_2down,0.002452703481104212,0.011817431877451646,21866,10.251096757173846,0.34800535855544307,0.016275616801324447,45302,9.774661151158721,0.23053841001536546,0.046476549514734566
rsi_oversold,oversold_zscore,0.2647155994700316,0.02313591510416256,29254,21.512257836391488,0.6313840933330734,0.02378571290469792,70838,12.03481868992122,0.22698997481572264,0.44055994580158087
rsi_oversold,below_bb_lower,0.2647155994700316,0.02313591510416256,29254,21.512257836391488,0.6313840933330734,0.02378571290469792,70838,12.03481868992122,0.22698997481572264,0.44055994580158087
momentum_positive,after_2down,0.12812931848622022,0.004080220088401831,119029,11.964620426970745,0.17408959030973767,0.009667496519326073,221220,20.287416712478883,0.21652837982278392,-0.6956172438823736
rsi_oversold,above_ema200,0.29798947762022066,0.014762422238252478,13473,15.077792985131417,0.6520875248344469,0.004860304939817321,58172,9.715147403007265,0.2022053615948178,0.3556651551995964
low_volatility,momentum_positive,0.20537379794737765,0.002678942155018106,285397,51.50752786735967,0.4840010176062587,0.001639212349533282,480350,27.54893355627413,0.19953825249521223,0.46514743190127184
rsi_oversold,after_2down,0.1507883261948638,0.020960728117414704,60196,18.299124986237057,0.37440942879437866,0.021878594737062294,125173,13.995054450157712,0.19857269607639566,0.23520635764368392
rsi_oversold,momentum_positive,0.2900423048779558,0.01462322598901261,5004,6.088863803871512,0.43209364572095865,0.015554082516938267,10259,3.6796590607490747,0.18237081394129073,0.39567394192502403
rsi_oversold,low_volume,0.0017374951937103936,0.020500526992173067,30312,12.051804967348813,0.34749220685345306,0.017236319981709193,63263,9.100148123979316,0.18162425271770521,0.24491408974558027
oversold_zscore,below_bb_lower,1.0,0.01689501639674269,60278,25.793264094812006,0.527384252978326,0.017460932241859763,132109,12.947496096418982,0.17882155065498626,0.4980280103818574
momentum_positive,above_ema200,0.5271078500902208,0.0013699143134574315,627376,9.373367817727932,0.05940622821927785,0.004414215187708057,1033802,31.558468656543422,0.15581078216505434,-2.3668228186732008
above_ema200,volume_spike,0.005464120667694995,0.0028101666560463837,59207,4.532438877716065,0.09350733906597862,0.004939498028081979,109051,8.519551223680018,0.12950965982115098,-0.8796836435162461
volume_spike,bb_squeeze,0.026399511086382242,0.0030534079990789924,12531,5.085523599011634,0.2280568279246508,0.0009039263396904319,24570,4.015393222657103,0.12859550070910822,0.2104267840901397
low_volume,after_2down,0.023606439090423734,0.0036956411584414322,60292,4.20684497638606,0.08600564032142427,0.012462298197577689,120089,8.553131019427912,0.12390070596634468,-1.0331462336830821
momentum_positive,volume_spike,0.035436408162170564,0.0005142414363696125,58075,0.7464065756274532,0.015548235783072012,0.005588302278895833,107828,7.570978223691474,0.11574080334696152,-9.143236234658128
momentum_positive,after_2up,0.14378141171481243,0.0007149340088971873,235378,3.071828302518958,0.031784418744130884,0.003852352061389013,402364,12.545003519492326,0.09927993849007938,-3.0838882528705085
low_volume,after_2up,0.035296619631315515,0.004705969345265871,67484,9.348130656464622,0.18064445526933398,0.005607084583172373,128478,6.701905266259257,0.09386078267625375,0.283075353506681
above_ema200,after_2up,0.18880962861815903,0.0015576104454515542,276320,7.597915600007728,0.07255854665677175,0.0030993902212534887,397601,11.783457449771987,0.09381002987996105,-0.5508802769222656
volume_spike,after_2up,0.02619069726582434,0.0014164029591325173,30314,1.183885276920541,0.034134085096950165,0.0038369863671286948,54661,3.299625256308555,0.07084775666375684,-1.787115711829244
above_ema200,low_volume,0.00562861120723218,0.0029492245194340785,175135,8.4908226844482,0.10185059455756522,0.0018325919286902351,332045,6.675762907943805,0.05815709461152693,0.21376724540825243
