date,open,high,low,close,volume,dividends,stock_splits,returns,log_returns,realized_vol_5d,realized_vol_20d
2010-01-04 00:00:00-05:00,1043.0,1065.5,1041.25,1049.5,25947,0.0,0.0,,,,
2010-01-05 00:00:00-05:00,1047.0,1056.0,1042.0,1052.25,21073,0.0,0.0,0.002620295378751747,0.0026168683899922937,,
2010-01-06 00:00:00-05:00,1050.0,1058.5,1042.75,1050.5,17567,0.0,0.0,-0.0016631028747920995,-0.001664487365624892,,
2010-01-07 00:00:00-05:00,1050.5,1052.0,1016.5,1017.75,11750,0.0,0.0,-0.031175630652070407,-0.031671932901966855,,
2010-01-08 00:00:00-05:00,1018.25,1018.25,1005.0,1013.0,11750,0.0,0.0,-0.004667157946450451,-0.00467808313440478,,
2010-01-11 00:00:00-05:00,1014.0,1022.0,997.5,1001.75,11750,0.0,0.0,-0.011105626850937855,-0.01116775473242949,0.2105438855434264,
2010-01-12 00:00:00-05:00,999.5,1001.25,962.0,969.5,11750,0.0,0.0,-0.03219366109308708,-0.03272327483354742,0.23145494916026674,
2010-01-13 00:00:00-05:00,965.5,983.75,964.0,983.5,1939,0.0,0.0,0.014440433212996373,0.01433716314640725,0.30993270750273505,
2010-01-14 00:00:00-05:00,983.75,984.25,967.5,968.5,80001,0.0,0.0,-0.015251652262328386,-0.01536915498206316,0.2687948453810345,
2010-01-15 00:00:00-05:00,983.5,988.75,971.75,974.0,76864,0.0,0.0,0.005678884873515644,0.005662820795484431,0.29030798826394594,
2010-01-19 00:00:00-05:00,974.0,984.0,962.75,963.5,77967,0.0,0.0,-0.010780287474332684,-0.010838815788114055,0.29007567292849634,
2010-01-20 00:00:00-05:00,963.75,971.0,940.75,950.0,91082,0.0,0.0,-0.014011416709911795,-0.014110503259834577,0.21097717801116178,
2010-01-21 00:00:00-05:00,950.0,959.5,948.5,954.0,63882,0.0,0.0,0.004210526315789442,0.004201686853699977,0.16135745704967125,
2010-01-22 00:00:00-05:00,956.0,957.0,945.5,951.5,54161,0.0,0.0,-0.00262054507337528,-0.002623984712082363,0.1392914450837152,
2010-01-25 00:00:00-05:00,955.0,956.0,935.25,940.5,72563,0.0,0.0,-0.011560693641618491,-0.011628037995119099,0.12013728041350268,
2010-01-26 00:00:00-05:00,941.0,949.5,932.5,947.5,81769,0.0,0.0,0.0074428495481126955,0.0074152882154963256,0.14960232559734032,
2010-01-27 00:00:00-05:00,945.75,946.5,928.5,929.0,73154,0.0,0.0,-0.019525065963060695,-0.019718198142742904,0.17705651086445492,
2010-01-28 00:00:00-05:00,931.25,937.5,921.0,931.75,82360,0.0,0.0,0.00296017222820244,0.00295579954552935,0.1734058617153463,
2010-01-29 00:00:00-05:00,931.5,936.75,913.75,914.0,85062,0.0,0.0,-0.01905017440300505,-0.019233966905217736,0.1986225042724824,
2010-02-01 00:00:00-05:00,915.25,924.75,908.25,909.75,84217,0.0,0.0,-0.004649890590809669,-0.004660734961880846,0.19675094682956423,
2010-02-02 00:00:00-05:00,911.25,930.0,905.25,925.5,91665,0.0,0.0,0.01731244847485569,0.017164295521282954,0.24706145550939626,0.2146287389099277
2010-02-03 00:00:00-05:00,926.5,934.0,908.0,908.0,81861,0.0,0.0,-0.018908698001080526,-0.019089753412258933,0.24474202072489035,0.21651825517882675
2010-02-04 00:00:00-05:00,911.25,916.0,900.0,914.0,92907,0.0,0.0,0.0066079295154184425,0.006586192852856655,0.2529487073509828,0.22128981785715318
2010-02-05 00:00:00-05:00,914.0,921.5,909.0,913.5,104735,0.0,0.0,-0.000547045951859948,-0.0005471956360885947,0.21339825580554617,0.20253266361039785
2010-02-08 00:00:00-05:00,919.75,939.75,918.75,929.5,95026,0.0,0.0,0.01751505199781067,0.017363431343437354,0.23961824931769246,0.21816993573532187
2010-02-09 00:00:00-05:00,929.5,944.0,920.0,924.5,120623,0.0,0.0,-0.005379236148466915,-0.0053937563343191665,0.21549530287966215,0.21670857452285253
2010-02-10 00:00:00-05:00,924.0,939.75,918.75,937.5,116039,0.0,0.0,0.014061654948620772,0.01396370701738624,0.1525289667260252,0.19805092275939382
2010-02-11 00:00:00-05:00,938.0,950.5,936.0,943.0,108012,0.0,0.0,0.005866666666666687,0.005849524788891634,0.1525718997381439,0.19105413355421447
2010-02-12 00:00:00-05:00,942.0,946.5,926.0,945.0,80635,0.0,0.0,0.0021208907741250282,0.002118644860285155,0.14606188349796972,0.18496528611916474
2010-02-16 00:00:00-05:00,948.0,966.0,945.25,965.5,82989,0.0,0.0,0.021693121693121764,0.021461174374826447,0.166838802413794,0.2008726918101888
2010-02-17 00:00:00-05:00,963.5,964.0,948.0,951.5,71599,0.0,0.0,-0.014500258933195287,-0.014606415132365002,0.21685927813240088,0.2038436598790629
2010-02-18 00:00:00-05:00,952.0,957.75,942.0,948.0,60035,0.0,0.0,-0.0036784025223332018,-0.003685184481182421,0.21102296190347342,0.19800832973963822
2010-02-19 00:00:00-05:00,939.5,948.5,931.75,945.0,50516,0.0,0.0,-0.0031645569620253333,-0.0031695747612790672,0.21114756205195453,0.19764302428096048
