date,open,high,low,close,volume,dividends,stock_splits,returns,log_returns,realized_vol_5d,realized_vol_20d
2010-01-04 00:00:00-05:00,415.75,426.25,413.25,418.5,140553,0.0,0.0,,,,
2010-01-05 00:00:00-05:00,417.25,420.0,415.25,418.75,80967,0.0,0.0,0.0005973715651135247,0.0005971932097462035,,
2010-01-06 00:00:00-05:00,418.0,422.0,416.0,421.75,96453,0.0,0.0,0.0071641791044776415,0.007138638286801521,,
2010-01-07 00:00:00-05:00,421.0,424.0,414.5,417.5,137395,0.0,0.0,-0.010077059869590954,-0.010128177135167473,,
2010-01-08 00:00:00-05:00,417.5,423.75,415.0,423.0,137395,0.0,0.0,0.013173652694610682,0.013087634755367703,,
2010-01-11 00:00:00-05:00,421.75,425.0,418.0,422.5,137395,0.0,0.0,-0.0011820330969266601,-0.0011827322490493785,0.1396249276104833,
2010-01-12 00:00:00-05:00,419.0,419.0,392.5,392.5,137395,0.0,0.0,-0.07100591715976334,-0.07365290957476545,0.5384863853266406,
2010-01-13 00:00:00-05:00,384.5,385.25,368.0,384.0,301566,0.0,0.0,-0.021656050955414008,-0.021893984634736262,0.5107236421784594,
2010-01-14 00:00:00-05:00,382.25,382.75,376.5,381.0,150818,0.0,0.0,-0.0078125,-0.007843177461025893,0.5132255277504895,
2010-01-15 00:00:00-05:00,379.0,379.75,369.5,371.5,164273,0.0,0.0,-0.02493438320209973,-0.025250510968887103,0.4340110653380501,
2010-01-19 00:00:00-05:00,371.5,375.25,367.75,369.25,125418,0.0,0.0,-0.00605652759084796,-0.00607494274632472,0.4180180079188645,
2010-01-20 00:00:00-05:00,369.25,370.5,362.25,368.0,117028,0.0,0.0,-0.003385240352065,-0.0033909832425582567,0.15567044298671875,
2010-01-21 00:00:00-05:00,369.0,372.0,364.0,372.0,117638,0.0,0.0,0.010869565217391353,0.010810916104215676,0.20280738758203712,
2010-01-22 00:00:00-05:00,372.5,372.75,363.5,364.75,116246,0.0,0.0,-0.019489247311827995,-0.01968166687025157,0.22423475919763136,
2010-01-25 00:00:00-05:00,366.75,369.25,365.25,367.75,83425,0.0,0.0,0.008224811514736086,0.008191172078651837,0.1935152678453967,
2010-01-26 00:00:00-05:00,367.75,369.0,360.25,362.25,106613,0.0,0.0,-0.014955812372535737,-0.015068778280755188,0.21453428985229664,
2010-01-27 00:00:00-05:00,362.25,363.5,358.25,358.25,86413,0.0,0.0,-0.011042097998619771,-0.011103514492510562,0.22052345702649323,
2010-01-28 00:00:00-05:00,359.0,363.0,357.75,361.75,104224,0.0,0.0,0.00976971388695036,0.009722298803311918,0.21553128654781387,
2010-01-29 00:00:00-05:00,361.75,363.5,355.25,356.5,131890,0.0,0.0,-0.014512785072563927,-0.014619125657242616,0.19730493993739476,
2010-02-01 00:00:00-05:00,356.25,360.75,355.5,359.0,112634,0.0,0.0,0.007012622720897532,0.006988148633928163,0.19250784167141066,
2010-02-02 00:00:00-05:00,359.0,367.25,358.75,365.0,146992,0.0,0.0,0.01671309192200554,0.0165749650942126,0.21648342244089333,0.30981018876921895
2010-02-03 00:00:00-05:00,365.0,368.25,352.75,353.0,171750,0.0,0.0,-0.0328767123287671,-0.03342929664919471,0.3250246602704371,0.32200001975899345
2010-02-04 00:00:00-05:00,355.75,359.0,349.0,354.0,163425,0.0,0.0,0.0028328611898016387,0.002828856200477623,0.31160602648083485,0.31959867858340535
2010-02-05 00:00:00-05:00,354.25,355.5,347.5,351.5,164659,0.0,0.0,-0.007062146892655385,-0.0070872018830548745,0.3003047367223503,0.3195829792774116
2010-02-08 00:00:00-05:00,354.0,362.0,353.5,356.0,148576,0.0,0.0,0.012802275960170695,0.01272101960131086,0.31454761645166884,0.3192535021616447
2010-02-09 00:00:00-05:00,355.75,363.5,354.75,358.5,196600,0.0,0.0,0.0070224719101124045,0.006997929187644637,0.2853288008182924,0.3230156029367304
2010-02-10 00:00:00-05:00,358.75,365.5,355.25,361.75,169470,0.0,0.0,0.009065550906555142,0.009024705471918245,0.12080894286993635,0.226384519730835
2010-02-11 00:00:00-05:00,361.75,365.0,359.5,363.25,134275,0.0,0.0,0.004146510020732519,0.004137936938799012,0.11972590419666856,0.218027364104365
2010-02-12 00:00:00-05:00,363.5,364.25,357.5,361.5,101557,0.0,0.0,-0.004817618719889838,-0.004829260851572862,0.10545980896237593,0.21735103592936725
2010-02-16 00:00:00-05:00,362.25,368.75,362.0,367.25,126169,0.0,0.0,0.015905947441217094,0.015780773455167253,0.12002774950842279,0.20973731194242848
2010-02-17 00:00:00-05:00,367.0,368.0,359.5,360.0,86665,0.0,0.0,-0.019741320626276426,-0.01993878360383105,0.21898034778398476,0.21993062869394295
2010-02-18 00:00:00-05:00,360.5,361.5,355.5,357.25,98889,0.0,0.0,-0.007638888888888862,-0.0076682146401788704,0.21178826350009464,0.22101300918982023
2010-02-19 00:00:00-05:00,355.0,360.5,353.25,360.0,97358,0.0,0.0,0.007697690692792136,0.007668214640178872,0.2200729291272336,0.21895693687993392
2010-02-22 00:00:00-05:00,360.0,376.75,360.0,371.5,192526,0.0,0.0,0.03194444444444455,0.03144483270765828,0.31967409060828056,0.2383175641688955
2010-02-23 00:00:00-05:00,370.0,373.0,367.25,367.75,113231,0.0,0.0,-0.010094212651413192,-0.010145504676266959,0.3203277121652112,0.23984323169490224
2010-02-24 00:00:00-05:00,367.75,376.0,367.5,375.25,73542,0.0,0.0,0.020394289598912207,0.02018911103202434,0.2859571894620089,0.2431956209389499
2010-02-25 00:00:00-05:00,374.75,375.0,369.25,372.25,77961,0.0,0.0,-0.00799467021985345,-0.008026798949452988,0.28722745664068616,0.24128169513960784
2010-02-26 00:00:00-05:00,372.0,380.0,372.0,378.0,47785,0.0,0.0,0.015446608462055034,0.015328524055469287,0.2912910071405504,0.2445171811344169
2010-03-01 00:00:00-05:00,378.0,381.0,369.25,370.75,32859,0.0,0.0,-0.019179894179894186,-0.01936621460154622,0.27355250421450905,0.24929113472990144
2010-03-02 00:00:00-05:00,371.0,373.5,365.25,370.5,28409,0.0,0.0,-0.0006743088334457692,-0.0006745362818999494,0.2601177568149257,0.24876612280005925
2010-03-03 00:00:00-05:00,370.0,377.75,366.75,375.75,24319,0.0,0.0,0.014170040485830038,0.01407058389694237,0.2342499391071804,0.24688652279272624
2010-03-04 00:00:00-05:00,375.0,375.0,369.25,372.0,20347,0.0,0.0,-0.009980039920159722,-0.010030174359937357,0.23908169903971047,0.21595936372512986
2010-03-05 00:00:00-05:00,373.0,377.0,364.25,364.75,16347,0.0,0.0,-0.019489247311827995,-0.01968166687025157,0.2246946773363609,0.22988112538915673
2010-03-08 00:00:00-05:00,367.0,367.75,362.25,364.5,11798,0.0,0.0,-0.0006854009595613775,-0.0006856359541822224,0.19853328494314518,0.22780060484156095
2010-03-09 00:00:00-05:00,364.5,364.5,358.0,358.75,11569,0.0,0.0,-0.01577503429355276,-0.015900784374881922,0.21413057790587556,0.2322282626027303
2010-03-10 00:00:00-05:00,359.0,360.5,352.5,355.5,6883,0.0,0.0,-0.009059233449477344,-0.009100517830535289,0.1139392994983893,0.23323866067371316
2010-03-11 00:00:00-05:00,356.75,357.75,352.0,355.5,4818,0.0,0.0,0.0,0.0,0.13885917784379376,0.23060635905662982
2010-03-12 00:00:00-05:00,356.25,357.25,353.25,354.0,71322,0.0,0.0,-0.00421940928270037,-0.004228336109521064,0.10419049602221496,0.23015173683908297
2010-03-15 00:00:00-04:00,365.0,366.25,362.0,363.25,74189,0.0,0.0,0.026129943502824826,0.025794389316617802,0.2547090802953197,0.24911661959497336
2010-03-16 00:00:00-04:00,363.75,369.0,363.0,366.75,75425,0.0,0.0,0.009635237439779676,0.009589114572698725,0.22087197100029285,0.24488424820987173
2010-03-17 00:00:00-04:00,367.75,374.5,365.0,374.0,87013,0.0,0.0,0.019768234492160808,0.019575380391440772,0.2035364516855676,0.2426947594859712
2010-03-18 00:00:00-04:00,373.0,376.5,369.0,376.0,83044,0.0,0.0,0.005347593582887722,0.005333345975362603,0.18961361022804057,0.24020503404615212
2010-03-19 00:00:00-04:00,375.25,376.25,371.5,374.5,58909,0.0,0.0,-0.003989361702127714,-0.003997340432620401,0.18842825185962414,0.24054216069473036
2010-03-22 00:00:00-04:00,373.5,376.25,370.5,370.75,73826,0.0,0.0,-0.010013351134846471,-0.0100638219392327,0.18483767216421906,0.21635365171257734
