Date,Close,High,Low,Open,Volume
2024-12-17,221.82090759277344,225.55338719546947,220.81418716568317,223.35947922724282,37600
2024-12-18,209.8162078857422,224.25222882539532,208.97094128016374,223.9483200698347,48400
2024-12-19,206.92901611328125,215.9515313006363,205.93178785209662,212.8648813681201,67700
2024-12-20,209.89219665527344,212.4374887355439,203.88984271790832,203.88984271790832,196400
2024-12-23,209.30335998535156,209.30335998535156,206.78654444899828,207.7837726995587,30700
2024-12-24,212.26654052734375,212.26654052734375,208.54356759582006,208.54356759582006,14200
2024-12-26,214.26100158691406,215.1252525685316,211.18384377073073,211.18384377073073,36900
2024-12-27,211.71568298339844,212.6274382263758,209.6927355483242,212.47547660390325,24700
2024-12-30,209.55978393554688,211.63971346708684,208.24915472438397,209.90169035842823,46400
2024-12-31,209.49330139160156,211.96261257633392,207.98322078927941,210.50951396023402,15600
2025-01-02,208.1921844482422,212.70344235545974,206.30219960267527,212.70344235545974,51100
2025-01-03,209.0374298095703,209.0374298095703,204.98204274169663,208.2301463644359,33700
2025-01-06,206.4446258544922,211.11733691861636,205.88428369151018,209.37932844589017,22800
2025-01-07,203.680908203125,205.9127847980071,201.0026388990366,205.9127847980071,45100
2025-01-08,203.78536987304688,204.70660276335312,201.08810187697225,201.08810187697225,38300
2025-01-10,194.12652587890625,198.4953283767649,192.66393509886345,198.4953283767649,30900
2025-01-13,194.9718017578125,194.9718017578125,191.1823545834055,191.1823545834055,28300
2025-01-14,197.3081512451172,198.63777919924368,195.21872967783648,195.21872967783648,20800
2025-01-15,199.37857055664062,204.19375108482558,196.9662414551256,200.42328856823625,42900
2025-01-16,200.38531494140625,200.81269433307654,198.46683927060872,199.9484288907235,22800
2025-01-17,199.52105712890625,205.048527422391,197.35565460256888,201.59148001263668,33800
2025-01-21,200.10037231445312,201.85737954079772,199.1601261448202,200.39478887989236,37500
2025-01-22,198.57130432128906,199.44506190107083,197.13720456945015,198.84672207797314,56800
2025-01-23,199.84396362304688,200.8031942439004,196.70982382849212,196.70982382849212,19600
2025-01-24,198.34336853027344,199.8154659824322,197.29866496141045,198.2388967242013,53700
2025-01-27,199.65402221679688,201.60098897763544,196.51039020146257,196.51039020146257,24600
2025-01-28,201.5345001220703,204.45969634414223,198.09645150341427,198.09645150341427,56100
2025-01-29,198.37185668945312,202.1518259883434,195.67460308812792,200.91716315927374,54700
2025-01-30,200.59425354003906,203.12054666644406,198.37185467355496,201.11659806577055,32100
2025-01-31,191.5129852294922,199.09670159245206,187.33713232397446,199.09670159245206,67200
2025-02-03,188.6522979736328,190.5338208922693,183.81406688705076,187.05875279404182,37300
2025-02-04,186.770751953125,187.38512884844843,185.350008129171,186.54996414721674,26200
2025-02-05,187.0779571533203,189.5834660311916,185.72440318125047,186.4155790543116,38000
2025-02-06,183.6124725341797,186.0987778660766,183.1228811084923,186.0987778660766,32700
2025-02-07,181.48135375976562,184.15964918623763,180.5309833062945,184.15964918623763,25100
2025-02-10,177.96786499023438,182.17251529611525,177.4974769879743,182.17251529611525,22400
2025-02-11,181.3373565673828,181.97093689178078,175.83676200969464,177.651095012906,24300
2025-02-12,177.0463104248047,177.66070199138076,174.37760931106982,177.66070199138076,55800
2025-02-13,176.64312744140625,177.88149030540097,175.14558461342295,177.5934979197347,68900
2025-02-14,179.3694305419922,180.63657647381999,178.16947452993148,178.20786667724119,38000
2025-02-18,179.42703247070312,180.34859051792935,178.51506879867054,179.36943692373913,38500
2025-02-19,178.3038787841797,179.00464903219654,176.52793792989033,177.47830841674428,38400
2025-02-20,174.9919891357422,177.28630458163346,174.59841467273262,177.02712461406892,39700
2025-02-21,173.05287170410156,177.0463144421529,172.2176923042744,177.0463144421529,42000
2025-02-24,173.58084106445312,175.4143626884028,172.79366290246088,174.72318686496092,36700
2025-02-25,173.0912628173828,174.9343936041924,172.19850252210531,174.9343936041924,39900
2025-02-26,173.84963989257812,174.68480462330098,172.7936727002495,173.49444293812152,33700
2025-02-27,175.93275451660156,177.05591158455206,173.19684895381673,173.72483252795595,36900
2025-02-28,180.2526092529297,180.88617494003773,176.8159332317612,177.21911672279415,55200
2025-03-03,176.40313720703125,184.31325291800684,173.74404509423434,182.07653303890996,51100
2025-03-04,169.9329833984375,174.49281647752952,168.25304489561412,174.49281647752952,56500
2025-03-05,173.74404907226562,174.85759720173598,169.2418114370526,170.72975993207015,37000
2025-03-06,173.97442626953125,174.09922638779392,168.0034437099197,173.0144614161905,40000
2025-03-07,174.3679962158203,175.21276988126712,170.50893382800135,173.5424259467426,55500
2025-03-10,164.8355712890625,172.29448764745845,164.2883842920745,172.29448764745845,52400
2025-03-11,168.86741638183594,170.53774580763096,163.32841522375395,165.4883360864068,37700
2025-03-12,165.37313842773438,169.03060193293135,165.1235382077491,169.02100755827817,40500
2025-03-13,161.2165069580078,163.49161907391843,160.43893773600806,163.22283007490375,32600
2025-03-14,166.381103515625,167.04346691283357,161.81166176578512,163.47239674190834,31000
2025-03-17,169.318603515625,169.8945736320719,164.31718024383676,164.57637485258343,42700
2025-03-18,168.72341918945312,169.36659389045556,164.80676078737287,168.3394391030909,39700
2025-03-19,169.7601776123047,170.96974267696933,166.73629424644486,169.44338745955446,52200
2025-03-20,169.86578369140625,172.08330023496708,167.1298925543501,168.74262653224824,42000
2025-03-21,168.48341369628906,170.15375769101328,165.8243217953633,168.5506182620533,136600
2025-03-24,171.64170837402344,173.67682905326257,169.72177878292229,170.8545302106798,27400
2025-03-25,169.7025909423828,172.97607471078945,168.34903694107894,172.31369659747472,34000
2025-03-26,167.7730712890625,170.9121459957836,164.62438755859168,170.9121459957836,68100
2025-03-27,168.1666259765625,169.02100870721176,163.61640221698073,168.27222269006631,63800
2025-03-28,166.31390380859375,167.82105559560043,162.97323036164283,167.46585865431126,56500
2025-03-31,165.45953369140625,167.4370588378635,162.23405137403023,164.90275234906093,39000
2025-04-01,167.05308532714844,167.8978444246073,163.67400499361003,165.08515447829024,53900
2025-04-02,168.00344848632812,168.02265188535324,164.729979375775,164.729979375775,64000
2025-04-03,155.28390502929688,162.32044896383545,153.75756447097356,162.32044896383545,56300
2025-04-04,152.18321228027344,153.07598712427057,145.69385577381487,150.9544585589073,98800
2025-04-07,144.93548583984375,153.32558372195396,142.8523639178162,146.48102980107717,79300
2025-04-08,140.9900360107422,149.2841319158136,140.07807231226252,147.882591406041,43200
2025-04-09,153.4792022705078,154.34316487409913,138.35975417234002,138.35975417234002,62700
2025-04-10,142.1035919189453,149.21693478999552,139.5884887639589,149.21693478999552,55700
2025-04-11,145.21388244628906,146.44263624425565,139.19489892250377,142.1323889285146,60100
2025-04-14,146.81703186035156,148.58336373331275,144.00432713030096,146.3370494178359,42300
2025-04-15,147.80580139160156,150.05211581150968,146.15466054075395,146.90343201405665,31100
2025-04-16,142.12278747558594,148.98652973870855,140.52924243799356,145.8282520827622,44300
2025-04-17,142.99636840820312,144.91629808010333,141.96919900274406,142.06520134549945,32600
2025-04-21,137.4669647216797,141.7676031836587,136.48779646520947,141.7676031836587,40500
2025-04-22,144.3883056640625,145.2522681044418,139.76126840664875,140.27004856676768,60400
2025-04-23,147.74819946289062,154.26635460889182,146.90342567392017,149.0153454984446,52300
2025-04-24,150.56088256835938,150.56088256835938,148.23776940438518,148.92894526367184,58200
2025-04-25,147.14341735839844,149.66812970970474,145.91466346943534,148.61216247017313,44900
2025-04-28,148.07456970214844,149.53372029268382,145.9146489123278,147.13380830399421,45900
2025-04-29,148.27618408203125,149.37054347608495,145.7226739466054,146.77862654204563,39300
2025-04-30,149.62051391601562,150.71157799597188,143.67817530782193,146.62011370888973,72500
2025-05-01,152.43580627441406,154.4230912682948,148.12030573913626,148.89963289625754,50000
2025-05-02,155.11474609375,156.6052025312448,152.37737204664424,152.95212011298685,57300
2025-05-05,155.37777709960938,157.4916924087062,154.68612026621452,154.68612026621452,37000
2025-05-06,155.49465942382812,157.41374649467326,153.85808570533285,153.8873091742753,46200
2025-05-07,155.96226501464844,157.68650914393862,155.0465566805324,157.46245759338782,37800
2025-05-08,162.18710327148438,163.404797261516,156.04992258883937,157.45270844366433,42000
2025-05-09,160.94993591308594,166.57081601845692,160.4920817441455,161.98253812748607,41700
