Date,Close,High,Low,Open,Volume
2024-12-17,7.230000019073486,7.559999942779541,7.079999923706055,7.460000038146973,12538100
2024-12-18,6.289999961853027,7.309999942779541,6.110000133514404,7.190000057220459,13264700
2024-12-19,5.739999771118164,6.630000114440918,5.699999809265137,6.534999847412109,10619900
2024-12-20,5.730000019073486,5.940000057220459,5.480000019073486,5.559999942779541,14877900
2024-12-23,5.210000038146973,5.71999979019165,5.190000057220459,5.710000038146973,10155300
2024-12-24,5.5,5.574999809265137,5.230000019073486,5.334000110626221,5741300
2024-12-26,5.260000228881836,5.449999809265137,5.25,5.380000114440918,5873800
2024-12-27,4.860000133514404,5.409999847412109,4.829999923706055,5.230000019073486,9866200
2024-12-30,4.659999847412109,4.815000057220459,4.510000228881836,4.690000057220459,10026900
2024-12-31,4.639999866485596,4.869999885559082,4.510000228881836,4.839000225067139,9125900
2025-01-02,4.829999923706055,5.039999961853027,4.670000076293945,4.840000152587891,7396300
2025-01-03,5.570000171661377,5.579999923706055,4.855000019073486,4.900000095367432,9916000
2025-01-06,5.849999904632568,5.96999979019165,5.5,5.739999771118164,8576500
2025-01-07,5.389999866485596,5.829999923706055,5.199999809265137,5.829999923706055,6358200
2025-01-08,5.050000190734863,5.295000076293945,4.949999809265137,5.25,5836000
2025-01-10,4.980000019073486,5.039999961853027,4.75,4.960000038146973,8810500
2025-01-13,4.809999942779541,4.829999923706055,4.590000152587891,4.710000038146973,9508400
2025-01-14,4.949999809265137,5.244999885559082,4.880000114440918,5.099999904632568,6852400
2025-01-15,5.239999771118164,5.409999847412109,5.070000171661377,5.25,6320000
2025-01-16,5.199999809265137,5.454999923706055,5.15500020980835,5.210000038146973,6461300
2025-01-17,5.429999828338623,5.710000038146973,5.349999904632568,5.5,8574200
2025-01-21,5.389999866485596,5.550000190734863,5.045000076293945,5.449999809265137,10177900
2025-01-22,5.510000228881836,5.619999885559082,5.150000095367432,5.380000114440918,9685500
2025-01-23,5.53000020980835,5.800000190734863,5.309999942779541,5.320000171661377,9499300
2025-01-24,5.900000095367432,6.409999847412109,5.605000019073486,5.679999828338623,17478600
2025-01-27,4.510000228881836,5.439000129699707,4.099999904632568,5.429999828338623,30563700
2025-01-28,4.489999771118164,4.75,4.260000228881836,4.699999809265137,13441700
2025-01-29,4.5,4.605000019073486,4.385000228881836,4.429999828338623,17218000
2025-01-30,4.699999809265137,4.875,4.59499979019165,4.599999904632568,12990300
2025-01-31,5.730000019073486,6.289999961853027,5.5,5.599999904632568,43149400
2025-02-03,5.820000171661377,6.039000034332275,5.119999885559082,5.230000019073486,15682600
2025-02-04,5.809999942779541,5.900000095367432,5.599999904632568,5.769999980926514,7186500
2025-02-05,5.710000038146973,6.050000190734863,5.650000095367432,5.889999866485596,8831900
2025-02-06,5.889999866485596,6.369999885559082,5.710000038146973,5.809999942779541,18258900
2025-02-07,5.96999979019165,6.449999809265137,5.869999885559082,6.074999809265137,10873500
2025-02-10,5.960000038146973,6.150000095367432,5.90500020980835,6.079999923706055,10952200
2025-02-11,5.699999809265137,6.175000190734863,5.670000076293945,5.900000095367432,8375100
2025-02-12,5.78000020980835,5.925000190734863,5.53000020980835,5.53000020980835,6938200
