date,open,high,low,close,volume,dividends,stock_splits,returns,log_returns,realized_vol_5d,realized_vol_20d
2010-01-04 00:00:00-05:00,10430.6904296875,10604.9697265625,10430.6904296875,10583.9599609375,179780000,0.0,0.0,,,,
2010-01-05 00:00:00-05:00,10584.5595703125,10584.5595703125,10522.51953125,10572.01953125,188540000,0.0,0.0,-0.0011281627794860194,-0.0011287996341434,,
2010-01-06 00:00:00-05:00,10564.7197265625,10594.990234375,10546.5498046875,10573.6796875,186040000,0.0,0.0,0.00015703302903413707,0.0001570207006386599,,
2010-01-07 00:00:00-05:00,10571.1103515625,10612.3701171875,10505.2099609375,10606.8603515625,217390000,0.0,0.0,0.003138043239736543,0.003133129858301424,,
2010-01-08 00:00:00-05:00,10606.400390625,10619.400390625,10554.330078125,10618.1904296875,172710000,0.0,0.0,0.0010681839629698153,0.0010676138604272531,,
2010-01-11 00:00:00-05:00,10620.3095703125,10676.23046875,10591.58984375,10663.990234375,182050000,0.0,0.0,0.004313334272047609,0.004304058509188164,0.035045318763140716,
2010-01-12 00:00:00-05:00,10662.8603515625,10663.080078125,10568.83984375,10627.259765625,256050000,0.0,0.0,-0.0034443456851264154,-0.0034502910996934903,0.04762754227716687,
2010-01-13 00:00:00-05:00,10628.08984375,10709.259765625,10614.490234375,10680.76953125,202810000,0.0,0.0,0.005035142341968779,0.005022508404136688,0.05404651707432094,
2010-01-14 00:00:00-05:00,10680.16015625,10723.76953125,10666.8603515625,10710.5498046875,201320000,0.0,0.0,0.002788214215311724,0.0027843343563019765,0.05364702853335072,
2010-01-15 00:00:00-05:00,10706.990234375,10709.9404296875,10561.0595703125,10609.650390625,362930000,0.0,0.0,-0.009420563454019981,-0.009465217628178443,0.09793301634338229,
2010-01-19 00:00:00-05:00,10608.3701171875,10729.8896484375,10591.9697265625,10725.4296875,192150000,0.0,0.0,0.010912640154222775,0.010853526961827831,0.12447302520847242,
2010-01-20 00:00:00-05:00,10719.6904296875,10719.919921875,10517.2998046875,10603.150390625,203270000,0.0,0.0,-0.01140087627608155,-0.011466364490493899,0.1526905061579582,
2010-01-21 00:00:00-05:00,10603.91015625,10614.9404296875,10374.6904296875,10389.8798828125,304290000,0.0,0.0,-0.020113881248073895,-0.020318919425062292,0.19471555031328722,
2010-01-22 00:00:00-05:00,10389.580078125,10389.580078125,10157.6396484375,10172.98046875,323620000,0.0,0.0,-0.020876027106079165,-0.021097012299323117,0.2039200476816968,
2010-01-25 00:00:00-05:00,10175.099609375,10256.8701171875,10171.76953125,10196.8603515625,215330000,0.0,0.0,0.002347383137700554,0.002344632337849401,0.2229095959220736,
2010-01-26 00:00:00-05:00,10195.349609375,10285.1298828125,10155.599609375,10194.2900390625,217300000,0.0,0.0,-0.0002520690105956014,-0.00025210078532838186,0.17207622055186397,
2010-01-27 00:00:00-05:00,10194.2900390625,10255.0595703125,10104.3603515625,10236.16015625,262170000,0.0,0.0,0.0041072126677839105,0.0040988010940502554,0.1977614699598472,
2010-01-28 00:00:00-05:00,10236.919921875,10258.830078125,10055.080078125,10120.4599609375,240050000,0.0,0.0,-0.011303085683146086,-0.011367451033799682,0.1685717630427857,
